analyst,broker,broker_code,firm,quarter,year,fe,market_cap,sic_code,revision_date,staleness_days
Emma Schwartz,Jefferies,512,LNG-US,2026Q1,2026,0.12708991407130915,54045.11,4924,20260402,34
Greg Wasikowski,Webber Research & Advisory,3412,LNG-US,2026Q1,2026,0.11589136436097827,54045.11,4924,20260504,2
Elvira Scotto,RBC Capital Markets,1269,LNG-US,2026Q1,2026,0.1289945176717602,54045.11,4924,20260410,26
Brandon Bingham,Scotiabank GBM,810,LNG-US,2026Q1,2026,0.12312337182627629,54045.11,4924,20260414,22
James Carreker,U.S. Capital Advisors,1866,LNG-US,2026Q1,2026,0.11725222598079242,54045.11,4924,20260320,47
Jason Gabelman,TD Cowen,917,LNG-US,2026Q1,2026,0.12932851199502313,54045.11,4924,20260416,20
Ameet Thakkar,BMO Capital Markets,181,LNG-US,2026Q1,2026,0.11970177689645788,54045.11,4924,20260417,19
Michael Blum,Wells Fargo Securities,596,LNG-US,2026Q1,2026,0.11612465492437499,54045.11,4924,20260324,43
Bob Brackett,Bernstein Research,1140,LNG-US,2026Q1,2026,,54045.11,4924,20251107,180
William Selesky,Argus Research,376,LNG-US,2026Q1,2026,0.12063493915004471,54045.11,4924,20260310,57
Gabriel Moreen,Mizuho Securities USA,1802,LNG-US,2026Q1,2026,0.12705042964345428,54045.11,4924,20260223,72
Lloyd Byrne,Jefferies,512,LNG-US,2025Q4,2025,0.02317105419078437,47224.66,4924,20260123,33
Greg Wasikowski,Webber Research & Advisory,3412,LNG-US,2025Q4,2025,0.012174923658903417,47224.66,4924,20260223,2
Gabriel Moreen,Mizuho Securities USA,1802,LNG-US,2025Q4,2025,0.024343922337176978,47224.66,4924,20260223,2
Brandon Bingham,Scotiabank GBM,810,LNG-US,2025Q4,2025,0.016869331388724304,47224.66,4924,20260115,41
Elvira Scotto,RBC Capital Markets,1269,LNG-US,2025Q4,2025,0.01974066815550795,47224.66,4924,20260127,29
James Carreker,U.S. Capital Advisors,1866,LNG-US,2025Q4,2025,0.007480515929082537,47224.66,4924,20260130,26
Ameet Thakkar,BMO Capital Markets,181,LNG-US,2025Q4,2025,0.005156100451210061,47224.66,4924,20251209,78
Jason Gabelman,TD Cowen,917,LNG-US,2025Q4,2025,0.010587028850097985,47224.66,4924,20260115,41
Michael Blum,Wells Fargo Securities,596,LNG-US,2025Q4,2025,0.006888017866095431,47224.66,4924,20260109,47
Bob Brackett,Bernstein Research,1140,LNG-US,2025Q4,2025,,47224.66,4924,20251107,110
William Selesky,Argus Research,376,LNG-US,2025Q4,2025,0.02566564878537897,47224.66,4924,20251113,104
James Carreker,U.S. Capital Advisors,1866,LNG-US,2025Q3,2025,0.04052256100331712,48364.367,4924,20250519,163
Justin  Jenkins,Raymond James,402,LNG-US,2025Q3,2025,0.03970463943290771,48364.367,4924,20251023,6
Elvira Scotto,RBC Capital Markets,1269,LNG-US,2025Q3,2025,0.04742945426455219,48364.367,4924,20251021,8
Bob Brackett,Bernstein Research,1140,LNG-US,2025Q3,2025,,48364.367,4924,20251009,20
Jason Gabelman,TD Cowen,917,LNG-US,2025Q3,2025,0.036751033761984825,48364.367,4924,20251016,13
Ameet Thakkar,BMO Capital Markets,181,LNG-US,2025Q3,2025,0.041431362748216474,48364.367,4924,20250917,42
