firm,quarter_end,quarter,year,report_date,price_date,price_10d_prior,market_cap,market_cap_direct,shares_outstanding
LNG-US,2026-03-31,2026Q1,2026,20260507,20260423,257.19,54045.11,54045.11,
LNG-US,2025-12-31,2025Q4,2025,20260226,20260211,219.41,47224.66,47224.66,
LNG-US,2025-09-30,2025Q3,2025,20251030,20251016,220.07,48364.367,48364.367,
LNG-US,2025-06-30,2025Q2,2025,20250807,20250724,225.8,50079.16,50079.16,
LNG-US,2025-03-31,2025Q1,2025,20250508,20250424,232.27,51753.11,51753.11,
LNG-US,2024-12-31,2024Q4,2024,20250220,20250205,230.59,51736.34,51736.34,
LNG-US,2024-09-30,2024Q3,2024,20241031,20241017,182.44,41281.27,41281.27,
LNG-US,2024-06-28,2024Q2,2024,20240808,20240725,176.35,40368.723,40368.723,
LNG-US,2024-03-29,2024Q1,2024,20240503,20240419,161.97,37360.22,37360.22,
LNG-US,2023-12-29,2023Q4,2023,20240222,20240207,160.08,38139.84,38139.84,
LNG-US,2023-09-29,2023Q3,2023,20231102,20231019,175.54,42238.996,42238.996,
LNG-US,2023-06-30,2023Q2,2023,20230803,20230720,156.77,38088.555,38088.555,
