analyst,n_observations,mean_fe,accuracy_score,consistency_score,avg_staleness_days,current_broker,current_broker_code,n_brokers,freshness_score,accuracy_score_z,consistency_score_z,freshness_score_z,partial_reliability_score_raw,credibility_weight,partial_reliability_score
Scott Devitt,6,0.0343477127138466,-0.0343477127138466,-0.00395890818153306,14.0,Wedbush Securities,590,1,-14.0,0.6128477702597958,0.7756185845276635,1.672620893288078,1.020362416025179,0.375,0.3826359060094421
Mark Kelley,7,0.034659476667636815,-0.034659476667636815,-0.004487899304770394,33.42857142857143,Stifel Nicolaus,548,1,-33.42857142857143,0.5437598737847424,0.5103393274610071,1.1154398969149837,0.7231796993869111,0.4117647058823529,0.29777987621813984
Andrew Boone,8,0.034450174354585326,-0.034450174354585326,-0.004158731245392141,49.5,Citizens,805,1,-49.5,0.5901419406025786,0.6754110165803703,0.6545364991798873,0.6400298187876121,0.4444444444444444,0.2844576972389387
Deepak Mathivanan,7,0.034649505972834116,-0.034649505972834116,-0.004957325119105563,30.714285714285715,Cantor Fitzgerald,1190,1,-30.714285714285715,0.5459694118725766,0.27493097029870067,1.1932813596435776,0.6713939139382848,0.4117647058823529,0.2764563175039996
Brent Thill,7,0.034096303986137035,-0.034096303986137035,-0.004442453255834459,45.57142857142857,Jefferies,512,1,-45.57142857142857,0.6685607542072963,0.5331296798294167,0.7672017741817998,0.6562974027395042,0.4117647058823529,0.2702401070103841
Benjamin Black,6,0.03604146744713349,-0.03604146744713349,-0.004691428363183893,22.166666666666668,Deutsche Bank Research,77,1,-22.166666666666668,0.23750626510876177,0.4082732718399086,1.4384136852537992,0.6947310740674899,0.375,0.2605241527753087
Mark Zgutowicz,5,0.03415260971221483,-0.03415260971221483,-0.0037408782723812543,55.4,"Benchmark, a StoneX Company",1124,1,-55.4,0.6560832239254184,0.8849565483939343,0.4853337407224698,0.6754578376806076,0.3333333333333333,0.22515261256020253
Nathaniel Schindler,7,0.035104765273591736,-0.035104765273591736,-0.004078258438460393,57.0,Scotiabank GBM,810,1,-57.0,0.4450824842542147,0.7157666397641355,0.4394482469035091,0.533432456973953,0.4117647058823529,0.21964865875398065
Shyam Patil,5,0.027856765395784078,-0.027856765395784078,-0.0047357261512555576,89.0,Susquehanna Financial Group,974,1,-89.0,2.0512626058539354,0.3860587510414657,-0.47826162947570494,0.6530199091398987,0.3333333333333333,0.2176733030466329
Jia Qing Dong,2,0.03078992315023452,-0.03078992315023452,-0.0021587846410472296,50.5,Capital Securities Asia,1128,1,-50.5,1.4012653986051693,1.6783472211177186,0.6258580655430369,1.2351568950886416,0.16666666666666666,0.2058594825147736
Joe Wittine,2,0.031126024455951307,-0.031126024455951307,-0.0025991177583129035,51.5,Edgewater Research,3222,1,-51.5,1.3267842665429401,1.4575283130513255,0.5971796319061865,1.1271640705001509,0.16666666666666666,0.1878606784166918
Ross Walthall,5,0.03627663194085047,-0.03627663194085047,-0.0052474093698057,24.6,Cleveland Research Company,2295,1,-24.6,0.18539305574312837,0.129459087818842,1.3686294967374633,0.5611605467664779,0.3333333333333333,0.18705351558882594
Gil Luria,7,0.03346949399479061,-0.03346949399479061,-0.0042591646980853146,80.71428571428571,DA Davidson,556,1,-80.71428571428571,0.8074638674928402,0.6250454990041315,-0.240640322198944,0.3972896814326759,0.4117647058823529,0.16358986882521948
Lloyd Walmsley,3,0.03586377468560706,-0.03586377468560706,-0.004243850331792701,32.333333333333336,Mizuho Securities USA,1802,1,-32.333333333333336,0.27688355348176374,0.6327253702422135,1.1468496099458199,0.6854861778899325,0.23076923076923078,0.1581891179745998
