firm,quarter_end,quarter,year,report_date,actual_eps,sic_code
META-US,2026-03-31,2026Q1,2026,20260429,10.4419,7370
META-US,2025-12-31,2025Q4,2025,20260128,8.8764,7370
META-US,2025-09-30,2025Q3,2025,20251029,1.0533,7370
META-US,2025-06-30,2025Q2,2025,20250730,7.135,7370
META-US,2025-03-31,2025Q1,2025,20250430,6.4262,7370
META-US,2024-12-31,2024Q4,2024,20250129,8.0177,7370
META-US,2024-09-30,2024Q3,2024,20241030,6.0338,7370
META-US,2024-06-28,2024Q2,2024,20240731,5.159,7370
META-US,2024-03-29,2024Q1,2024,20240424,4.712,7370
META-US,2023-12-29,2023Q4,2023,20240201,5.3297,7370
META-US,2023-09-29,2023Q3,2023,20231025,4.3858,7370
META-US,2023-06-30,2023Q2,2023,20230726,2.9816,7370
