firm,quarter_end,quarter,year,report_date,price_date,price_10d_prior,market_cap,market_cap_direct,shares_outstanding
META-US,2026-03-31,2026Q1,2026,20260429,20260415,671.58,1474820.4,1474820.4,
META-US,2025-12-31,2025Q4,2025,20260128,20260113,631.09,1374444.1,1374444.1,
META-US,2025-09-30,2025Q3,2025,20251029,20251015,717.55,1556339.0,1556339.0,
META-US,2025-06-30,2025Q2,2025,20250730,20250716,702.91,1526121.8,1526121.8,
META-US,2025-03-31,2025Q1,2025,20250430,20250415,521.52,1137576.3,1137576.3,
META-US,2024-12-31,2024Q4,2024,20250129,20250114,594.25,1295465.6,1295465.6,
META-US,2024-09-30,2024Q3,2024,20241030,20241016,576.79,1260129.6,1260129.6,
META-US,2024-06-28,2024Q2,2024,20240731,20240717,461.99,1012426.25,1012426.25,
META-US,2024-03-29,2024Q1,2024,20240424,20240410,519.83,1139021.4,1139021.4,
META-US,2023-12-29,2023Q4,2023,20240201,20240118,376.13,831623.44,831623.44,
META-US,2023-09-29,2023Q3,2023,20231025,20231011,327.82,728607.0,728607.0,
META-US,2023-06-30,2023Q2,2023,20230726,20230712,309.34,684307.5,684307.5,
