firm,quarter_end,quarter,year,report_date,actual_eps,sic_code
MLM-US,2026-03-31,2026Q1,2026,20260430,25.0497,1400
MLM-US,2025-12-31,2025Q4,2025,20260211,4.6116,1400
MLM-US,2025-09-30,2025Q3,2025,20251104,6.8543,1400
MLM-US,2025-06-30,2025Q2,2025,20250807,5.4305,1400
MLM-US,2025-03-31,2025Q1,2025,20250430,1.9016,1400
MLM-US,2024-12-31,2024Q4,2024,20250212,4.7961,1400
MLM-US,2024-09-30,2024Q3,2024,20241030,5.9217,1400
MLM-US,2024-06-28,2024Q2,2024,20240808,4.7727,1400
MLM-US,2024-03-29,2024Q1,2024,20240430,16.8548,1400
MLM-US,2023-12-29,2023Q4,2023,20240214,4.6403,1400
MLM-US,2023-09-29,2023Q3,2023,20231101,6.721,1400
MLM-US,2023-06-30,2023Q2,2023,20230727,5.6087,1400
