firm,quarter_end,quarter,year,report_date,price_date,price_10d_prior,market_cap,market_cap_direct,shares_outstanding
MLM-US,2026-03-31,2026Q1,2026,20260430,20260416,607.98,36506.703,36506.703,
MLM-US,2025-12-31,2025Q4,2025,20260211,20260128,650.23,39213.51,39213.51,
MLM-US,2025-09-30,2025Q3,2025,20251104,20251021,632.03,38115.926,38115.926,
MLM-US,2025-06-30,2025Q2,2025,20250807,20250724,581.44,35052.35,35052.35,
MLM-US,2025-03-31,2025Q1,2025,20250430,20250415,499.05,30242.572,30242.572,
MLM-US,2024-12-31,2024Q4,2024,20250212,20250129,539.84,32993.973,32993.973,
MLM-US,2024-09-30,2024Q3,2024,20241030,20241016,570.9,34891.727,34891.727,
MLM-US,2024-06-28,2024Q2,2024,20240808,20240725,547.04,33719.65,33719.65,
MLM-US,2024-03-29,2024Q1,2024,20240430,20240416,595.24,36799.203,36799.203,
MLM-US,2023-12-29,2023Q4,2023,20240214,20240131,508.42,31423.996,31423.996,
MLM-US,2023-09-29,2023Q3,2023,20231101,20231018,414.31,25606.102,25606.102,
MLM-US,2023-06-30,2023Q2,2023,20230727,20230713,454.13,28141.873,28141.873,
