analyst,n_observations,mean_fe,accuracy_score,consistency_score,avg_staleness_days,current_broker,current_broker_code,n_brokers,freshness_score,accuracy_score_z,consistency_score_z,freshness_score_z,partial_reliability_score_raw,credibility_weight,partial_reliability_score
Brian Schwartz,3,0.02757635224450118,-0.02757635224450118,-0.0003320247494095832,89.0,Oppenheimer,498,1,-89.0,1.6531396856420486,2.155058627541119,0.2616542162243955,1.356617509802521,0.23076923076923078,0.3130655791851972
Brent Thill,2,0.027544577564293626,-0.027544577564293626,-4.165619688121548e-05,89.0,Jefferies,512,1,-89.0,1.6659214954240709,2.3849668966497526,0.2616542162243955,1.4375142027660732,0.16666666666666666,0.23958570046101219
Kadambari Daptardar,2,0.02792789584481005,-0.02792789584481005,-0.00036113893539688365,74.5,ARC Independent Research,940,1,-74.5,1.511726352765555,2.1320065716329877,0.5023576408623048,1.3820301884202824,0.16666666666666666,0.2303383647367137
Brent A. Bracelin,2,0.02666884998315138,-0.02666884998315138,-0.000858953222738424,89.0,Piper Sandler Companies,570,1,-89.0,2.018195170246736,1.7378467353020193,0.2616542162243955,1.3392320405910503,0.16666666666666666,0.22320534009850837
Soo-Jin Kim,3,0.03207720836803252,-0.03207720836803252,-0.0005176460690457519,74.33333333333333,Mirae Asset Securities,484,1,-74.33333333333333,-0.1573926769636893,2.008087215053044,0.5051243468926258,0.7852729616606601,0.23076923076923078,0.1812168373063062
Brad R. Reback,3,0.029601194730130297,-0.029601194730130297,-0.002072111790436026,87.0,Stifel Nicolaus,548,1,-87.0,0.8386184592816268,0.7772909725480063,0.29485468858824504,0.6369213734726261,0.23076923076923078,0.14698185541675987
Keith Bachman,3,0.029203669938154278,-0.029203669938154278,-0.002292167226216278,89.0,BMO Capital Markets,181,1,-89.0,0.9985283699867931,0.6030552851512412,0.2616542162243955,0.6210792904541432,0.23076923076923078,0.1433259901048023
Jackson Ader,8,0.030628623078370124,-0.030628623078370124,-0.0029627440776103485,84.875,KeyBanc Capital Markets,618,1,-84.875,0.4253210279282176,0.07210535319100776,0.3301301904748352,0.2758521905313535,0.4444444444444444,0.12260097356949044
Shi Feng Cui,2,0.02834852802400817,-0.02834852802400817,-0.0005269120297871684,179.0,China Securities,697,1,-179.0,1.3425211721755899,2.0007506044692254,-1.2323670401488351,0.7036349121653268,0.16666666666666666,0.1172724853608878
Tommy Wong,2,0.030444717910472624,-0.030444717910472624,-0.002157317485877259,69.5,China Merchants Securities,1788,1,-69.5,0.4992994553629569,0.7098267317184918,0.5853588217719288,0.5981616696177925,0.16666666666666666,0.09969361160296542
Joseph Bonner,3,0.029168878508285246,-0.029168878508285246,-0.0030902394887939674,88.66666666666667,Argus Research,376,1,-88.66666666666667,1.0125237095378357,-0.028843076138837402,0.267187628285037,0.41695608722801175,0.23076923076923078,0.09622063551415656
Hannah Rudoff,1,0.027630399218135846,-0.027630399218135846,,89.0,Piper Sandler Companies,570,1,-89.0,1.631398534140924,,0.2616542162243955,0.9465263751826598,0.09090909090909091,0.08604785228933272
Michael Turrin,5,0.03089208487388701,-0.03089208487388701,-0.0035439545081377166,62.2,Wells Fargo Securities,596,1,-62.2,0.3193398336839355,-0.38808595508565713,0.7065405458999796,0.21259814149941933,0.3333333333333333,0.0708660471664731
Ari Terjanian,3,0.03161088335641771,-0.03161088335641771,-0.0027912614822959195,64.66666666666667,Cleveland Research Company,2295,1,-64.66666666666667,0.03019308491102747,0.207881994041759,0.6655932966512318,0.3012227918680061,0.23076923076923078,0.06951295196953987
Derrick Wood,4,0.029623918742823135,-0.029623918742823135,-0.004062260639356578,68.75,TD Cowen,917,1,-68.75,0.8294774071663312,-0.7984708416696791,0.5978089989083724,0.20960518813500817,0.2857142857142857,0.05988719661000233
Steve Wong,1,0.030589493415360953,-0.030589493415360953,,61.0,SDIC Securities International,1967,1,-61.0,0.4410614824709803,,0.7264608293182895,0.583761155894635,0.09090909090909091,0.05306919599042136
Curtis A Shauger,2,0.030303924002576994,-0.030303924002576994,-0.0035249200074818597,60.5,WestPark Capital,3079,1,-60.5,0.5559357751444407,-0.37301480133629344,0.7347609474092518,0.305893973739133,0.16666666666666666,0.05098232895652217
