firm,quarter_end,quarter,year,report_date,actual_eps,sic_code
MSFT-US,2026-03-31,2026Q1,2026,20260429,4.2684,7372
MSFT-US,2025-12-31,2025Q4,2025,20260128,5.1552,7372
MSFT-US,2025-09-30,2025Q3,2025,20251029,3.7164,7372
MSFT-US,2025-06-30,2025Q2,2025,20250730,3.65,7372
MSFT-US,2025-03-31,2025Q1,2025,20250430,3.4612,7372
MSFT-US,2024-12-31,2024Q4,2024,20250129,3.2282,7372
MSFT-US,2024-09-30,2024Q3,2024,20241030,3.3021,7372
MSFT-US,2024-06-28,2024Q2,2024,20240730,2.9491,7372
MSFT-US,2024-03-29,2024Q1,2024,20240425,2.9362,7372
MSFT-US,2023-12-29,2023Q4,2023,20240130,2.9285,7372
MSFT-US,2023-09-29,2023Q3,2023,20231024,2.9873,7372
MSFT-US,2023-06-30,2023Q2,2023,20230725,2.6893,7372
