firm,quarter_end,quarter,year,report_date,price_date,price_10d_prior,market_cap,market_cap_direct,shares_outstanding
MSFT-US,2026-03-31,2026Q1,2026,20260429,20260415,411.22,3053567.3,3053567.3,
MSFT-US,2025-12-31,2025Q4,2025,20260128,20260113,470.67,3498197.3,3498197.3,
MSFT-US,2025-09-30,2025Q3,2025,20251029,20251015,513.43,3816370.0,3816370.0,
MSFT-US,2025-06-30,2025Q2,2025,20250730,20250716,505.62,3758042.8,3758042.8,
MSFT-US,2025-03-31,2025Q1,2025,20250430,20250415,385.73,2867510.0,2867510.0,
MSFT-US,2024-12-31,2024Q4,2024,20250129,20250114,415.67,3090457.0,3090457.0,
MSFT-US,2024-09-30,2024Q3,2024,20241030,20241016,416.12,3093617.8,3093617.8,
MSFT-US,2024-06-28,2024Q2,2024,20240730,20240716,449.52,3340970.0,3340970.0,
MSFT-US,2024-03-29,2024Q1,2024,20240425,20240411,427.93,3179706.5,3179706.5,
MSFT-US,2023-12-29,2023Q4,2023,20240130,20240116,390.27,2900486.5,2900486.5,
MSFT-US,2023-09-29,2023Q3,2023,20231024,20231010,328.39,2439619.5,2439619.5,
MSFT-US,2023-06-30,2023Q2,2023,20230725,20230711,332.47,2472076.8,2472076.8,
