firm,quarter,consensus_fe,consensus_nn_predicted_fe,consensus_linear_predicted_fe,market_cap,sic_code,industry
MTZ-US,2023Q2,0.07983320234040694,,,9030.166,1623,Construction
MTZ-US,2023Q3,0.09177483867913591,,,5424.8076,1623,Construction
MTZ-US,2023Q4,0.07107352294586425,,,5736.7466,1623,Construction
MTZ-US,2024Q1,0.0707119702780441,,,6615.2603,1623,Construction
MTZ-US,2024Q2,0.04738569866692241,,,8285.131,1623,Construction
MTZ-US,2024Q3,0.03468055009823183,,,10080.867,1623,Construction
MTZ-US,2024Q4,0.04226453341055528,,,10944.727,1623,Construction
MTZ-US,2025Q1,0.0553589983817392,,,9282.656,1623,Construction
MTZ-US,2025Q2,0.03292008835022937,,,13931.86,1623,Construction
MTZ-US,2025Q3,0.029533923303834808,,,16049.877,1623,Construction
MTZ-US,2025Q4,0.024443186535340958,,,20907.957,1623,Construction
MTZ-US,2026Q1,0.02129837493717541,,,28231.39,1623,Construction
