analyst,n_observations,mean_fe,accuracy_score,consistency_score,avg_staleness_days,current_broker,current_broker_code,n_brokers,freshness_score,accuracy_score_z,consistency_score_z,freshness_score_z,partial_reliability_score_raw,credibility_weight,partial_reliability_score
Julien Dumoulin-Smith,4,0.027988598006679584,-0.027988598006679584,-0.005444047636638694,39.75,Jefferies,512,1,-39.75,0.5903572547207264,0.6232352124728227,1.144400372538804,0.7859976132441177,0.2857142857142857,0.22457074664117646
Manish A. Somaiya,2,0.02265450898677217,-0.02265450898677217,-0.0007697711747433542,25.5,Cantor Fitzgerald,1190,1,-25.5,1.0948465752952792,1.2743054767669846,1.5684761018051891,1.3125427179558176,0.16666666666666666,0.21875711965930292
Tim Moore,3,0.025947472653372206,-0.025947472653372206,-0.003722250667020075,77.33333333333333,Clear Street,3824,1,-77.33333333333333,0.7834035160137948,0.8630607378153974,0.02593163628652481,0.557465296705239,0.23076923076923078,0.12864583770120902
Alex Rygiel,3,0.025022467002391535,-0.025022467002391535,-0.003284193199012578,83.0,Texas Capital Securities,3819,1,-83.0,0.8708890211580191,0.9240768531001201,-0.1427066654100496,0.5507530696160299,0.23076923076923078,0.1270968622190838
Maheep Mandloi,2,0.023323628013513925,-0.023323628013513925,-0.0020252530763385165,87.5,Mizuho Securities USA,1802,1,-87.5,1.03156240401043,1.0994320091508532,-0.27662531675732915,0.6181230321346514,0.16666666666666666,0.10302050535577523
Liam Burke,5,0.02943422346036665,-0.02943422346036665,-0.012561702145775065,64.0,B Riley Securities,765,1,-64.0,0.45363238938495326,-0.36816810741957934,0.4227276402784641,0.16939730741461267,0.3333333333333333,0.056465769138204225
Kashy Harrison,1,0.05267609232603696,-0.05267609232603696,,26.0,Piper Sandler Companies,570,1,-26.0,-1.744545141804504,,1.5535962516554915,-0.0954744450745062,0.09090909090909091,-0.008679495006773291
Adam R. Thalhimer,5,0.03409562622746492,-0.03409562622746492,-0.012227949339920661,82.8,Thompson Davis & Co,1020,1,-82.8,0.012764622438955651,-0.3216803719833158,-0.13675472535017041,-0.14855682496484351,0.3333333333333333,-0.049518941654947836
Jamie Cook,9,0.03794440979939568,-0.03794440979939568,-0.013651763635096063,74.77777777777777,Truist Securities,852,1,-74.77777777777777,-0.3512469645434365,-0.5200005092329151,0.10198420371831325,-0.2564210900193461,0.47368421052631576,-0.1214626215881113
Brent Thielman,5,0.0339639402899495,-0.0339639402899495,-0.009938218300358806,118.6,DA Davidson,556,1,-118.6,0.025219260690855286,-0.002748489104142022,-1.2021519960685279,-0.39322707482727154,0.3333333333333333,-0.1310756916090905
Brian Brophy,6,0.03341768548502682,-0.03341768548502682,-0.012765710837275105,139.16666666666666,Stifel Nicolaus,548,1,-139.16666666666666,0.07688313700929197,-0.3965840545241242,-1.8142098322260942,-0.7113035832469755,0.375,-0.2667388437176158
Sangita Jain,10,0.04350382372022639,-0.04350382372022639,-0.017822657428911235,98.9,KeyBanc Capital Markets,618,1,-98.9,-0.8770471417143225,-1.1009556467433343,-0.6158859001704375,-0.8646295628760315,0.5,-0.43231478143801577
Marc Bianchi,12,0.05502519017604505,-0.05502519017604505,-0.0248083130122468,99.33333333333333,TD Cowen,917,1,-99.33333333333333,-1.96671893266004,-2.073973110298769,-0.6287817703001752,-1.556491271086328,0.5454545454545454,-0.8489952387743606
