firm,quarter_end,quarter,year,report_date,actual_eps,sic_code
MTZ-US,2026-03-31,2026Q1,2026,20260430,0.7722,1623
MTZ-US,2025-12-31,2025Q4,2025,20260226,1.8128,1623
MTZ-US,2025-09-30,2025Q3,2025,20251030,2.0428,1623
MTZ-US,2025-06-30,2025Q2,2025,20250731,1.0923,1623
MTZ-US,2025-03-31,2025Q1,2025,20250501,0.1253,1623
MTZ-US,2024-12-31,2024Q4,2024,20250227,0.9454,1623
MTZ-US,2024-09-30,2024Q3,2024,20241031,1.2069,1623
MTZ-US,2024-06-28,2024Q2,2024,20240801,0.431,1623
MTZ-US,2024-03-29,2024Q1,2024,20240502,-0.5283,1623
MTZ-US,2023-12-29,2023Q4,2023,20240229,0.0096,1623
MTZ-US,2023-09-29,2023Q3,2023,20231031,0.1822,1623
MTZ-US,2023-06-30,2023Q2,2023,20230803,0.1983,1623
