firm,quarter_end,quarter,year,report_date,price_date,price_10d_prior,market_cap,market_cap_direct,shares_outstanding
MTZ-US,2026-03-31,2026Q1,2026,20260430,20260416,358.14,28231.39,28231.39,
MTZ-US,2025-12-31,2025Q4,2025,20260226,20260211,264.99,20907.957,20907.957,
MTZ-US,2025-09-30,2025Q3,2025,20251030,20251016,203.4,16049.877,16049.877,
MTZ-US,2025-06-30,2025Q2,2025,20250731,20250717,176.57,13931.86,13931.86,
MTZ-US,2025-03-31,2025Q1,2025,20250501,20250416,117.41,9282.656,9282.656,
MTZ-US,2024-12-31,2024Q4,2024,20250227,20250212,138.13,10944.727,10944.727,
MTZ-US,2024-09-30,2024Q3,2024,20241031,20241017,127.25,10080.867,10080.867,
MTZ-US,2024-06-28,2024Q2,2024,20240801,20240718,104.27,8285.131,8285.131,
MTZ-US,2024-03-29,2024Q1,2024,20240502,20240418,83.44,6615.2603,6615.2603,
MTZ-US,2023-12-29,2023Q4,2023,20240229,20240214,72.78,5736.7466,5736.7466,
MTZ-US,2023-09-29,2023Q3,2023,20231031,20231017,68.79,5424.8076,5424.8076,
MTZ-US,2023-06-30,2023Q2,2023,20230803,20230720,114.51,9030.166,9030.166,
