analyst,n_observations,mean_fe,accuracy_score,consistency_score,avg_staleness_days,current_broker,current_broker_code,n_brokers,freshness_score,accuracy_score_z,consistency_score_z,freshness_score_z,partial_reliability_score_raw,credibility_weight,partial_reliability_score
Kevin Rottinghaus,4,0.08440078960274212,-0.08440078960274212,-0.0058027603746026975,8.75,Edgewater Research,3222,1,-8.75,0.04856236988965891,1.278625658638923,1.6513498369698596,0.9928459551661472,0.2857142857142857,0.28367027290461344
Brian Chin,4,0.0769547796501013,-0.0769547796501013,-0.004302985340528093,30.25,Stifel Nicolaus,548,1,-30.25,0.33587496636340114,1.424448623725189,0.9689217367145795,0.9097484422677232,0.2857142857142857,0.25992812636220664
Warren Lau,8,0.09539957136187663,-0.09539957136187663,-0.012040038242623261,20.25,Aletheia Capital,2859,1,-20.25,-0.3758378881497759,0.6721758030824808,1.2863301554379656,0.5275560234568902,0.4444444444444444,0.23446934375861786
Steven Fox,6,0.07185491049245679,-0.07185491049245679,-0.013520987541805089,40.666666666666664,Fox Advisors,3474,1,-40.666666666666664,0.5326591042679609,0.5281832621729224,0.6382879672110524,0.5663767778839787,0.375,0.212391291706492
Chandler B. Converse,6,0.09339373925091009,-0.09339373925091009,-0.017407385740559812,13.0,Cleveland Research Company,2295,1,-13.0,-0.2984406196049211,0.1503091837462069,1.5164512590124204,0.45610660771790207,0.375,0.17103997789421327
Krish Sankar,7,0.08317433450570724,-0.08317433450570724,-0.01734047836974197,30.0,TD Cowen,917,1,-30.0,0.09588650733088973,0.15681458020708627,0.9768569471826641,0.4098526782402134,0.4117647058823529,0.1687628675106761
Aaron Rakers,9,0.08478708405308359,-0.08478708405308359,-0.017613871626890355,33.666666666666664,Wells Fargo Securities,596,1,-33.666666666666664,0.033656767797139414,0.13023258325007697,0.8604738603174227,0.341454403788213,0.47368421052631576,0.16174155968915352
Melissa Weathers,3,0.06590247787454644,-0.06590247787454644,-0.014118964846892897,44.0,Deutsche Bank Research,77,1,-44.0,0.7623403539123117,0.47004199318186834,0.5324851609699237,0.5882891693547012,0.23076923076923078,0.13575903908185413
Melissa Fairbanks,2,0.04852209725821695,-0.04852209725821695,-0.003999548573556885,86.0,Raymond James,402,1,-86.0,1.4329817194678969,1.4539517479075663,-0.8006301976682977,0.6954344232357218,0.16666666666666666,0.11590573720595362
Vijay Rakesh,9,0.08462472887610376,-0.08462472887610376,-0.021816277458764334,34.22222222222222,Mizuho Securities USA,1802,1,-34.22222222222222,0.03992142333019935,-0.2783668833211184,0.8428400592772345,0.20146486642877182,0.47368421052631576,0.09543072620310243
Yik Ban Chong,1,0.044237592634179215,-0.044237592634179215,,46.0,Phillip Securities,651,1,-46.0,1.5983041076953592,,0.4690034772252465,1.0336537924603029,0.09090909090909091,0.09396852658730026
Sidney Ho,2,0.12939047334680417,-0.12939047334680417,-0.0011534347620430763,11.0,Deutsche Bank Research,77,1,-11.0,-1.6874147417786591,1.7306790873675137,1.5799329427570976,0.541065762781984,0.16666666666666666,0.09017762713033067
Heping Qin,1,0.07290594498669033,-0.07290594498669033,,17.0,Guotai Haitong Securities China,1094,1,-17.0,0.49210376638332604,,1.389487891523066,0.940795828953196,0.09090909090909091,0.08552689354119965
Mehdi Hosseini,6,0.09008153987213963,-0.09008153987213963,-0.018559573333249632,37.166666666666664,Susquehanna Financial Group,974,1,-37.166666666666664,-0.1706357134060318,0.0382821081619638,0.7493809137642375,0.20567576950672317,0.375,0.07712841356502119
Sebastien Naji,1,0.050286947625820304,-0.050286947625820304,,56.0,William Blair,198,1,-56.0,1.364883000190209,,0.15159505850186042,0.7582390293460347,0.09090909090909091,0.06893082084963952
Srini Pajjuri,4,0.09196327418241845,-0.09196327418241845,-0.01274602548343429,54.25,RBC Capital Markets,1269,2,-54.25,-0.2432445299398035,0.6035327396702018,0.207141531778453,0.18914324716961708,0.2857142857142857,0.054040927762747736
Barney Yao,1,0.04079422112433566,-0.04079422112433566,,89.0,Haitong International Research,2898,1,-89.0,1.7311704368312724,,-0.8958527232853135,0.4176588567729794,0.09090909090909091,0.03796898697936177
Purdy Ho,3,0.04521736273244551,-0.04521736273244551,-0.014703562776829986,119.0,Huatai Research,1271,1,-119.0,1.5604985859903573,0.41320159939619683,-1.8480779794554716,0.041874068643694175,0.23076923076923078,0.009663246610083272
James Kelleher,6,0.06972993560887046,-0.06972993560887046,-0.018142286711241733,83.66666666666667,Argus Research,376,1,-83.66666666666667,0.6146536295409419,0.07885484149164589,-0.7265682332995078,-0.011019920755639992,0.375,-0.004132470283364997
C.J. Muse,6,0.08456647656016598,-0.08456647656016598,-0.021715445531061875,56.666666666666664,Cantor Fitzgerald,1190,1,-56.666666666666664,0.04216915389316399,-0.26856300584691506,0.13043449725363476,-0.03198645156670543,0.375,-0.011994919337514537
Chaim Siegel,1,0.07842344961240309,-0.07842344961240309,,82.0,Elazar Advisors,3400,1,-82.0,0.2792046982713921,,-0.6736668301789434,-0.19723106595377562,0.09090909090909091,-0.017930096904888695
N. Quinn Bolton,7,0.08906854678578281,-0.08906854678578281,-0.021372282109817266,53.42857142857143,Needham,477,1,-53.42857142857143,-0.13154824566125628,-0.23519726334679888,0.2332143661735882,-0.04451038094482231,0.4117647058823529,-0.018327803918456245
Kevin Cassidy,4,0.07582099970800302,-0.07582099970800302,-0.02518958947628832,64.5,Rosenblatt Securities,2623,1,-64.5,0.37962312961673833,-0.6063536475894002,-0.11820209741301772,-0.11497753846189322,0.2857142857142857,-0.03285072527482663
Guo Han Wang,5,0.07611267835730728,-0.07611267835730728,-0.024944600771195015,64.4,China Renaissance Securities (US),2903,1,-64.4,0.3683683837057634,-0.5825334221704636,-0.11502801322578404,-0.10973101723016139,0.3333333333333333,-0.036577005743387125
Grace Chi,1,0.08808831259856317,-0.08808831259856317,,95.0,Haitong International Research,2898,1,-95.0,-0.09372481656652112,,-1.0862977745193452,-0.5900112955429332,0.09090909090909091,-0.05363739050390302
