analyst,n_observations,mean_fe,accuracy_score,consistency_score,avg_staleness_days,current_broker,current_broker_code,n_brokers,freshness_score,accuracy_score_z,consistency_score_z,freshness_score_z,partial_reliability_score_raw,credibility_weight,partial_reliability_score,factor_alpha,factor_alpha_tstat,factor_alpha_annualized,loading_Mkt-RF,loading_SMB,loading_HML,loading_MOM,loading_RMW,loading_CMA,n_factor_obs,r_squared,factor_alpha_z,partial_reliability_score_with_factor_raw,partial_reliability_score_with_factor
Kevin Rottinghaus,4,0.08440078960274212,-0.08440078960274212,-0.0058027603746026975,8.75,Edgewater Research,3222,1,-8.75,0.04856236988965891,1.278625658638923,1.6513498369698596,0.9928459551661472,0.2857142857142857,0.28367027290461344,,,,,,,,,,4,,,0.9928459551661472,0.28367027290461344
Brian Chin,4,0.0769547796501013,-0.0769547796501013,-0.004302985340528093,30.25,Stifel Nicolaus,548,1,-30.25,0.33587496636340114,1.424448623725189,0.9689217367145795,0.9097484422677232,0.2857142857142857,0.25992812636220664,,,,,,,,,,4,,,0.9097484422677232,0.25992812636220664
Chandler B. Converse,6,0.09339373925091009,-0.09339373925091009,-0.017407385740559812,13.0,Cleveland Research Company,2295,1,-13.0,-0.2984406196049211,0.1503091837462069,1.5164512590124204,0.45610660771790207,0.375,0.17103997789421327,0.10279903578390226,2.630239075432512,0.41119614313560904,-0.001995987034660012,-0.0014517008723731117,-0.002545126126733642,-0.00031835370656808177,,,6,0.3245873417296231,0.6383162712280405,0.5016590235954367,0.18812213384828874
Warren Lau,8,0.09539957136187663,-0.09539957136187663,-0.012040038242623261,20.25,Aletheia Capital,2859,1,-20.25,-0.3758378881497759,0.6721758030824808,1.2863301554379656,0.5275560234568902,0.4444444444444444,0.23446934375861786,0.08713002851743928,8.784172177963748,0.34852011406975714,0.0008593449526722256,-0.002158301532998865,0.0018331506478458214,0.001008191430111232,,,8,0.7308409691879987,-0.27514940115940456,0.3268796673028165,0.14527985213458508
Melissa Weathers,3,0.06590247787454644,-0.06590247787454644,-0.014118964846892897,44.0,Deutsche Bank Research,77,1,-44.0,0.7623403539123117,0.47004199318186834,0.5324851609699237,0.5882891693547012,0.23076923076923078,0.13575903908185413,,,,,,,,,,3,,,0.5882891693547012,0.13575903908185413
C.J. Muse,6,0.08456647656016598,-0.08456647656016598,-0.021715445531061875,56.666666666666664,Cantor Fitzgerald,1190,1,-56.666666666666664,0.04216915389316399,-0.26856300584691506,0.13043449725363476,-0.03198645156670543,0.375,-0.011994919337514537,0.11601676766635888,3.141433123775059,0.4640670706654355,-0.005237530361709151,0.0012920529759254586,-0.006172929045515294,-0.0031823376693562917,,,6,0.6124773707731621,1.4088784476390226,0.3282297732347266,0.12308616496302247
Melissa Fairbanks,2,0.04852209725821695,-0.04852209725821695,-0.003999548573556885,86.0,Raymond James,402,1,-86.0,1.4329817194678969,1.4539517479075663,-0.8006301976682977,0.6954344232357218,0.16666666666666666,0.11590573720595362,,,,,,,,,,2,,,0.6954344232357218,0.11590573720595362
Yik Ban Chong,1,0.044237592634179215,-0.044237592634179215,,46.0,Phillip Securities,651,1,-46.0,1.5983041076953592,,0.4690034772252465,1.0336537924603029,0.09090909090909091,0.09396852658730026,,,,,,,,,,1,,,1.0336537924603029,0.09396852658730026
Sidney Ho,2,0.12939047334680417,-0.12939047334680417,-0.0011534347620430763,11.0,Deutsche Bank Research,77,1,-11.0,-1.6874147417786591,1.7306790873675137,1.5799329427570976,0.541065762781984,0.16666666666666666,0.09017762713033067,,,,,,,,,,2,,,0.541065762781984,0.09017762713033067
Aaron Rakers,9,0.08478708405308359,-0.08478708405308359,-0.017613871626890355,33.666666666666664,Wells Fargo Securities,596,1,-33.666666666666664,0.033656767797139414,0.13023258325007697,0.8604738603174227,0.341454403788213,0.47368421052631576,0.16174155968915352,0.08692520226052632,5.791734865372393,0.34770080904210526,-0.000516834654106764,-0.00013946708884747693,-0.0011561871674470553,0.00019013284710246833,,,9,0.07524478504639753,-0.2870902823723496,0.18431823224807237,0.08730863632803428
Heping Qin,1,0.07290594498669033,-0.07290594498669033,,17.0,Guotai Haitong Securities China,1094,1,-17.0,0.49210376638332604,,1.389487891523066,0.940795828953196,0.09090909090909091,0.08552689354119965,,,,,,,,,,1,,,0.940795828953196,0.08552689354119965
Sebastien Naji,1,0.050286947625820304,-0.050286947625820304,,56.0,William Blair,198,1,-56.0,1.364883000190209,,0.15159505850186042,0.7582390293460347,0.09090909090909091,0.06893082084963952,,,,,,,,,,1,,,0.7582390293460347,0.06893082084963952
Steven Fox,6,0.07185491049245679,-0.07185491049245679,-0.013520987541805089,40.666666666666664,Fox Advisors,3474,1,-40.666666666666664,0.5326591042679609,0.5281832621729224,0.6382879672110524,0.5663767778839787,0.375,0.212391291706492,0.07367088463428374,2.3223684342206514,0.29468353853713497,-0.0006126230684456312,-0.0017324184463133946,-0.0011662973549268411,0.000532190733594218,,,6,0.2625011025532712,-1.0597853202007084,0.15983625336280688,0.05993859501105258
Srini Pajjuri,4,0.09196327418241845,-0.09196327418241845,-0.01274602548343429,54.25,RBC Capital Markets,1269,2,-54.25,-0.2432445299398035,0.6035327396702018,0.207141531778453,0.18914324716961708,0.2857142857142857,0.054040927762747736,,,,,,,,,,4,,,0.18914324716961708,0.054040927762747736
N. Quinn Bolton,7,0.08906854678578281,-0.08906854678578281,-0.021372282109817266,53.42857142857143,Needham,477,1,-53.42857142857143,-0.13154824566125628,-0.23519726334679888,0.2332143661735882,-0.04451038094482231,0.4117647058823529,-0.018327803918456245,0.10186741966741897,2.5002449949506094,0.40746967866967587,-0.002546243042745163,-0.000544841669399261,-0.002785287053463196,-0.00040930816747921576,,,7,0.14157739309134332,0.5840052783375196,0.11261853387576316,0.04637233747825542
Matthew Bryson,8,0.11671215950443264,-0.11671215950443264,-0.02929459221574781,18.375,Wedbush Securities,590,1,-18.375,-1.1982078655954171,-1.0054826219722681,1.3458442339486005,-0.2859487512063616,0.4444444444444444,-0.12708833386949403,0.11288415611719312,2.6759677952419585,0.45153662446877246,0.00037143882562834583,-0.003116407899556822,-0.0011703078209684763,0.0013156722757827939,,,8,0.17764382420357627,1.2262546817280808,0.09210210702724902,0.040934269789888456
Vijay Rakesh,9,0.08462472887610376,-0.08462472887610376,-0.021816277458764334,34.22222222222222,Mizuho Securities USA,1802,1,-34.22222222222222,0.03992142333019935,-0.2783668833211184,0.8428400592772345,0.20146486642877182,0.47368421052631576,0.09543072620310243,0.08714896627881999,4.54109483159934,0.34859586511527996,-0.00012034865237831526,0.0003105727660239982,-0.0003034257755785608,-0.0004976161668069598,,,9,0.014391571655062219,-0.27404537493496306,0.0825873060878381,0.03912030288371278
Barney Yao,1,0.04079422112433566,-0.04079422112433566,,89.0,Haitong International Research,2898,1,-89.0,1.7311704368312724,,-0.8958527232853135,0.4176588567729794,0.09090909090909091,0.03796898697936177,,,,,,,,,,1,,,0.4176588567729794,0.03796898697936177
Purdy Ho,3,0.04521736273244551,-0.04521736273244551,-0.014703562776829986,119.0,Huatai Research,1271,1,-119.0,1.5604985859903573,0.41320159939619683,-1.8480779794554716,0.041874068643694175,0.23076923076923078,0.009663246610083272,,,,,,,,,,3,,,0.041874068643694175,0.009663246610083272
Mehdi Hosseini,6,0.09008153987213963,-0.09008153987213963,-0.018559573333249632,37.166666666666664,Susquehanna Financial Group,974,1,-37.166666666666664,-0.1706357134060318,0.0382821081619638,0.7493809137642375,0.20567576950672317,0.375,0.07712841356502119,0.08246079743115874,3.7348267521741185,0.32984318972463494,8.530040933465164e-05,-0.00537153416908814,-0.0009920033630205064,0.0034686144012859195,,,6,0.8103875571407916,-0.54735441333593,0.017418223796059867,0.00653183392352245
Krish Sankar,7,0.08317433450570724,-0.08317433450570724,-0.01734047836974197,30.0,TD Cowen,917,1,-30.0,0.09588650733088973,0.15681458020708627,0.9768569471826641,0.4098526782402134,0.4117647058823529,0.1687628675106761,0.07162842262173721,3.5341466374815784,0.28651369048694886,0.002602399473388123,0.0027027245397997536,0.003660481482949148,-0.0013734114560365546,,,7,0.6773163497551999,-1.1788559737455506,0.012675515243772362,0.005219329806259208
Chaim Siegel,1,0.07842344961240309,-0.07842344961240309,,82.0,Elazar Advisors,3400,1,-82.0,0.2792046982713921,,-0.6736668301789434,-0.19723106595377562,0.09090909090909091,-0.017930096904888695,,,,,,,,,,1,,,-0.19723106595377562,-0.017930096904888695
Kevin Cassidy,4,0.07582099970800302,-0.07582099970800302,-0.02518958947628832,64.5,Rosenblatt Securities,2623,1,-64.5,0.37962312961673833,-0.6063536475894002,-0.11820209741301772,-0.11497753846189322,0.2857142857142857,-0.03285072527482663,,,,,,,,,,4,,,-0.11497753846189322,-0.03285072527482663
Guo Han Wang,5,0.07611267835730728,-0.07611267835730728,-0.024944600771195015,64.4,China Renaissance Securities (US),2903,1,-64.4,0.3683683837057634,-0.5825334221704636,-0.11502801322578404,-0.10973101723016139,0.3333333333333333,-0.036577005743387125,,,,,,,,,,5,,,-0.10973101723016139,-0.036577005743387125
Grace Chi,1,0.08808831259856317,-0.08808831259856317,,95.0,Haitong International Research,2898,1,-95.0,-0.09372481656652112,,-1.0862977745193452,-0.5900112955429332,0.09090909090909091,-0.05363739050390302,,,,,,,,,,1,,,-0.5900112955429332,-0.05363739050390302
Siyu Cai,3,0.07520114492983784,-0.07520114492983784,-0.015211930555533139,121.0,Mega Intl Invst Serv,1175,1,-121.0,0.4035409173828061,0.36377305500750223,-1.9115596632001488,-0.3814152302699468,0.23076923076923078,-0.08801889929306465,,,,,,,,,,3,,,-0.3814152302699468,-0.08801889929306465
Jeff Pu,1,0.12057461240310076,-0.12057461240310076,,82.0,Haitong International Research,2898,1,-82.0,-1.3472449174033168,,-0.6736668301789434,-1.01045587379113,0.09090909090909091,-0.09185962489010273,,,,,,,,,,1,,,-1.01045587379113,-0.09185962489010273
Yiyang Fan,1,0.11740114260109781,-0.11740114260109781,,89.0,Capital Securities Asia,1128,1,-89.0,-1.2247930466102748,,-0.8958527232853135,-1.0603228849477941,0.09090909090909091,-0.09639298954070856,,,,,,,,,,1,,,-1.0603228849477941,-0.09639298954070856
Sung Kyu Kim,9,0.08387498619378214,-0.08387498619378214,-0.020600962482739,77.77777777777777,Daiwa Securities Co. Ltd.,467,1,-77.77777777777777,0.06885108070577303,-0.16020193905192143,-0.5396499422735135,-0.21033360020655398,0.47368421052631576,-0.09963170536099925,0.08555635952315148,4.846701687308845,0.3422254380926059,0.0003302858599480753,2.855306947903787e-05,-0.0006216503059817381,-0.0006901238951984908,,,9,0.06481106588062568,-0.36689054222448714,-0.24947283571103726,-0.11817134323154396
John N. Vinh,6,0.08514594032366075,-0.08514594032366075,-0.027740604996321788,80.16666666666667,KeyBanc Capital Markets,618,1,-80.16666666666667,0.019809898464948805,-0.8543886119411662,-0.6154752867463227,-0.4833513334075133,0.375,-0.1812567500278175,0.08841013967231251,1.5625615017651413,0.35364055868925004,-0.0014639043076738907,-0.004816822411512201,-0.0031328803462306555,0.002164790827504102,,,6,0.4426259728781127,-0.20052198048549102,-0.4126439951770077,-0.1547414981913779
