firm,quarter_end,quarter,year,report_date,actual_eps,sic_code
MU-US,2026-02-27,2026Q1,2026,20260318,12.0709,3674
MU-US,2025-11-28,2025Q4,2025,20251217,4.6046,3674
MU-US,2025-08-29,2025Q3,2025,20250923,2.8302,3674
MU-US,2025-05-30,2025Q2,2025,20250625,1.6756,3674
MU-US,2025-02-28,2025Q1,2025,20250320,1.4096,3674
MU-US,2024-11-29,2024Q4,2024,20241218,1.6667,3674
MU-US,2024-08-30,2024Q3,2024,20240925,0.7884,3674
MU-US,2024-05-31,2024Q2,2024,20240626,0.2956,3674
MU-US,2024-02-29,2024Q1,2024,20240320,0.7118,3674
MU-US,2023-11-30,2023Q4,2023,20231220,-1.1218,3674
MU-US,2023-08-31,2023Q3,2023,20230928,-1.3059,3674
MU-US,2023-05-31,2023Q2,2023,20230628,-1.7331,3674
