firm,quarter_end,quarter,year,report_date,snapshot_date,analyst,broker,broker_code,estimate_value,revision_date,staleness_days,actual_eps,price_10d_prior,market_cap
MU-US,2026-02-27,2026Q1,2026,20260318,20260317,Mark Li,Bernstein Research,1140,,20260316,1,12.0709,400.77,451070.34
MU-US,2026-02-27,2026Q1,2026,20260318,20260317,David Gibson,MST Financial,3293,,20260313,4,12.0709,400.77,451070.34
MU-US,2026-02-27,2026Q1,2026,20260318,20260317,Kevin Cassidy,Rosenblatt Securities,2623,31.5,20251218,89,12.0709,400.77,451070.34
MU-US,2026-02-27,2026Q1,2026,20260318,20260317,Srini Pajjuri,RBC Capital Markets,1269,54.3,20260313,4,12.0709,400.77,451070.34
MU-US,2026-02-27,2026Q1,2026,20260318,20260317,C.J. Muse,Cantor Fitzgerald,1190,32.56,20251218,89,12.0709,400.77,451070.34
MU-US,2026-02-27,2026Q1,2026,20260318,20260317,Krish Sankar,TD Cowen,917,46.08,20260313,4,12.0709,400.77,451070.34
MU-US,2026-02-27,2026Q1,2026,20260318,20260317,Matthew Bryson,Wedbush Securities,590,43.86,20260312,5,12.0709,400.77,451070.34
MU-US,2026-02-27,2026Q1,2026,20260318,20260317,Kevin Rottinghaus,Edgewater Research,3222,46.1,20260311,6,12.0709,400.77,451070.34
MU-US,2026-02-27,2026Q1,2026,20260318,20260317,Vijay Rakesh,Mizuho Securities USA,1802,37.0522,20260123,53,12.0709,400.77,451070.34
MU-US,2026-02-27,2026Q1,2026,20260318,20260317,Aaron Rakers,Wells Fargo Securities,596,37.61,20260310,7,12.0709,400.77,451070.34
MU-US,2026-02-27,2026Q1,2026,20260318,20260317,Steven Fox,Fox Advisors,3474,35.2,20260310,7,12.0709,400.77,451070.34
MU-US,2026-02-27,2026Q1,2026,20260318,20260317,Chandler B. Converse,Cleveland Research Company,2295,41.14087,20260310,7,12.0709,400.77,451070.34
MU-US,2026-02-27,2026Q1,2026,20260318,20260317,John N. Vinh,KeyBanc Capital Markets,618,34.49,20251218,89,12.0709,400.77,451070.34
MU-US,2026-02-27,2026Q1,2026,20260318,20260317,Melissa Weathers,Deutsche Bank Research,77,37.211384,20260206,39,12.0709,400.77,451070.34
MU-US,2026-02-27,2026Q1,2026,20260318,20260317,Guo Han Wang,China Renaissance Securities (US),2903,34.7,20260306,11,12.0709,400.77,451070.34
MU-US,2026-02-27,2026Q1,2026,20260318,20260317,Mehdi Hosseini,Susquehanna Financial Group,974,44.03,20260306,11,12.0709,400.77,451070.34
MU-US,2026-02-27,2026Q1,2026,20260318,20260317,Warren Lau,Aletheia Capital,2859,52.69,20260303,14,12.0709,400.77,451070.34
MU-US,2026-02-27,2026Q1,2026,20260318,20260317,Sebastien Naji,William Blair,198,32.2244,20260120,56,12.0709,400.77,451070.34
MU-US,2026-02-27,2026Q1,2026,20260318,20260317,Brian Chin,Stifel Nicolaus,548,45.7,20260227,18,12.0709,400.77,451070.34
MU-US,2026-02-27,2026Q1,2026,20260318,20260317,N. Quinn Bolton,Needham,477,38.75,20260213,32,12.0709,400.77,451070.34
MU-US,2026-02-27,2026Q1,2026,20260318,20260317,Yik Ban Chong,Phillip Securities,651,29.8,20260130,46,12.0709,400.77,451070.34
MU-US,2026-02-27,2026Q1,2026,20260318,20260317,Pierre Ferragu,New Street Research,1634,32.0,20251218,89,12.0709,400.77,451070.34
MU-US,2026-02-27,2026Q1,2026,20260318,20260317,Sung Kyu Kim,Daiwa Securities Co. Ltd.,467,34.334,20251231,76,12.0709,400.77,451070.34
MU-US,2026-02-27,2026Q1,2026,20260318,20260317,James Kelleher,Argus Research,376,31.15,20251222,85,12.0709,400.77,451070.34
MU-US,2026-02-27,2026Q1,2026,20260318,20260317,Purdy Ho,Huatai Research,1271,24.0,20251218,89,12.0709,400.77,451070.34
MU-US,2026-02-27,2026Q1,2026,20260318,20260317,Barney Yao,Haitong International Research,2898,28.42,20251218,89,12.0709,400.77,451070.34
MU-US,2026-02-27,2026Q1,2026,20260318,20260317,Siyu Cai,Mega Intl Invst Serv,1175,35.5,20251218,89,12.0709,400.77,451070.34
MU-US,2026-02-27,2026Q1,2026,20260318,20260317,Melissa Fairbanks,Raymond James,402,33.12,20251218,89,12.0709,400.77,451070.34
MU-US,2025-11-28,2025Q4,2025,20251217,20251216,Krish Sankar,TD Cowen,917,22.5416,20251210,6,4.6046,234.16,263511.9
MU-US,2025-11-28,2025Q4,2025,20251217,20251216,N. Quinn Bolton,Needham,477,19.7,20251215,1,4.6046,234.16,263511.9
MU-US,2025-11-28,2025Q4,2025,20251217,20251216,Kevin Rottinghaus,Edgewater Research,3222,25.49,20251212,4,4.6046,234.16,263511.9
MU-US,2025-11-28,2025Q4,2025,20251217,20251216,Kevin Cassidy,Rosenblatt Securities,2623,17.65,20251114,32,4.6046,234.16,263511.9
MU-US,2025-11-28,2025Q4,2025,20251217,20251216,Chandler B. Converse,Cleveland Research Company,2295,23.036554,20251118,28,4.6046,234.16,263511.9
MU-US,2025-11-28,2025Q4,2025,20251217,20251216,C.J. Muse,Cantor Fitzgerald,1190,24.27,20251212,4,4.6046,234.16,263511.9
MU-US,2025-11-28,2025Q4,2025,20251217,20251216,Matthew Bryson,Wedbush Securities,590,21.9,20251212,4,4.6046,234.16,263511.9
MU-US,2025-11-28,2025Q4,2025,20251217,20251216,Brian Chin,Stifel Nicolaus,548,21.5,20251211,5,4.6046,234.16,263511.9
MU-US,2025-11-28,2025Q4,2025,20251217,20251216,Steven Fox,Fox Advisors,3474,17.75,20251210,6,4.6046,234.16,263511.9
MU-US,2025-11-28,2025Q4,2025,20251217,20251216,Mark Li,Bernstein Research,1140,,20251205,11,4.6046,234.16,263511.9
MU-US,2025-11-28,2025Q4,2025,20251217,20251216,John N. Vinh,KeyBanc Capital Markets,618,16.53,20250924,83,4.6046,234.16,263511.9
MU-US,2025-11-28,2025Q4,2025,20251217,20251216,Melissa Weathers,Deutsche Bank Research,77,16.41,20250924,83,4.6046,234.16,263511.9
MU-US,2025-11-28,2025Q4,2025,20251217,20251216,Mehdi Hosseini,Susquehanna Financial Group,974,19.62,20251205,11,4.6046,234.16,263511.9
MU-US,2025-11-28,2025Q4,2025,20251217,20251216,Warren Lau,Aletheia Capital,2859,27.06,20251204,12,4.6046,234.16,263511.9
MU-US,2025-11-28,2025Q4,2025,20251217,20251216,Vijay Rakesh,Mizuho Securities USA,1802,17.89,20251202,14,4.6046,234.16,263511.9
MU-US,2025-11-28,2025Q4,2025,20251217,20251216,Aaron Rakers,Wells Fargo Securities,596,17.8529,20251106,40,4.6046,234.16,263511.9
MU-US,2025-11-28,2025Q4,2025,20251217,20251216,Pierre Ferragu,New Street Research,1634,16.89,20250924,83,4.6046,234.16,263511.9
MU-US,2025-11-28,2025Q4,2025,20251217,20251216,Purdy Ho,Huatai Research,1271,14.18,20250924,83,4.6046,234.16,263511.9
MU-US,2025-11-28,2025Q4,2025,20251217,20251216,sean Hao,Fubon Securities,1084,13.4,20250924,83,4.6046,234.16,263511.9
MU-US,2025-11-28,2025Q4,2025,20251217,20251216,Harsh Kumar,Piper Sandler Companies,570,16.82,20250924,83,4.6046,234.16,263511.9
MU-US,2025-11-28,2025Q4,2025,20251217,20251216,Sung Kyu Kim,Daiwa Securities Co. Ltd.,467,17.385,20250924,83,4.6046,234.16,263511.9
MU-US,2025-11-28,2025Q4,2025,20251217,20251216,Melissa Fairbanks,Raymond James,402,15.03,20250924,83,4.6046,234.16,263511.9
MU-US,2025-11-28,2025Q4,2025,20251217,20251216,James Kelleher,Argus Research,376,15.16,20250924,83,4.6046,234.16,263511.9
MU-US,2025-08-29,2025Q3,2025,20250923,20250922,Warren Lau,Aletheia Capital,2859,14.24,20250919,3,2.8302,135.24,151350.48
MU-US,2025-08-29,2025Q3,2025,20250923,20250922,Harsh Kumar,Piper Sandler Companies,570,13.46,20250811,42,2.8302,135.24,151350.48
MU-US,2025-08-29,2025Q3,2025,20250923,20250922,Brian Chin,Stifel Nicolaus,548,13.04,20250919,3,2.8302,135.24,151350.48
MU-US,2025-08-29,2025Q3,2025,20250923,20250922,Chandler B. Converse,Cleveland Research Company,2295,15.556841,20250918,4,2.8302,135.24,151350.48
MU-US,2025-08-29,2025Q3,2025,20250923,20250922,Mark Li,Bernstein Research,1140,,20250620,94,2.8302,135.24,151350.48
MU-US,2025-08-29,2025Q3,2025,20250923,20250922,Krish Sankar,TD Cowen,917,16.57,20250918,4,2.8302,135.24,151350.48
MU-US,2025-08-29,2025Q3,2025,20250923,20250922,Steven Fox,Fox Advisors,3474,12.95,20250811,42,2.8302,135.24,151350.48
MU-US,2025-08-29,2025Q3,2025,20250923,20250922,Kevin Cassidy,Rosenblatt Securities,2623,14.75,20250811,42,2.8302,135.24,151350.48
MU-US,2025-08-29,2025Q3,2025,20250923,20250922,Vijay Rakesh,Mizuho Securities USA,1802,13.07,20250912,10,2.8302,135.24,151350.48
