analyst,broker,broker_code,firm,quarter,year,fe,market_cap,sic_code,revision_date,staleness_days
Mark Li,Bernstein Research,1140,MU-US,2026Q1,2026,,451070.34,3674,20260316,1
David Gibson,MST Financial,3293,MU-US,2026Q1,2026,,451070.34,3674,20260313,4
Kevin Cassidy,Rosenblatt Securities,2623,MU-US,2026Q1,2026,0.04847942710282706,451070.34,3674,20251218,89
Srini Pajjuri,RBC Capital Markets,1269,MU-US,2026Q1,2026,0.10536991291763355,451070.34,3674,20260313,4
C.J. Muse,Cantor Fitzgerald,1190,MU-US,2026Q1,2026,0.05112433565386631,451070.34,3674,20251218,89
Krish Sankar,TD Cowen,917,MU-US,2026Q1,2026,0.08485939566334805,451070.34,3674,20260313,4
Matthew Bryson,Wedbush Securities,590,MU-US,2026Q1,2026,0.07932005888664322,451070.34,3674,20260312,5
Kevin Rottinghaus,Edgewater Research,3222,MU-US,2026Q1,2026,0.08490929959827333,451070.34,3674,20260311,6
Vijay Rakesh,Mizuho Securities USA,1802,MU-US,2026Q1,2026,0.062333258477430944,451070.34,3674,20260123,53
Aaron Rakers,Wells Fargo Securities,596,MU-US,2026Q1,2026,0.06372507922249669,451070.34,3674,20260310,7
Steven Fox,Fox Advisors,3474,MU-US,2026Q1,2026,0.057711655064001804,451070.34,3674,20260310,7
Chandler B. Converse,Cleveland Research Company,2295,MU-US,2026Q1,2026,0.07253529455797589,451070.34,3674,20260310,7
John N. Vinh,KeyBanc Capital Markets,618,MU-US,2026Q1,2026,0.05594006537415475,451070.34,3674,20251218,89
Melissa Weathers,Deutsche Bank Research,77,MU-US,2026Q1,2026,0.06273045387628814,451070.34,3674,20260206,39
Guo Han Wang,China Renaissance Securities (US),2903,MU-US,2026Q1,2026,0.05646405669087008,451070.34,3674,20260306,11
Mehdi Hosseini,Susquehanna Financial Group,974,MU-US,2026Q1,2026,0.079744242333508,451070.34,3674,20260306,11
Warren Lau,Aletheia Capital,2859,MU-US,2026Q1,2026,0.1013526461561494,451070.34,3674,20260303,14
Sebastien Naji,William Blair,198,MU-US,2026Q1,2026,0.050286947625820304,451070.34,3674,20260120,56
Brian Chin,Stifel Nicolaus,548,MU-US,2026Q1,2026,0.08391122089976795,451070.34,3674,20260227,18
N. Quinn Bolton,Needham,477,MU-US,2026Q1,2026,0.06656960351323701,451070.34,3674,20260213,32
Yik Ban Chong,Phillip Securities,651,MU-US,2026Q1,2026,0.044237592634179215,451070.34,3674,20260130,46
Pierre Ferragu,New Street Research,1634,MU-US,2026Q1,2026,0.04972702547595878,451070.34,3674,20251218,89
Sung Kyu Kim,Daiwa Securities Co. Ltd.,467,MU-US,2026Q1,2026,0.05555081468173766,451070.34,3674,20251231,76
James Kelleher,Argus Research,376,MU-US,2026Q1,2026,0.047606108241634845,451070.34,3674,20251222,85
Purdy Ho,Huatai Research,1271,MU-US,2026Q1,2026,0.029765451505851238,451070.34,3674,20251218,89
Barney Yao,Haitong International Research,2898,MU-US,2026Q1,2026,0.04079422112433566,451070.34,3674,20251218,89
Siyu Cai,Mega Intl Invst Serv,1175,MU-US,2026Q1,2026,0.05846021408788083,451070.34,3674,20251218,89
Melissa Fairbanks,Raymond James,402,MU-US,2026Q1,2026,0.05252164583177383,451070.34,3674,20251218,89
Krish Sankar,TD Cowen,917,MU-US,2025Q4,2025,0.07660146908097026,263511.9,3674,20251210,6
N. Quinn Bolton,Needham,477,MU-US,2025Q4,2025,0.06446617697300991,263511.9,3674,20251215,1
Kevin Rottinghaus,Edgewater Research,3222,MU-US,2025Q4,2025,0.08919285958319097,263511.9,3674,20251212,4
Kevin Cassidy,Rosenblatt Securities,2623,MU-US,2025Q4,2025,0.05571147933037239,263511.9,3674,20251114,32
Chandler B. Converse,Cleveland Research Company,2295,MU-US,2025Q4,2025,0.0787152118209771,263511.9,3674,20251118,28
C.J. Muse,Cantor Fitzgerald,1190,MU-US,2025Q4,2025,0.08398274683976767,263511.9,3674,20251212,4
Matthew Bryson,Wedbush Securities,590,MU-US,2025Q4,2025,0.07386146224803554,263511.9,3674,20251212,4
Brian Chin,Stifel Nicolaus,548,MU-US,2025Q4,2025,0.07215322856166724,263511.9,3674,20251211,5
Steven Fox,Fox Advisors,3474,MU-US,2025Q4,2025,0.05613853775196447,263511.9,3674,20251210,6
Mark Li,Bernstein Research,1140,MU-US,2025Q4,2025,,263511.9,3674,20251205,11
John N. Vinh,KeyBanc Capital Markets,618,MU-US,2025Q4,2025,0.050928425008541174,263511.9,3674,20250924,83
Melissa Weathers,Deutsche Bank Research,77,MU-US,2025Q4,2025,0.050415954902630684,263511.9,3674,20250924,83
Mehdi Hosseini,Susquehanna Financial Group,974,MU-US,2025Q4,2025,0.06412453023573625,263511.9,3674,20251205,11
Warren Lau,Aletheia Capital,2859,MU-US,2025Q4,2025,0.09589767680218653,263511.9,3674,20251204,12
Vijay Rakesh,Mizuho Securities USA,1802,MU-US,2025Q4,2025,0.05673641954219338,263511.9,3674,20251202,14
Aaron Rakers,Wells Fargo Securities,596,MU-US,2025Q4,2025,0.05657798086778272,263511.9,3674,20251106,40
