firm,quarter_end,quarter,year,report_date,price_date,price_10d_prior,market_cap,market_cap_direct,shares_outstanding
MU-US,2026-02-27,2026Q1,2026,20260318,20260304,400.77,451070.34,451070.34,
MU-US,2025-11-28,2025Q4,2025,20251217,20251203,234.16,263511.9,263511.9,
MU-US,2025-08-29,2025Q3,2025,20250923,20250909,135.24,151350.48,151350.48,
MU-US,2025-05-30,2025Q2,2025,20250625,20250610,114.14,127559.62,127559.62,
MU-US,2025-02-28,2025Q1,2025,20250320,20250306,89.27,99462.12,99462.12,
MU-US,2024-11-29,2024Q4,2024,20241218,20241204,103.2,114969.234,114969.234,
MU-US,2024-08-30,2024Q3,2024,20240925,20240911,90.65,100516.47,100516.47,
MU-US,2024-05-31,2024Q2,2024,20240626,20240611,135.07,149572.22,149572.22,
MU-US,2024-02-29,2024Q1,2024,20240320,20240306,95.56,105489.54,105489.54,
MU-US,2023-11-30,2023Q4,2023,20231220,20231206,73.13,80716.05,80716.05,
MU-US,2023-08-31,2023Q3,2023,20230928,20230914,71.79,78631.7,78631.7,
MU-US,2023-05-31,2023Q2,2023,20230628,20230613,67.87,74276.555,74276.555,
