analyst,broker,broker_code,firm,quarter,year,fe,market_cap,sic_code,revision_date,staleness_days
Nehal Chokshi,Northland Securities,1093,NBIS-US,2026Q1,2026,-0.04182307528861817,30801.807,7370,20260220,81
Michael Donovan,Compass Point Research,1921,NBIS-US,2026Q1,2026,-0.026949500672852185,30801.807,7370,20260217,84
Ye Tao,China International Capital,898,NBIS-US,2026Q1,2026,-0.03814009490757136,30801.807,7370,20260213,88
James Kisner,Water Tower Research,3553,NBIS-US,2026Q1,2026,-0.041256462922303276,30801.807,7370,20260212,89
Jay Goldberg,Seaport Research Partners,1321,NBIS-US,2026Q1,2026,-0.02723280685600963,30801.807,7370,20260212,89
Nehal Chokshi,Northland Securities,1093,NBIS-US,2025Q4,2025,-0.028906332314824573,20705.43,7370,20251111,92
Paul Meeks,Freedom Capital Markets,3772,NBIS-US,2025Q4,2025,-0.027431250658518598,20705.43,7370,20260130,12
James Kisner,Water Tower Research,3553,NBIS-US,2025Q4,2025,0.008497523970076915,20705.43,7370,20251119,84
Ye Tao,China International Capital,898,NBIS-US,2025Q4,2025,-0.019634390475187023,20705.43,7370,20251113,90
Jay Goldberg,Seaport Research Partners,1321,NBIS-US,2025Q4,2025,-0.014682330629016964,20705.43,7370,20250912,152
Ye Tao,China International Capital,898,NBIS-US,2025Q3,2025,-0.013912829352376262,26578.258,7370,20251107,3
Nehal Chokshi,Northland Securities,1093,NBIS-US,2025Q3,2025,-0.007838791759008455,26578.258,7370,20250923,48
Jay Goldberg,Seaport Research Partners,1321,NBIS-US,2025Q3,2025,-0.015636542723467126,26578.258,7370,20250912,59
Nehal Chokshi,Northland Securities,1093,NBIS-US,2025Q2,2025,-0.0766526073619632,10588.995,7370,20250520,78
Nehal Chokshi,Northland Securities,1093,NBIS-US,2025Q1,2025,-0.021410156526666193,30801.807,7370,20260220,81
Michael Donovan,Compass Point Research,1921,NBIS-US,2025Q1,2025,-0.006536581910900205,30801.807,7370,20260217,84
Ye Tao,China International Capital,898,NBIS-US,2025Q1,2025,-0.01772717614561938,30801.807,7370,20260213,88
James Kisner,Water Tower Research,3553,NBIS-US,2025Q1,2025,-0.0208435441603513,30801.807,7370,20260212,89
Jay Goldberg,Seaport Research Partners,1321,NBIS-US,2025Q1,2025,-0.006819888094057652,30801.807,7370,20260212,89
Nehal Chokshi,Northland Securities,1093,NBIS-US,2024Q4,2024,-0.033347381730060056,20705.43,7370,20251111,92
Paul Meeks,Freedom Capital Markets,3772,NBIS-US,2024Q4,2024,-0.031872300073754085,20705.43,7370,20260130,12
James Kisner,Water Tower Research,3553,NBIS-US,2024Q4,2024,0.004056474554841428,20705.43,7370,20251119,84
Ye Tao,China International Capital,898,NBIS-US,2024Q4,2024,-0.024075439890422507,20705.43,7370,20251113,90
Jay Goldberg,Seaport Research Partners,1321,NBIS-US,2024Q4,2024,-0.01912338004425245,20705.43,7370,20250912,152
Ye Tao,China International Capital,898,NBIS-US,2024Q3,2024,-0.013932528933760157,26578.258,7370,20251107,3
Nehal Chokshi,Northland Securities,1093,NBIS-US,2024Q3,2024,-0.00785849134039235,26578.258,7370,20250923,48
Jay Goldberg,Seaport Research Partners,1321,NBIS-US,2024Q3,2024,-0.015656242304851024,26578.258,7370,20250912,59
Nehal Chokshi,Northland Securities,1093,NBIS-US,2024Q1,2024,-0.0029712460063897727,5001.884,7370,20250505,14
