industry,quarter,industry_fe,industry_nn_predicted_fe,industry_linear_predicted_fe,n_firms,industry_sentiment
Utilities,2023Q2,0.2068075365193015,,,1,
Utilities,2023Q3,0.19491658488714428,,,1,
Utilities,2023Q4,0.12376733436055469,,,1,
Utilities,2024Q1,0.07912435305637153,,,1,
Utilities,2024Q2,0.07342933369818032,,,1,
Utilities,2024Q3,0.12861190448988918,,,1,
Utilities,2024Q4,0.04990445251289892,,,1,
Utilities,2025Q1,0.040546817849305056,,,1,
Utilities,2025Q2,0.061957645593273124,,,1,
Utilities,2025Q3,0.05380562847201026,,,1,
Utilities,2025Q4,0.057754739275622906,,,1,
Utilities,2026Q1,0.059619986631016045,,,1,
