analyst,n_observations,mean_fe,accuracy_score,consistency_score,avg_staleness_days,current_broker,current_broker_code,n_brokers,freshness_score,accuracy_score_z,consistency_score_z,freshness_score_z,partial_reliability_score_raw,credibility_weight,partial_reliability_score
J.R. Weston,4,0.06103680037090517,-0.06103680037090517,-0.01203479450016382,7.75,Raymond James,402,1,-7.75,0.0817876715119324,0.5529342439705758,1.9286360573074808,0.854452657596663,0.2857142857142857,0.2441293307419037
James West,3,0.05492667592459802,-0.05492667592459802,-0.003451451709357761,41.666666666666664,Melius Research,3130,1,-41.666666666666664,0.46124851940766876,0.9941436699023064,0.3178414097875962,0.591077866365857,0.23076923076923078,0.13640258454596701
Neil Kalton,4,0.0534104053114525,-0.0534104053114525,-0.012173126307763345,52.75,Wells Fargo Securities,596,1,-52.75,0.5554144136639351,0.5458235763779381,-0.20853620230121142,0.2975672625802206,0.2857142857142857,0.08501921788006302
Julien Dumoulin-Smith,7,0.06560988081233973,-0.06560988081233973,-0.02860783399661553,27.0,Jefferies,512,1,-27.0,-0.20221717929776822,-0.2989694281052626,1.0144012573637624,0.17107154998691051,0.4117647058823529,0.07044122646519844
Xiang Li,1,0.04602748522989982,-0.04602748522989982,,47.0,Citic Securities,1123,1,-47.0,1.0139204782639173,,0.06454691975989924,0.5392336990119082,0.09090909090909091,0.04902124536471893
Nicholas Amicucci,1,0.05829411764705883,-0.05829411764705883,,47.0,Evercore ISI,1772,1,-47.0,0.25211819768128474,,0.06454691975989924,0.158332558720592,0.09090909090909091,0.014393868974599272
Andrew Weisel,3,0.058867502903867046,-0.058867502903867046,-0.0039783919954810565,70.66666666666667,Scotiabank GBM,810,1,-70.66666666666667,0.21650889747286428,0.9670573671870297,-1.0594473797380057,0.04137296164062939,0.23076923076923078,0.009547606532452936
Durgesh Chopra,1,0.042604242867593276,-0.042604242867593276,,72.0,Evercore ISI,1772,1,-72.0,1.2265162217333532,,-1.1227710022449298,0.051872609744211706,0.09090909090909091,0.004715691794928337
Shahriar Pourreza,6,0.06349189904660131,-0.06349189904660131,-0.020165964831139086,74.16666666666667,Wells Fargo Securities,596,2,-74.16666666666667,-0.07068284415987316,0.13496783142959284,-1.2256718888186817,-0.38712896718298734,0.375,-0.14517336269362024
James M. Thalacker,10,0.08247045513757027,-0.08247045513757027,-0.04525680215027381,62.2,BMO Capital Markets,181,1,-62.2,-1.249319883290623,-1.1547760596776928,-0.6573423768190368,-1.0204794399291175,0.5,-0.5102397199645587
Angie Storozynski,12,0.09915184354314492,-0.09915184354314492,-0.056664800364175136,29.75,Seaport Research Partners,1321,1,-29.75,-2.285294492986692,-1.7411812010844867,0.8837962859432312,-1.0475598027093158,0.5454545454545454,-0.5713962560232632
