analyst,broker,broker_code,firm,quarter,year,fe,market_cap,sic_code,revision_date,staleness_days
Angie Storozynski,Seaport Research Partners,1321,NRG-US,2026Q1,2026,0.059274732620320854,32097.668,4911,20260505,0
Andrew Weisel,Scotiabank GBM,810,NRG-US,2026Q1,2026,0.06352552139037433,32097.668,4911,20260501,4
James M. Thalacker,BMO Capital Markets,181,NRG-US,2026Q1,2026,0.060366310160427816,32097.668,4911,20260501,4
Shahriar Pourreza,Wells Fargo Securities,596,NRG-US,2026Q1,2026,0.05631016042780749,32097.668,4911,20260224,70
James West,Melius Research,3130,NRG-US,2026Q1,2026,0.051074866310160436,32097.668,4911,20260424,11
J.R. Weston,Raymond James,402,NRG-US,2026Q1,2026,0.06116844919786096,32097.668,4911,20260424,11
Julien Dumoulin-Smith,Jefferies,512,NRG-US,2026Q1,2026,0.059965240641711236,32097.668,4911,20260420,15
Nicholas Amicucci,Evercore ISI,1772,NRG-US,2026Q1,2026,0.05829411764705883,32097.668,4911,20260319,47
Andrew Weisel,Scotiabank GBM,810,NRG-US,2025Q4,2025,0.059271358849216534,33429.586,4911,20250917,159
J.R. Weston,Raymond James,402,NRG-US,2025Q4,2025,0.0493025944002055,33429.586,4911,20260220,3
James M. Thalacker,BMO Capital Markets,181,NRG-US,2025Q4,2025,0.05623811970202928,33429.586,4911,20260220,3
Shahriar Pourreza,Wells Fargo Securities,596,NRG-US,2025Q4,2025,0.05244926791677369,33429.586,4911,20251106,109
Angie Storozynski,Seaport Research Partners,1321,NRG-US,2025Q4,2025,0.060283842794759825,33429.586,4911,20260205,18
Julien Dumoulin-Smith,Jefferies,512,NRG-US,2025Q4,2025,0.05938479321859748,33429.586,4911,20260126,28
Xiang Li,Citic Securities,1123,NRG-US,2025Q4,2025,0.04602748522989982,33429.586,4911,20260107,47
James West,Melius Research,3130,NRG-US,2025Q4,2025,0.05944901104546622,33429.586,4911,20251103,112
James West,Melius Research,3130,NRG-US,2025Q3,2025,0.05425615041816739,31685.898,4911,20251103,2
James M. Thalacker,BMO Capital Markets,181,NRG-US,2025Q3,2025,0.05272999206397656,31685.898,4911,20250804,93
Angie Storozynski,Seaport Research Partners,1321,NRG-US,2025Q3,2025,0.05657591111653746,31685.898,4911,20251031,5
Andrew Weisel,Scotiabank GBM,810,NRG-US,2025Q3,2025,0.05380562847201026,31685.898,4911,20250917,49
J.R. Weston,Raymond James,402,NRG-US,2025Q3,2025,0.053157316403149996,31685.898,4911,20251027,9
Shahriar Pourreza,Wells Fargo Securities,596,NRG-US,2025Q3,2025,0.06213112752579207,31685.898,4911,20251024,12
Julien Dumoulin-Smith,Jefferies,512,NRG-US,2025Q3,2025,0.05095781698309017,31685.898,4911,20251017,19
James M. Thalacker,BMO Capital Markets,181,NRG-US,2025Q2,2025,0.061957645593273124,31389.2,4911,20250804,1
J.R. Weston,Raymond James,402,NRG-US,2025Q2,2025,0.08051884148240424,31389.2,4911,20250728,8
Angie Storozynski,Seaport Research Partners,1321,NRG-US,2025Q2,2025,0.06205730302086577,31389.2,4911,20250716,20
Julien Dumoulin-Smith,Jefferies,512,NRG-US,2025Q2,2025,0.05709934599813143,31389.2,4911,20250716,20
Neil Kalton,Wells Fargo Securities,596,NRG-US,2025Q2,2025,0.04669760199314855,31389.2,4911,20250512,85
Julien Dumoulin-Smith,Jefferies,512,NRG-US,2025Q1,2025,0.047176298463789325,22273.02,4911,20250502,7
Shahriar Pourreza,Guggenheim Securities,1515,NRG-US,2025Q1,2025,0.036111923920994875,22273.02,4911,20250122,107
Angie Storozynski,Seaport Research Partners,1321,NRG-US,2025Q1,2025,0.04690197512801757,22273.02,4911,20250425,14
Durgesh Chopra,Evercore ISI,1772,NRG-US,2025Q1,2025,0.042604242867593276,22273.02,4911,20250226,72
Neil Kalton,Wells Fargo Securities,596,NRG-US,2025Q1,2025,0.03830651060716898,22273.02,4911,20250306,64
James M. Thalacker,BMO Capital Markets,181,NRG-US,2025Q1,2025,0.038489392831016836,22273.02,4911,20241115,175
Angie Storozynski,Seaport Research Partners,1321,NRG-US,2024Q4,2024,0.05191094974202178,20729.857,4911,20241210,77
Julien Dumoulin-Smith,Jefferies,512,NRG-US,2024Q4,2024,0.04990445251289892,20729.857,4911,20241125,92
James M. Thalacker,BMO Capital Markets,181,NRG-US,2024Q4,2024,0.044744888209440094,20729.857,4911,20241115,102
Julien Dumoulin-Smith,Jefferies,512,NRG-US,2024Q3,2024,0.13478121786815947,18064.428,4911,20241030,8
James M. Thalacker,BMO Capital Markets,181,NRG-US,2024Q3,2024,0.12746943904946875,18064.428,4911,20241025,13
Angie Storozynski,Seaport Research Partners,1321,NRG-US,2024Q3,2024,0.12861190448988918,18064.428,4911,20241021,17
Angie Storozynski,Seaport Research Partners,1321,NRG-US,2024Q2,2024,0.07827062525653303,15237.484,4911,20240730,8
James M. Thalacker,BMO Capital Markets,181,NRG-US,2024Q2,2024,0.06858804213982761,15237.484,4911,20240507,92
Angie Storozynski,Seaport Research Partners,1321,NRG-US,2024Q1,2024,0.08562875926703035,15351.364,4911,20240425,11
Shahriar Pourreza,Guggenheim Securities,1515,NRG-US,2024Q1,2024,0.0726199468457127,15351.364,4911,20240119,108
James M. Thalacker,BMO Capital Markets,181,NRG-US,2024Q1,2024,0.1315918310253182,15351.364,4911,20240123,104
Neil Kalton,Wells Fargo Securities,596,NRG-US,2024Q1,2024,0.057932577982934684,15351.364,4911,20240410,26
Neil Kalton,Wells Fargo Securities,596,NRG-US,2023Q4,2023,0.07070493066255779,10800.45,4911,20240122,36
James M. Thalacker,BMO Capital Markets,181,NRG-US,2023Q4,2023,0.1825288906009245,10800.45,4911,20240123,35
Shahriar Pourreza,Guggenheim Securities,1515,NRG-US,2023Q4,2023,0.10132896764252697,10800.45,4911,20240119,39
Angie Storozynski,Seaport Research Partners,1321,NRG-US,2023Q4,2023,0.14620570107858244,10800.45,4911,20231120,99
Angie Storozynski,Seaport Research Partners,1321,NRG-US,2023Q3,2023,0.19491658488714428,9338.826,4911,20230919,43
