analyst,n_observations,mean_fe,accuracy_score,consistency_score,avg_staleness_days,current_broker,current_broker_code,n_brokers,freshness_score,accuracy_score_z,consistency_score_z,freshness_score_z,partial_reliability_score_raw,credibility_weight,partial_reliability_score,factor_alpha,factor_alpha_tstat,factor_alpha_annualized,loading_Mkt-RF,loading_SMB,loading_HML,loading_MOM,loading_RMW,loading_CMA,n_factor_obs,r_squared,factor_alpha_z,partial_reliability_score_with_factor_raw,partial_reliability_score_with_factor
Kevin Rottinghaus,3,0.028735285126368488,-0.028735285126368488,-0.0022097463584009745,5.333333333333333,Edgewater Research,3222,1,-5.333333333333333,0.5805870671258616,1.0745426302067678,2.1161049650231565,1.257078220785262,0.23076923076923078,0.29009497402736817,,,,,,,,,,3,,,1.257078220785262,0.29009497402736817
Christopher Rolland,6,0.030481137177305596,-0.030481137177305596,-0.0029229602549988255,22.0,Susquehanna Financial Group,974,1,-22.0,0.1910092894203622,0.6082240711690644,1.5131838401221456,0.7708057335705241,0.375,0.2890521500889465,0.028515974763986582,6.129050993614366,0.11406389905594633,9.104119009520622e-05,-0.0006864830309276892,2.090388060247077e-05,0.0007308724975123012,,,6,0.660536703254904,0.053886805032154796,0.5915760014359317,0.2218410005384744
Rick Schafer,7,0.032077194749894226,-0.032077194749894226,-0.002950787013449458,35.42857142857143,Oppenheimer,498,1,-35.42857142857143,-0.16514263186378084,0.5900301829606497,1.0274016766304739,0.48409640924244757,0.4117647058823529,0.19933381557041957,0.03158135003396759,6.521266605815758,0.12632540013587035,3.600020999646261e-05,-0.0005528898419547843,-0.00018196171261563603,0.00043472122280069223,,,7,0.3637625787639358,0.6726120761121841,0.5312253259598817,0.21873984010112774
Aaron Rakers,8,0.03324749142563469,-0.03324749142563469,-0.0029539865740465915,21.625,Wells Fargo Securities,596,1,-21.625,-0.4262882300525747,0.5879382235998937,1.5267495654324184,0.5627998529932458,0.4444444444444444,0.2501332679969981,0.028953215670065095,9.56331933832994,0.11581286268026038,0.0007370246209168359,-0.0009598813750966663,0.0003670001719438649,0.0008044244470761123,,,8,0.5834281525455817,0.14214092542974704,0.4576351211023711,0.20339338715660937
Egor Tolmachev,2,0.02539724925089886,-0.02539724925089886,-6.131992561686853e-06,78.0,Freedom Broker,3713,1,-78.0,1.325452359444686,2.515325375263639,-0.5126311395452509,1.1093821983876915,0.16666666666666666,0.18489703306461525,,,,,,,,,,2,,,1.1093821983876915,0.18489703306461525
Ben Reitzes,9,0.03304675156848226,-0.03304675156848226,-0.003175117401014468,43.22222222222222,Melius Research,3130,1,-43.22222222222222,-0.38149417811421804,0.44335690082651097,0.7454642744148585,0.26910899904238383,0.47368421052631576,0.12747268375691864,0.03136908731683767,20.183773141953544,0.12547634926735068,0.00013096992364893851,-0.00046487134417951264,-0.00011700296785708579,0.0002626512040410702,,,9,0.6948299946015211,0.6297682819175487,0.35927381976117506,0.17018233567634608
Ruben Roy,7,0.030442192924048588,-0.030442192924048588,-0.0032496436323525726,38.285714285714285,Stifel Nicolaus,548,1,-38.285714285714285,0.19969949637697215,0.3946296326480965,0.9240437695045864,0.506124299509885,0.4117647058823529,0.2084041233275997,0.028381156091204236,10.090730017125383,0.11352462436481695,0.0002670123430564905,-0.0008766890968728637,-0.00012701295717478686,0.0009547389928445352,,,7,0.8230539054103526,0.026674567535235404,0.3862618665162226,0.15904900385962106
Jay Goldberg,4,0.026772427017924802,-0.026772427017924802,-0.004617308946882471,32.5,Seaport Research Partners,1321,1,-32.5,1.0185886145240255,-0.49958698561984255,1.1333435314345088,0.5507817201128973,0.2857142857142857,0.15736620574654206,,,,,,,,,,4,,,0.5507817201128973,0.15736620574654206
Sebastien Naji,6,0.030387001185615107,-0.030387001185615107,-0.0032650663515006433,29.166666666666668,William Blair,198,1,-29.166666666666668,0.2120152448936219,0.3845458412302931,1.253927756414711,0.6168296141795421,0.375,0.2313111053173283,0.02717729558647932,6.438733057707278,0.10870918234591728,0.00033491346595673137,-0.0009690654661966504,0.00010916217779199788,0.0009593863322257484,,,6,0.7760885596114039,-0.21631653519297311,0.4085430768364132,0.15320365381365497
sean Hao,4,0.03640057861594435,-0.03640057861594435,-0.0030448157834121743,4.5,Fubon Securities,1084,1,-4.5,-1.1298831880864861,0.5285516269113905,2.146251021268207,0.5149731533643704,0.2857142857142857,0.1471351866755344,,,,,,,,,,4,,,0.5149731533643704,0.1471351866755344
