firm,quarter_end,quarter,year,report_date,actual_eps,sic_code
NVDA-US,2026-01-30,2026Q1,2026,20260225,1.7584,3674
NVDA-US,2025-10-31,2025Q4,2025,20251119,1.3034,3674
NVDA-US,2025-07-31,2025Q3,2025,20250827,1.077,3674
NVDA-US,2025-04-30,2025Q2,2025,20250528,0.7629,3674
NVDA-US,2025-01-31,2025Q1,2025,20250226,0.8942,3674
NVDA-US,2024-10-31,2024Q4,2024,20241120,0.7794,3674
NVDA-US,2024-07-31,2024Q3,2024,20240828,0.668,3674
NVDA-US,2024-04-30,2024Q2,2024,20240522,0.5979,3674
NVDA-US,2024-01-31,2024Q1,2024,20240221,0.4934,3674
NVDA-US,2023-10-31,2023Q4,2023,20231121,0.3706,3674
NVDA-US,2023-07-31,2023Q3,2023,20230823,0.2476,3674
NVDA-US,2023-04-28,2023Q2,2023,20230524,0.082,3674
