firm,quarter_end,quarter,year,report_date,snapshot_date,analyst,broker,broker_code,estimate_value,revision_date,staleness_days,actual_eps,price_10d_prior,market_cap
NVDA-US,2026-01-30,2026Q1,2026,20260225,20260224,Kevin Cassidy,Rosenblatt Securities,2623,7.0,20251120,96,1.7584,188.54,4581522.0
NVDA-US,2026-01-30,2026Q1,2026,20260225,20260224,Stacy A. Rasgon,Bernstein Research,1140,,20251120,96,1.7584,188.54,4581522.0
NVDA-US,2026-01-30,2026Q1,2026,20260225,20260224,Joshua Buchalter,TD Cowen,917,8.1583,20260220,4,1.7584,188.54,4581522.0
NVDA-US,2026-01-30,2026Q1,2026,20260225,20260224,William Stein,Truist Securities,852,7.3,20251120,96,1.7584,188.54,4581522.0
NVDA-US,2026-01-30,2026Q1,2026,20260225,20260224,Sebastien Naji,William Blair,198,7.85,20260223,1,1.7584,188.54,4581522.0
NVDA-US,2026-01-30,2026Q1,2026,20260225,20260224,Barney Yao,Haitong International Research,2898,8.29,20260220,4,1.7584,188.54,4581522.0
NVDA-US,2026-01-30,2026Q1,2026,20260225,20260224,Stefan Chang,Aletheia Capital,2859,8.97,20260220,4,1.7584,188.54,4581522.0
NVDA-US,2026-01-30,2026Q1,2026,20260225,20260224,Mark Lipacis,Evercore ISI,1772,8.14,20251120,96,1.7584,188.54,4581522.0
NVDA-US,2026-01-30,2026Q1,2026,20260225,20260224,Kai Ren Cheng,SinoPac Securities Investment Services,1120,6.52,20251231,55,1.7584,188.54,4581522.0
NVDA-US,2026-01-30,2026Q1,2026,20260225,20260224,sean Hao,Fubon Securities,1084,8.73,20260220,4,1.7584,188.54,4581522.0
NVDA-US,2026-01-30,2026Q1,2026,20260225,20260224,Ananda Baruah,Loop Capital Markets,1009,9.55,20251120,96,1.7584,188.54,4581522.0
NVDA-US,2026-01-30,2026Q1,2026,20260225,20260224,John N. Vinh,KeyBanc Capital Markets,618,8.41,20260220,4,1.7584,188.54,4581522.0
NVDA-US,2026-01-30,2026Q1,2026,20260225,20260224,Matthew Bryson,Wedbush Securities,590,7.23,20251120,96,1.7584,188.54,4581522.0
NVDA-US,2026-01-30,2026Q1,2026,20260225,20260224,Ruben Roy,Stifel Nicolaus,548,7.7,20260220,4,1.7584,188.54,4581522.0
NVDA-US,2026-01-30,2026Q1,2026,20260225,20260224,C.J. Muse,Cantor Fitzgerald,1190,9.0,20251120,96,1.7584,188.54,4581522.0
NVDA-US,2026-01-30,2026Q1,2026,20260225,20260224,Gil Luria,DA Davidson,556,7.76,20251120,96,1.7584,188.54,4581522.0
NVDA-US,2026-01-30,2026Q1,2026,20260225,20260224,Blayne Curtis,Jefferies,512,7.97,20260114,41,1.7584,188.54,4581522.0
NVDA-US,2026-01-30,2026Q1,2026,20260225,20260224,Kevin Rottinghaus,Edgewater Research,3222,7.71,20260218,6,1.7584,188.54,4581522.0
NVDA-US,2026-01-30,2026Q1,2026,20260225,20260224,Srini Pajjuri,RBC Capital Markets,1269,7.66,20260113,42,1.7584,188.54,4581522.0
NVDA-US,2026-01-30,2026Q1,2026,20260225,20260224,Aaron Rakers,Wells Fargo Securities,596,7.88,20260217,7,1.7584,188.54,4581522.0
NVDA-US,2026-01-30,2026Q1,2026,20260225,20260224,Rick Schafer,Oppenheimer,498,7.9,20260114,41,1.7584,188.54,4581522.0
NVDA-US,2026-01-30,2026Q1,2026,20260225,20260224,N. Quinn Bolton,Needham,477,7.85,20251120,96,1.7584,188.54,4581522.0
NVDA-US,2026-01-30,2026Q1,2026,20260225,20260224,Chandler B. Converse,Cleveland Research Company,2295,8.006026,20260120,35,1.7584,188.54,4581522.0
NVDA-US,2026-01-30,2026Q1,2026,20260225,20260224,Ben Reitzes,Melius Research,3130,7.57,20251120,96,1.7584,188.54,4581522.0
NVDA-US,2026-01-30,2026Q1,2026,20260225,20260224,Vijay Rakesh,Mizuho Securities USA,1802,8.11,20260108,47,1.7584,188.54,4581522.0
