analyst,broker,broker_code,firm,quarter,year,fe,market_cap,sic_code,revision_date,staleness_days
Kevin Cassidy,Rosenblatt Securities,2623,NVDA-US,2026Q1,2026,0.027800997135886286,4581522.0,3674,20251120,96
Stacy A. Rasgon,Bernstein Research,1140,NVDA-US,2026Q1,2026,,4581522.0,3674,20251120,96
Joshua Buchalter,TD Cowen,917,NVDA-US,2026Q1,2026,0.03394452105653973,4581522.0,3674,20260220,4
William Stein,Truist Securities,852,NVDA-US,2026Q1,2026,0.029392171422509814,4581522.0,3674,20251120,96
Sebastien Naji,William Blair,198,NVDA-US,2026Q1,2026,0.032309324281319614,4581522.0,3674,20260223,1
Barney Yao,Haitong International Research,2898,NVDA-US,2026Q1,2026,0.034643046568367454,4581522.0,3674,20260220,4
Stefan Chang,Aletheia Capital,2859,NVDA-US,2026Q1,2026,0.03824970828471413,4581522.0,3674,20260220,4
Mark Lipacis,Evercore ISI,1772,NVDA-US,2026Q1,2026,0.033847459425055695,4581522.0,3674,20251120,96
Kai Ren Cheng,SinoPac Securities Investment Services,1120,NVDA-US,2026Q1,2026,0.025255118277288637,4581522.0,3674,20251231,55
sean Hao,Fubon Securities,1084,NVDA-US,2026Q1,2026,0.0369767688554153,4581522.0,3674,20260220,4
Ananda Baruah,Loop Capital Markets,1009,NVDA-US,2026Q1,2026,0.04132597857218628,4581522.0,3674,20251120,96
John N. Vinh,KeyBanc Capital Markets,618,NVDA-US,2026Q1,2026,0.03527951628301687,4581522.0,3674,20260220,4
Matthew Bryson,Wedbush Securities,590,NVDA-US,2026Q1,2026,0.02902089742229766,4581522.0,3674,20251120,96
Ruben Roy,Stifel Nicolaus,548,NVDA-US,2026Q1,2026,0.031513737138007855,4581522.0,3674,20260220,4
C.J. Muse,Cantor Fitzgerald,1190,NVDA-US,2026Q1,2026,0.03840882571337648,4581522.0,3674,20251120,96
Gil Luria,DA Davidson,556,NVDA-US,2026Q1,2026,0.03183197199533255,4581522.0,3674,20251120,96
Blayne Curtis,Jefferies,512,NVDA-US,2026Q1,2026,0.032945793995969024,4581522.0,3674,20260114,41
Kevin Rottinghaus,Edgewater Research,3222,NVDA-US,2026Q1,2026,0.031566776280895305,4581522.0,3674,20260218,6
Srini Pajjuri,RBC Capital Markets,1269,NVDA-US,2026Q1,2026,0.03130158056645805,4581522.0,3674,20260113,42
Aaron Rakers,Wells Fargo Securities,596,NVDA-US,2026Q1,2026,0.03246844170998197,4581522.0,3674,20260217,7
Rick Schafer,Oppenheimer,498,NVDA-US,2026Q1,2026,0.03257451999575687,4581522.0,3674,20260114,41
N. Quinn Bolton,Needham,477,NVDA-US,2026Q1,2026,0.032309324281319614,4581522.0,3674,20251120,96
Chandler B. Converse,Cleveland Research Company,2295,NVDA-US,2026Q1,2026,0.03313687281213536,4581522.0,3674,20260120,35
