firm,quarter_end,quarter,year,report_date,price_date,price_10d_prior,market_cap,market_cap_direct,shares_outstanding
NVDA-US,2026-01-30,2026Q1,2026,20260225,20260210,188.54,4581522.0,4581522.0,
NVDA-US,2025-10-31,2025Q4,2025,20251119,20251105,195.21,4743603.0,4743603.0,
NVDA-US,2025-07-31,2025Q3,2025,20250827,20250813,181.59,4430796.0,4430796.0,
NVDA-US,2025-04-30,2025Q2,2025,20250528,20250513,129.93,3168675.0,3168675.0,
NVDA-US,2025-01-31,2025Q1,2025,20250226,20250211,132.8,3252272.0,3252272.0,
NVDA-US,2024-10-31,2024Q4,2024,20241120,20241106,145.61,3571813.3,3571813.3,
NVDA-US,2024-07-31,2024Q3,2024,20240828,20240814,118.08,2904768.0,2904768.0,
NVDA-US,2024-04-30,2024Q2,2024,20240522,20240508,90.412,2223985.3,2223985.3,
NVDA-US,2024-01-31,2024Q1,2024,20240221,20240206,68.223,1685108.1,1685108.1,
NVDA-US,2023-10-31,2023Q4,2023,20231121,20231107,45.954998,1135088.5,1135088.5,
NVDA-US,2023-07-31,2023Q3,2023,20230823,20230809,42.554,1051083.9,1051083.9,
NVDA-US,2023-04-28,2023Q2,2023,20230524,20230510,28.885,713459.5,713459.5,
