analyst,n_observations,mean_fe,accuracy_score,consistency_score,avg_staleness_days,current_broker,current_broker_code,n_brokers,freshness_score,accuracy_score_z,consistency_score_z,freshness_score_z,partial_reliability_score_raw,credibility_weight,partial_reliability_score
Angustt Lin,6,0.0718401006774762,-0.0718401006774762,-0.007652580344283106,34.333333333333336,Aletheia Capital,2859,1,-34.333333333333336,-0.7727570254527144,1.9861640422071465,1.1736770163468517,0.795694677700428,0.375,0.2983855041376605
Srini Pajjuri,5,0.0555417015673579,-0.0555417015673579,-0.012431676129180731,72.6,RBC Capital Markets,1269,2,-72.6,0.5521487598712357,0.7522996523049089,0.30738789106363545,0.5372787677465933,0.3333333333333333,0.17909292258219778
Gary Mobley,8,0.06051684184684105,-0.06051684184684105,-0.014426589899299774,56.0,Loop Capital Markets,1009,2,-56.0,0.14771688318506024,0.23725388367773068,0.6831823025540898,0.35605102313896025,0.4444444444444444,0.1582448991728712
Han Jing Wen,3,0.062345077207613515,-0.062345077207613515,-0.005216509062487646,113.66666666666667,China International Capital,898,1,-113.66666666666667,-0.0009013700590570661,2.615107620900308,-0.622288243386646,0.663972669151535,0.23076923076923078,0.1532244621118927
Stefan Chang,1,0.05324486794142098,-0.05324486794142098,,4.0,Aletheia Capital,2859,1,-4.0,0.7388596225989266,,1.8603696156567187,1.2996146191278226,0.09090909090909091,0.11814678355707478
Mark Lipacis,3,0.052121240184984395,-0.052121240184984395,-0.013487578336397861,84.33333333333333,Evercore ISI,1772,1,-84.33333333333333,0.8301999379878895,0.47968738602192657,0.0417661383635551,0.45055115412445707,0.23076923076923078,0.10397334325949009
Christopher Rolland,11,0.061209552434130406,-0.061209552434130406,-0.0162375808189174,53.90909090909091,Susquehanna Financial Group,974,1,-53.90909090909091,0.0914060603579859,-0.2303067819221872,0.7305167574515733,0.19720534529579067,0.5238095238095238,0.10329803801208083
Kevin Garrigan,6,0.06166004398085068,-0.06166004398085068,-0.011110056521075462,105.33333333333333,WestPark Capital,3079,1,-105.33333333333333,0.054785355928267346,1.0935146948221146,-0.4336364303894296,0.23822120678698414,0.375,0.08933295254511905
Sun-Woo Kim,1,0.05570250521920669,-0.05570250521920669,,50.0,Meritz Securities,1778,1,-50.0,0.5390769429893305,,0.8190116079120855,0.679044275450708,0.09090909090909091,0.061731297768246186
Xiao Yu Han,1,0.05495653195488721,-0.05495653195488721,,56.0,First Shanghai,1701,1,-56.0,0.5997175179879076,,0.6831823025540898,0.6414499102709987,0.09090909090909091,0.05831362820645443
John N. Vinh,6,0.05961684084673141,-0.05961684084673141,-0.019202378481815913,37.0,KeyBanc Capital Markets,618,1,-37.0,0.22087845714003418,-0.9957566544851024,1.1133084361877428,0.11281007961422485,0.375,0.04230377985533432
Chandler B. Converse,6,0.06180827483705025,-0.06180827483705025,-0.017988291159385373,44.5,Cleveland Research Company,2295,1,-44.5,0.04273558848697258,-0.6823042398855301,0.9435218044902481,0.10131771769723019,0.375,0.03799414413646132
Harsh V. Kumar,6,0.06588248199866842,-0.06588248199866842,-0.011604817711736264,105.33333333333333,Piper Sandler Companies,570,1,-105.33333333333333,-0.28845894188166055,0.9657775156278561,-0.4336364303894296,0.08122738111892197,0.375,0.03046026791959574
Ling Ji Cao,1,0.06642836635084698,-0.06642836635084698,,43.0,First Shanghai,1701,1,-43.0,-0.33283417968462914,,0.9774791308297471,0.322322475572559,0.09090909090909091,0.029302043233869
Vijay Rakesh,8,0.06066082154178746,-0.06066082154178746,-0.015031177855937118,87.375,Mizuho Securities USA,1802,1,-87.375,0.13601269496909937,0.08116168887051631,-0.027091773380428907,0.06336087015306226,0.4444444444444444,0.028160386734694336
Rick Schafer,7,0.061295142254795064,-0.061295142254795064,-0.014650709966257305,91.14285714285714,Oppenheimer,498,1,-91.14285714285714,0.08444841698471461,0.1793906848367963,-0.11238934311417012,0.050483252902446936,0.4117647058823529,0.020787221783360503
