firm,quarter_end,quarter,year,report_date,actual_eps,sic_code
QCOM-US,2026-03-31,2026Q1,2026,20260429,6.875,3663
QCOM-US,2025-12-31,2025Q4,2025,20260204,2.7841,3663
QCOM-US,2025-09-30,2025Q3,2025,20251105,-2.8915,3663
QCOM-US,2025-06-30,2025Q2,2025,20250730,2.4258,3663
QCOM-US,2025-03-31,2025Q1,2025,20250430,2.522,3663
QCOM-US,2024-12-31,2024Q4,2024,20250205,2.8342,3663
QCOM-US,2024-09-30,2024Q3,2024,20241106,2.5864,3663
QCOM-US,2024-06-28,2024Q2,2024,20240731,1.8774,3663
QCOM-US,2024-03-29,2024Q1,2024,20240501,2.0584,3663
QCOM-US,2023-12-29,2023Q4,2023,20240131,2.4552,3663
QCOM-US,2023-09-29,2023Q3,2023,20231101,1.3236,3663
QCOM-US,2023-06-30,2023Q2,2023,20230802,1.6041,3663
