firm,quarter_end,quarter,year,report_date,snapshot_date,analyst,broker,broker_code,estimate_value,revision_date,staleness_days,actual_eps,price_10d_prior,market_cap
QCOM-US,2026-03-31,2026Q1,2026,20260429,20260428,Chandler B. Converse,Cleveland Research Company,2295,10.87566,20260428,0,6.875,133.05,141964.36
QCOM-US,2026-03-31,2026Q1,2026,20260429,20260428,Jay Goldberg,Seaport Research Partners,1321,11.05,20260313,46,6.875,133.05,141964.36
QCOM-US,2026-03-31,2026Q1,2026,20260429,20260428,Stacy A. Rasgon,Bernstein Research,1140,,20260325,34,6.875,133.05,141964.36
QCOM-US,2026-03-31,2026Q1,2026,20260429,20260428,C.J. Muse,Cantor Fitzgerald,1190,10.0,20260424,4,6.875,133.05,141964.36
QCOM-US,2026-03-31,2026Q1,2026,20260429,20260428,Mark Lipacis,Evercore ISI,1772,11.36,20260205,82,6.875,133.05,141964.36
QCOM-US,2026-03-31,2026Q1,2026,20260429,20260428,Ross Seymore,Deutsche Bank Research,77,10.73,20260205,82,6.875,133.05,141964.36
QCOM-US,2026-03-31,2026Q1,2026,20260429,20260428,Gary Mobley,Loop Capital Markets,1009,11.23,20260223,64,6.875,133.05,141964.36
QCOM-US,2026-03-31,2026Q1,2026,20260429,20260428,Christopher Rolland,Susquehanna Financial Group,974,10.88,20260417,11,6.875,133.05,141964.36
QCOM-US,2026-03-31,2026Q1,2026,20260429,20260428,Rick Schafer,Oppenheimer,498,11.29,20260205,82,6.875,133.05,141964.36
QCOM-US,2026-03-31,2026Q1,2026,20260429,20260428,John N. Vinh,KeyBanc Capital Markets,618,10.76,20260205,82,6.875,133.05,141964.36
QCOM-US,2026-03-31,2026Q1,2026,20260429,20260428,Joshua Buchalter,TD Cowen,917,10.6452,20260408,20,6.875,133.05,141964.36
QCOM-US,2026-03-31,2026Q1,2026,20260429,20260428,Louis Miscioscia,Daiwa Securities Co. Ltd.,467,11.2,20260209,78,6.875,133.05,141964.36
QCOM-US,2026-03-31,2026Q1,2026,20260429,20260428,Melissa Fairbanks,Raymond James,402,11.06,20260330,29,6.875,133.05,141964.36
QCOM-US,2026-03-31,2026Q1,2026,20260429,20260428,Aaron Rakers,Wells Fargo Securities,596,11.23,20260205,82,6.875,133.05,141964.36
QCOM-US,2026-03-31,2026Q1,2026,20260429,20260428,James Kelleher,Argus Research,376,11.79,20260205,82,6.875,133.05,141964.36
QCOM-US,2026-03-31,2026Q1,2026,20260429,20260428,Ben Reitzes,Melius Research,3130,11.08,20260205,82,6.875,133.05,141964.36
QCOM-US,2026-03-31,2026Q1,2026,20260429,20260428,Edward Snyder,Charter Equity Research,3077,11.52,20260205,82,6.875,133.05,141964.36
QCOM-US,2026-03-31,2026Q1,2026,20260429,20260428,Kevin Cassidy,Rosenblatt Securities,2623,11.65,20260205,82,6.875,133.05,141964.36
QCOM-US,2026-03-31,2026Q1,2026,20260429,20260428,Vijay Rakesh,Mizuho Securities USA,1802,11.14,20260205,82,6.875,133.05,141964.36
QCOM-US,2026-03-31,2026Q1,2026,20260429,20260428,Tian Zi Fu,Everbright Securities,1299,10.78,20250731,271,6.875,133.05,141964.36
QCOM-US,2026-03-31,2026Q1,2026,20260429,20260428,Srini Pajjuri,RBC Capital Markets,1269,11.24,20260205,82,6.875,133.05,141964.36
QCOM-US,2026-03-31,2026Q1,2026,20260429,20260428,Cody Acree,"Benchmark, a StoneX Company",1124,11.29,20260205,82,6.875,133.05,141964.36
QCOM-US,2025-12-31,2025Q4,2025,20260204,20260203,Stefan Chang,Aletheia Capital,2859,11.11,20260130,4,2.7841,156.37,167010.2
QCOM-US,2025-12-31,2025Q4,2025,20260204,20260203,Chandler B. Converse,Cleveland Research Company,2295,11.90866,20260130,4,2.7841,156.37,167010.2
QCOM-US,2025-12-31,2025Q4,2025,20260204,20260203,C.J. Muse,Cantor Fitzgerald,1190,12.11,20251106,89,2.7841,156.37,167010.2
QCOM-US,2025-12-31,2025Q4,2025,20260204,20260203,Stacy A. Rasgon,Bernstein Research,1140,,20260130,4,2.7841,156.37,167010.2
QCOM-US,2025-12-31,2025Q4,2025,20260204,20260203,Kevin Cassidy,Rosenblatt Securities,2623,12.53,20250721,197,2.7841,156.37,167010.2
QCOM-US,2025-12-31,2025Q4,2025,20260204,20260203,Ross Seymore,Deutsche Bank Research,77,11.99,20250731,187,2.7841,156.37,167010.2
QCOM-US,2025-12-31,2025Q4,2025,20260204,20260203,Vijay Rakesh,Mizuho Securities USA,1802,11.6728,20260108,26,2.7841,156.37,167010.2
QCOM-US,2025-12-31,2025Q4,2025,20260204,20260203,Louis Miscioscia,Daiwa Securities Co. Ltd.,467,12.17,20251107,88,2.7841,156.37,167010.2
QCOM-US,2025-12-31,2025Q4,2025,20260204,20260203,Christopher Rolland,Susquehanna Financial Group,974,11.9,20251106,89,2.7841,156.37,167010.2
QCOM-US,2025-12-31,2025Q4,2025,20260204,20260203,John N. Vinh,KeyBanc Capital Markets,618,10.37,20260109,25,2.7841,156.37,167010.2
QCOM-US,2025-12-31,2025Q4,2025,20260204,20260203,Joshua Buchalter,TD Cowen,917,11.9976,20251106,89,2.7841,156.37,167010.2
QCOM-US,2025-12-31,2025Q4,2025,20260204,20260203,Aaron Rakers,Wells Fargo Securities,596,12.3607,20251105,90,2.7841,156.37,167010.2
QCOM-US,2025-12-31,2025Q4,2025,20260204,20260203,Rick Schafer,Oppenheimer,498,11.52,20260114,20,2.7841,156.37,167010.2
QCOM-US,2025-12-31,2025Q4,2025,20260204,20260203,Srini Pajjuri,RBC Capital Markets,1269,12.14,20260113,21,2.7841,156.37,167010.2
QCOM-US,2025-12-31,2025Q4,2025,20260204,20260203,Ben Reitzes,Melius Research,3130,12.39,20250731,187,2.7841,156.37,167010.2
QCOM-US,2025-12-31,2025Q4,2025,20260204,20260203,Edward Snyder,Charter Equity Research,3077,12.489778,20251106,89,2.7841,156.37,167010.2
QCOM-US,2025-12-31,2025Q4,2025,20260204,20260203,Jay Goldberg,Seaport Research Partners,1321,12.82,20251106,89,2.7841,156.37,167010.2
QCOM-US,2025-12-31,2025Q4,2025,20260204,20260203,Cody Acree,"Benchmark, a StoneX Company",1124,12.22,20250730,188,2.7841,156.37,167010.2
QCOM-US,2025-12-31,2025Q4,2025,20260204,20260203,sean Hao,Fubon Securities,1084,12.67,20250731,187,2.7841,156.37,167010.2
QCOM-US,2025-12-31,2025Q4,2025,20260204,20260203,Gary Mobley,Loop Capital Markets,1009,12.22,20251106,89,2.7841,156.37,167010.2
QCOM-US,2025-12-31,2025Q4,2025,20260204,20260203,Harsh V. Kumar,Piper Sandler Companies,570,11.98,20251106,89,2.7841,156.37,167010.2
QCOM-US,2025-12-31,2025Q4,2025,20260204,20260203,Melissa Fairbanks,Raymond James,402,12.27,20251106,89,2.7841,156.37,167010.2
QCOM-US,2025-12-31,2025Q4,2025,20260204,20260203,James Kelleher,Argus Research,376,13.25,20251106,89,2.7841,156.37,167010.2
QCOM-US,2025-09-30,2025Q3,2025,20251105,20251104,C.J. Muse,Cantor Fitzgerald,1190,11.05,20250731,96,-2.8915,169.27,182642.33
QCOM-US,2025-09-30,2025Q3,2025,20251105,20251104,Stacy A. Rasgon,Bernstein Research,1140,,20250725,102,-2.8915,169.27,182642.33
QCOM-US,2025-09-30,2025Q3,2025,20251105,20251104,Kevin Cassidy,Rosenblatt Securities,2623,12.5,20250721,106,-2.8915,169.27,182642.33
QCOM-US,2025-09-30,2025Q3,2025,20251105,20251104,Jay Goldberg,Seaport Research Partners,1321,12.1,20250508,180,-2.8915,169.27,182642.33
QCOM-US,2025-09-30,2025Q3,2025,20251105,20251104,Aaron Rakers,Wells Fargo Securities,596,11.8477,20250731,96,-2.8915,169.27,182642.33
QCOM-US,2025-09-30,2025Q3,2025,20251105,20251104,Ben Reitzes,Melius Research,3130,12.31,20250731,96,-2.8915,169.27,182642.33
QCOM-US,2025-09-30,2025Q3,2025,20251105,20251104,Joshua Buchalter,TD Cowen,917,12.2447,20251009,26,-2.8915,169.27,182642.33
QCOM-US,2025-09-30,2025Q3,2025,20251105,20251104,Ross Seymore,Deutsche Bank Research,77,11.98,20250731,96,-2.8915,169.27,182642.33
QCOM-US,2025-09-30,2025Q3,2025,20251105,20251104,Louis Miscioscia,Daiwa Securities Co. Ltd.,467,12.3,20250806,90,-2.8915,169.27,182642.33
QCOM-US,2025-09-30,2025Q3,2025,20251105,20251104,Christopher Rolland,Susquehanna Financial Group,974,12.15,20250731,96,-2.8915,169.27,182642.33
QCOM-US,2025-09-30,2025Q3,2025,20251105,20251104,Gary Mobley,Loop Capital Markets,1009,11.93,20250724,103,-2.8915,169.27,182642.33
QCOM-US,2025-09-30,2025Q3,2025,20251105,20251104,Rick Schafer,Oppenheimer,498,11.52,20250731,96,-2.8915,169.27,182642.33
QCOM-US,2025-09-30,2025Q3,2025,20251105,20251104,John N. Vinh,KeyBanc Capital Markets,618,12.07,20250926,39,-2.8915,169.27,182642.33
QCOM-US,2025-09-30,2025Q3,2025,20251105,20251104,Chandler B. Converse,Cleveland Research Company,2295,12.275452,20250624,133,-2.8915,169.27,182642.33
QCOM-US,2025-09-30,2025Q3,2025,20251105,20251104,Angustt Lin,Aletheia Capital,2859,11.5,20250923,42,-2.8915,169.27,182642.33
QCOM-US,2025-09-30,2025Q3,2025,20251105,20251104,Heping Qin,Guotai Haitong Securities China,1094,14.8,20250903,62,-2.8915,169.27,182642.33
QCOM-US,2025-09-30,2025Q3,2025,20251105,20251104,Vijay Rakesh,Mizuho Securities USA,1802,12.17,20250731,96,-2.8915,169.27,182642.33
QCOM-US,2025-09-30,2025Q3,2025,20251105,20251104,Edward Snyder,Charter Equity Research,3077,12.099564,20250731,96,-2.8915,169.27,182642.33
QCOM-US,2025-09-30,2025Q3,2025,20251105,20251104,Melissa Fairbanks,Raymond James,402,11.92,20250501,187,-2.8915,169.27,182642.33
QCOM-US,2025-09-30,2025Q3,2025,20251105,20251104,Cody Acree,"Benchmark, a StoneX Company",1124,12.15,20250501,187,-2.8915,169.27,182642.33
QCOM-US,2025-09-30,2025Q3,2025,20251105,20251104,sean Hao,Fubon Securities,1084,12.67,20250731,96,-2.8915,169.27,182642.33
QCOM-US,2025-09-30,2025Q3,2025,20251105,20251104,Harsh V. Kumar,Piper Sandler Companies,570,12.26,20250731,96,-2.8915,169.27,182642.33
QCOM-US,2025-09-30,2025Q3,2025,20251105,20251104,James Kelleher,Argus Research,376,12.92,20250731,96,-2.8915,169.27,182642.33
QCOM-US,2025-06-30,2025Q2,2025,20250730,20250729,Chandler B. Converse,Cleveland Research Company,2295,12.171014,20250624,35,2.4258,154.07,169168.88
QCOM-US,2025-06-30,2025Q2,2025,20250730,20250729,C.J. Muse,Cantor Fitzgerald,1190,10.84,20250206,173,2.4258,154.07,169168.88
QCOM-US,2025-06-30,2025Q2,2025,20250730,20250729,Stacy A. Rasgon,Bernstein Research,1140,,20250725,4,2.4258,154.07,169168.88
QCOM-US,2025-06-30,2025Q2,2025,20250730,20250729,Joshua Buchalter,TD Cowen,917,11.9955,20250501,89,2.4258,154.07,169168.88
QCOM-US,2025-06-30,2025Q2,2025,20250730,20250729,Angustt Lin,Aletheia Capital,2859,12.38,20250724,5,2.4258,154.07,169168.88
QCOM-US,2025-06-30,2025Q2,2025,20250730,20250729,Gary Mobley,Loop Capital Markets,1009,11.93,20250724,5,2.4258,154.07,169168.88
QCOM-US,2025-06-30,2025Q2,2025,20250730,20250729,Kevin Cassidy,Rosenblatt Securities,2623,12.44,20250501,89,2.4258,154.07,169168.88
QCOM-US,2025-06-30,2025Q2,2025,20250730,20250729,Christopher Rolland,Susquehanna Financial Group,974,11.82,20250721,8,2.4258,154.07,169168.88
QCOM-US,2025-06-30,2025Q2,2025,20250730,20250729,Ross Seymore,Deutsche Bank Research,77,11.528624,20250501,89,2.4258,154.07,169168.88
QCOM-US,2025-06-30,2025Q2,2025,20250730,20250729,Vijay Rakesh,Mizuho Securities USA,1802,12.5008,20250501,89,2.4258,154.07,169168.88
QCOM-US,2025-06-30,2025Q2,2025,20250730,20250729,John N. Vinh,KeyBanc Capital Markets,618,11.34,20250703,26,2.4258,154.07,169168.88
QCOM-US,2025-06-30,2025Q2,2025,20250730,20250729,Rick Schafer,Oppenheimer,498,12.29,20250206,173,2.4258,154.07,169168.88
QCOM-US,2025-06-30,2025Q2,2025,20250730,20250729,Louis Miscioscia,Daiwa Securities Co. Ltd.,467,11.76,20250501,89,2.4258,154.07,169168.88
QCOM-US,2025-06-30,2025Q2,2025,20250730,20250729,Srini Pajjuri,Raymond James,402,11.87,20250501,89,2.4258,154.07,169168.88
QCOM-US,2025-06-30,2025Q2,2025,20250730,20250729,Aaron Rakers,Wells Fargo Securities,596,12.01,20250501,89,2.4258,154.07,169168.88
QCOM-US,2025-06-30,2025Q2,2025,20250730,20250729,Edward Snyder,Charter Equity Research,3077,12.346984,20250501,89,2.4258,154.07,169168.88
QCOM-US,2025-06-30,2025Q2,2025,20250730,20250729,Jay Goldberg,Seaport Research Partners,1321,12.01,20250508,82,2.4258,154.07,169168.88
QCOM-US,2025-06-30,2025Q2,2025,20250730,20250729,sean Hao,Fubon Securities,1084,11.67,20250523,67,2.4258,154.07,169168.88
QCOM-US,2025-06-30,2025Q2,2025,20250730,20250729,Han Jing Wen,China International Capital,898,12.05,20250207,172,2.4258,154.07,169168.88
QCOM-US,2025-06-30,2025Q2,2025,20250730,20250729,Ben Reitzes,Melius Research,3130,12.04,20250501,89,2.4258,154.07,169168.88
QCOM-US,2025-06-30,2025Q2,2025,20250730,20250729,Cody Acree,"Benchmark, a StoneX Company",1124,12.07,20250501,89,2.4258,154.07,169168.88
QCOM-US,2025-06-30,2025Q2,2025,20250730,20250729,Harsh V. Kumar,Piper Sandler Companies,570,11.84,20250501,89,2.4258,154.07,169168.88
QCOM-US,2025-06-30,2025Q2,2025,20250730,20250729,James Kelleher,Argus Research,376,12.62,20250501,89,2.4258,154.07,169168.88
QCOM-US,2025-03-31,2025Q1,2025,20250430,20250429,C.J. Muse,Cantor Fitzgerald,1190,10.82,20250206,82,2.522,138.6,153291.61
QCOM-US,2025-03-31,2025Q1,2025,20250430,20250429,Stacy A. Rasgon,Bernstein Research,1140,,20250206,82,2.522,138.6,153291.61
QCOM-US,2025-03-31,2025Q1,2025,20250430,20250429,Joshua Buchalter,TD Cowen,917,12.7025,20250206,82,2.522,138.6,153291.61
QCOM-US,2025-03-31,2025Q1,2025,20250430,20250429,Chandler B. Converse,Cleveland Research Company,2295,12.618107,20250423,6,2.522,138.6,153291.61
QCOM-US,2025-03-31,2025Q1,2025,20250430,20250429,Vijay Rakesh,Mizuho Securities USA,1802,12.3099,20241216,134,2.522,138.6,153291.61
QCOM-US,2025-03-31,2025Q1,2025,20250430,20250429,Ross Seymore,Deutsche Bank Research,77,11.987203,20250206,82,2.522,138.6,153291.61
QCOM-US,2025-03-31,2025Q1,2025,20250430,20250429,Kevin Cassidy,Rosenblatt Securities,2623,12.77,20250206,82,2.522,138.6,153291.61
