analyst,broker,broker_code,firm,quarter,year,fe,market_cap,sic_code,revision_date,staleness_days
Chandler B. Converse,Cleveland Research Company,2295,QCOM-US,2026Q1,2026,0.030068846298384064,141964.36,3663,20260428,0
Jay Goldberg,Seaport Research Partners,1321,QCOM-US,2026Q1,2026,0.03137918075911312,141964.36,3663,20260313,46
Stacy A. Rasgon,Bernstein Research,1140,QCOM-US,2026Q1,2026,,141964.36,3663,20260325,34
C.J. Muse,Cantor Fitzgerald,1190,QCOM-US,2026Q1,2026,0.023487410747839155,141964.36,3663,20260424,4
Mark Lipacis,Evercore ISI,1772,QCOM-US,2026Q1,2026,0.033709131905298756,141964.36,3663,20260205,82
Ross Seymore,Deutsche Bank Research,77,QCOM-US,2026Q1,2026,0.028974069898534387,141964.36,3663,20260205,82
Gary Mobley,Loop Capital Markets,1009,QCOM-US,2026Q1,2026,0.03273205561818865,141964.36,3663,20260223,64
Christopher Rolland,Susquehanna Financial Group,974,QCOM-US,2026Q1,2026,0.030101465614430667,141964.36,3663,20260417,11
Rick Schafer,Oppenheimer,498,QCOM-US,2026Q1,2026,0.03318301390454716,141964.36,3663,20260205,82
John N. Vinh,KeyBanc Capital Markets,618,QCOM-US,2026Q1,2026,0.029199549041713638,141964.36,3663,20260205,82
Joshua Buchalter,TD Cowen,917,QCOM-US,2026Q1,2026,0.028336715520481025,141964.36,3663,20260408,20
Louis Miscioscia,Daiwa Securities Co. Ltd.,467,QCOM-US,2026Q1,2026,0.03250657647500939,141964.36,3663,20260209,78
Melissa Fairbanks,Raymond James,402,QCOM-US,2026Q1,2026,0.031454340473506204,141964.36,3663,20260330,29
Aaron Rakers,Wells Fargo Securities,596,QCOM-US,2026Q1,2026,0.03273205561818865,141964.36,3663,20260205,82
James Kelleher,Argus Research,376,QCOM-US,2026Q1,2026,0.03694099962420142,141964.36,3663,20260205,82
Ben Reitzes,Melius Research,3130,QCOM-US,2026Q1,2026,0.031604659902292366,141964.36,3663,20260205,82
Edward Snyder,Charter Equity Research,3077,QCOM-US,2026Q1,2026,0.03491168733558812,141964.36,3663,20260205,82
Kevin Cassidy,Rosenblatt Securities,2623,QCOM-US,2026Q1,2026,0.03588876362269823,141964.36,3663,20260205,82
