firm,quarter_end,quarter,year,report_date,price_date,price_10d_prior,market_cap,market_cap_direct,shares_outstanding
QCOM-US,2026-03-31,2026Q1,2026,20260429,20260415,133.05,141964.36,141964.36,
QCOM-US,2025-12-31,2025Q4,2025,20260204,20260121,156.37,167010.2,167010.2,
QCOM-US,2025-09-30,2025Q3,2025,20251105,20251022,169.27,182642.33,182642.33,
QCOM-US,2025-06-30,2025Q2,2025,20250730,20250716,154.07,169168.88,169168.88,
QCOM-US,2025-03-31,2025Q1,2025,20250430,20250415,138.6,153291.61,153291.61,
QCOM-US,2024-12-31,2024Q4,2024,20250205,20250122,170.24,188285.45,188285.45,
QCOM-US,2024-09-30,2024Q3,2024,20241106,20241023,166.6,185592.4,185592.4,
QCOM-US,2024-06-28,2024Q2,2024,20240731,20240717,191.6,213825.61,213825.61,
QCOM-US,2024-03-29,2024Q1,2024,20240501,20240417,164.32,183381.13,183381.13,
QCOM-US,2023-12-29,2023Q4,2023,20240131,20240117,139.32,155757.86,155757.86,
QCOM-US,2023-09-29,2023Q3,2023,20231101,20231018,110.98,123853.69,123853.69,
QCOM-US,2023-06-30,2023Q2,2023,20230802,20230719,124.42,138603.88,138603.88,
