firm,quarter_end,quarter,year,report_date,actual_eps,sic_code
RRX-US,2026-03-31,2026Q1,2026,20260506,0.9626,3569
RRX-US,2025-12-31,2025Q4,2025,20260204,0.9534,3569
RRX-US,2025-09-30,2025Q3,2025,20251029,1.1952,3569
RRX-US,2025-06-30,2025Q2,2025,20250805,1.191,3569
RRX-US,2025-03-31,2025Q1,2025,20250505,0.8616,3569
RRX-US,2024-12-31,2024Q4,2024,20250205,0.6186,3569
RRX-US,2024-09-30,2024Q3,2024,20241104,1.09,3569
RRX-US,2024-06-28,2024Q2,2024,20240731,0.9398,3569
RRX-US,2024-03-29,2024Q1,2024,20240506,0.2982,3569
RRX-US,2023-12-29,2023Q4,2023,20240207,0.8381,3569
RRX-US,2023-09-29,2023Q3,2023,20231101,-2.1041,3569
RRX-US,2023-06-30,2023Q2,2023,20230731,0.4842,3569
