firm,quarter_end,quarter,year,report_date,snapshot_date,analyst,broker,broker_code,estimate_value,revision_date,staleness_days,actual_eps,price_10d_prior,market_cap
RRX-US,2026-03-31,2026Q1,2026,20260506,20260505,Jeffrey D. Hammond,KeyBanc Capital Markets,618,10.700753,20260105,120,0.9626,211.14,14054.635
RRX-US,2026-03-31,2026Q1,2026,20260506,20260505,Christopher Glynn,Oppenheimer,498,10.65,20251030,187,0.9626,211.14,14054.635
RRX-US,2026-03-31,2026Q1,2026,20260506,20260505,Tim Thein,Raymond James,402,10.854,20251107,179,0.9626,211.14,14054.635
RRX-US,2026-03-31,2026Q1,2026,20260506,20260505,Walter Liptak,Seaport Research Partners,1321,10.58,20260209,85,0.9626,211.14,14054.635
RRX-US,2025-12-31,2025Q4,2025,20260204,20260203,Jeffrey D. Hammond,KeyBanc Capital Markets,618,10.754074,20260105,29,0.9534,158.64,10532.058
RRX-US,2025-12-31,2025Q4,2025,20260204,20260203,Saree Boroditsky,Jefferies,512,10.710414,20260113,21,0.9534,158.64,10532.058
RRX-US,2025-12-31,2025Q4,2025,20260204,20260203,Chris Dankert,Loop Capital Markets,1009,11.15,20251219,46,0.9534,158.64,10532.058
RRX-US,2025-12-31,2025Q4,2025,20260204,20260203,Walter Liptak,Seaport Research Partners,1321,10.78,20251103,92,0.9534,158.64,10532.058
RRX-US,2025-12-31,2025Q4,2025,20260204,20260203,Tim Thein,Raymond James,402,10.85,20251107,88,0.9534,158.64,10532.058
RRX-US,2025-12-31,2025Q4,2025,20260204,20260203,Christopher Glynn,Oppenheimer,498,10.7,20251030,96,0.9534,158.64,10532.058
RRX-US,2025-09-30,2025Q3,2025,20251029,20251028,Tim Thein,Raymond James,402,11.0,20250806,83,1.1952,145.43,9652.798
RRX-US,2025-09-30,2025Q3,2025,20251029,20251028,Christopher Glynn,Oppenheimer,498,11.3,20250206,264,1.1952,145.43,9652.798
RRX-US,2025-09-30,2025Q3,2025,20251029,20251028,Jeffrey D. Hammond,KeyBanc Capital Markets,618,11.45,20250805,84,1.1952,145.43,9652.798
RRX-US,2025-09-30,2025Q3,2025,20251029,20251028,Saree Boroditsky,Jefferies,512,10.875598,20251003,25,1.1952,145.43,9652.798
RRX-US,2025-09-30,2025Q3,2025,20251029,20251028,Chris Dankert,Loop Capital Markets,1009,11.65,20250506,175,1.1952,145.43,9652.798
RRX-US,2025-09-30,2025Q3,2025,20251029,20251028,Walter Liptak,Seaport Research Partners,1321,11.2,20250507,174,1.1952,145.43,9652.798
RRX-US,2025-06-30,2025Q2,2025,20250805,20250804,Chris Dankert,Loop Capital Markets,1009,11.6,20250506,90,1.191,149.23,9899.257
RRX-US,2025-06-30,2025Q2,2025,20250805,20250804,Christopher Glynn,Oppenheimer,498,11.25,20250206,179,1.191,149.23,9899.257
RRX-US,2025-06-30,2025Q2,2025,20250805,20250804,Jeffrey D. Hammond,KeyBanc Capital Markets,618,11.353895,20250404,122,1.191,149.23,9899.257
RRX-US,2025-06-30,2025Q2,2025,20250805,20250804,Tim Thein,Raymond James,402,11.35,20250325,132,1.191,149.23,9899.257
RRX-US,2025-06-30,2025Q2,2025,20250805,20250804,Saree Boroditsky,Jefferies,512,11.94,20250206,179,1.191,149.23,9899.257
RRX-US,2025-06-30,2025Q2,2025,20250805,20250804,Walter Liptak,Seaport Research Partners,1321,11.16,20250507,89,1.191,149.23,9899.257
RRX-US,2025-03-31,2025Q1,2025,20250505,20250502,Jeffrey D. Hammond,KeyBanc Capital Markets,618,11.35,20250404,28,0.8616,97.27,6451.994
RRX-US,2025-03-31,2025Q1,2025,20250505,20250502,Christopher Glynn,Oppenheimer,498,11.25,20250206,85,0.8616,97.27,6451.994
RRX-US,2025-03-31,2025Q1,2025,20250505,20250502,Tim Thein,Raymond James,402,11.35,20250325,38,0.8616,97.27,6451.994
RRX-US,2025-03-31,2025Q1,2025,20250505,20250502,Walter Liptak,Seaport Research Partners,1321,11.82,20250211,80,0.8616,97.27,6451.994
RRX-US,2025-03-31,2025Q1,2025,20250505,20250502,Chris Dankert,Loop Capital Markets,1009,11.15,20250207,84,0.8616,97.27,6451.994
RRX-US,2025-03-31,2025Q1,2025,20250505,20250502,Saree Boroditsky,Jefferies,512,12.0,20250206,85,0.8616,97.27,6451.994
RRX-US,2024-12-31,2024Q4,2024,20250205,20250204,Saree Boroditsky,Jefferies,512,12.49,20241209,57,0.6186,162.15,10738.883
RRX-US,2024-12-31,2024Q4,2024,20250205,20250204,Christopher Glynn,Oppenheimer,498,11.5,20241105,91,0.6186,162.15,10738.883
RRX-US,2024-12-31,2024Q4,2024,20250205,20250204,Chris Dankert,Loop Capital Markets,1009,12.15,20241105,91,0.6186,162.15,10738.883
