analyst,broker,broker_code,firm,quarter,year,fe,market_cap,sic_code,revision_date,staleness_days
Jeffrey D. Hammond,KeyBanc Capital Markets,618,RRX-US,2026Q1,2026,0.04612178175618074,14054.635,3569,20260105,120
Christopher Glynn,Oppenheimer,498,RRX-US,2026Q1,2026,0.04588140570237757,14054.635,3569,20251030,187
Tim Thein,Raymond James,402,RRX-US,2026Q1,2026,0.046847589277256796,14054.635,3569,20251107,179
Walter Liptak,Seaport Research Partners,1321,RRX-US,2026Q1,2026,0.04554987212276215,14054.635,3569,20260209,85
Jeffrey D. Hammond,KeyBanc Capital Markets,618,RRX-US,2025Q4,2025,0.06177933686333838,10532.058,3569,20260105,29
Saree Boroditsky,Jefferies,512,RRX-US,2025Q4,2025,0.06150412254160364,10532.058,3569,20260113,21
Chris Dankert,Loop Capital Markets,1009,RRX-US,2025Q4,2025,0.06427508825012608,10532.058,3569,20251219,46
Walter Liptak,Seaport Research Partners,1321,RRX-US,2025Q4,2025,0.06194276348966213,10532.058,3569,20251103,92
Tim Thein,Raymond James,402,RRX-US,2025Q4,2025,0.062384014120020176,10532.058,3569,20251107,88
Christopher Glynn,Oppenheimer,498,RRX-US,2025Q4,2025,0.061438477054967224,10532.058,3569,20251030,96
Tim Thein,Raymond James,402,RRX-US,2025Q3,2025,0.0674193770198721,9652.798,3569,20250806,83
Christopher Glynn,Oppenheimer,498,RRX-US,2025Q3,2025,0.06948222512548993,9652.798,3569,20250206,264
Jeffrey D. Hammond,KeyBanc Capital Markets,618,RRX-US,2025Q3,2025,0.07051364917829883,9652.798,3569,20250805,84
Saree Boroditsky,Jefferies,512,RRX-US,2025Q3,2025,0.0665639689197552,9652.798,3569,20251003,25
Chris Dankert,Loop Capital Markets,1009,RRX-US,2025Q3,2025,0.07188888124871072,9652.798,3569,20250506,175
Walter Liptak,Seaport Research Partners,1321,RRX-US,2025Q3,2025,0.06879460909028398,9652.798,3569,20250507,174
Chris Dankert,Loop Capital Markets,1009,RRX-US,2025Q2,2025,0.0697513904710849,9899.257,3569,20250506,90
Christopher Glynn,Oppenheimer,498,RRX-US,2025Q2,2025,0.06740601755679153,9899.257,3569,20250206,179
Jeffrey D. Hammond,KeyBanc Capital Markets,618,RRX-US,2025Q2,2025,0.06810222475373584,9899.257,3569,20250404,122
Tim Thein,Raymond James,402,RRX-US,2025Q2,2025,0.0680761241037325,9899.257,3569,20250325,132
Saree Boroditsky,Jefferies,512,RRX-US,2025Q2,2025,0.07202975273068418,9899.257,3569,20250206,179
Walter Liptak,Seaport Research Partners,1321,RRX-US,2025Q2,2025,0.06680292166454466,9899.257,3569,20250507,89
Jeffrey D. Hammond,KeyBanc Capital Markets,618,RRX-US,2025Q1,2025,0.10782769610362908,6451.994,3569,20250404,28
Christopher Glynn,Oppenheimer,498,RRX-US,2025Q1,2025,0.10679962989616533,6451.994,3569,20250206,85
Tim Thein,Raymond James,402,RRX-US,2025Q1,2025,0.10782769610362908,6451.994,3569,20250325,38
Walter Liptak,Seaport Research Partners,1321,RRX-US,2025Q1,2025,0.11265960727870876,6451.994,3569,20250211,80
Chris Dankert,Loop Capital Markets,1009,RRX-US,2025Q1,2025,0.10577156368870157,6451.994,3569,20250207,84
Saree Boroditsky,Jefferies,512,RRX-US,2025Q1,2025,0.11451012645214353,6451.994,3569,20250206,85
Saree Boroditsky,Jefferies,512,RRX-US,2024Q4,2024,0.07321245760098674,10738.883,3569,20241209,57
Christopher Glynn,Oppenheimer,498,RRX-US,2024Q4,2024,0.06710699969164353,10738.883,3569,20241105,91
Chris Dankert,Loop Capital Markets,1009,RRX-US,2024Q4,2024,0.07111563367252544,10738.883,3569,20241105,91
