firm,quarter_end,quarter,year,report_date,price_date,price_10d_prior,market_cap,market_cap_direct,shares_outstanding
RRX-US,2026-03-31,2026Q1,2026,20260506,20260422,211.14,14054.635,14054.635,
RRX-US,2025-12-31,2025Q4,2025,20260204,20260121,158.64,10532.058,10532.058,
RRX-US,2025-09-30,2025Q3,2025,20251029,20251015,145.43,9652.798,9652.798,
RRX-US,2025-06-30,2025Q2,2025,20250805,20250722,149.23,9899.257,9899.257,
RRX-US,2025-03-31,2025Q1,2025,20250505,20250421,97.27,6451.994,6451.994,
RRX-US,2024-12-31,2024Q4,2024,20250205,20250122,162.15,10738.883,10738.883,
RRX-US,2024-09-30,2024Q3,2024,20241104,20241021,172.98,11510.282,11510.282,
RRX-US,2024-06-28,2024Q2,2024,20240731,20240717,151.44,10073.602,10073.602,
RRX-US,2024-03-29,2024Q1,2024,20240506,20240422,163.73,10888.436,10888.436,
RRX-US,2023-12-29,2023Q4,2023,20240207,20240124,136.05,9026.837,9026.837,
RRX-US,2023-09-29,2023Q3,2023,20231101,20231018,125.69,8334.677,8334.677,
RRX-US,2023-06-30,2023Q2,2023,20230731,20230717,150.91,10002.111,10002.111,
