analyst,n_observations,mean_fe,accuracy_score,consistency_score,avg_staleness_days,current_broker,current_broker_code,n_brokers,freshness_score,accuracy_score_z,consistency_score_z,freshness_score_z,partial_reliability_score_raw,credibility_weight,partial_reliability_score
Chandler B. Converse,4,0.06458381567355795,-0.06458381567355795,-0.02832639108104966,16.75,Cleveland Research Company,2295,1,-16.75,0.8980277863537834,0.5455995856037678,0.6079269311272939,0.683851434361615,0.2857142857142857,0.19538612410331857
Kevin Rottinghaus,4,0.07834184372268743,-0.07834184372268743,-0.02253533449814759,20.5,Edgewater Research,3222,1,-20.5,0.597559091120812,0.6368908770653644,0.451894124362427,0.5621146975162011,0.2857142857142857,0.16060419929034317
Mark Miller,3,0.08522046615442484,-0.08522046615442484,-0.012818523207813702,12.666666666666666,"Benchmark, a StoneX Company",1124,1,-12.666666666666666,0.44733329570275693,0.7900684948082517,0.7778293207157044,0.6717437037422377,0.23076923076923078,0.15501777778667025
Blayne Curtis,2,0.10697372701689825,-0.10697372701689825,-0.022312165943176587,13.0,Jefferies,512,1,-13.0,-0.027747426990159307,0.6404089476117778,0.7639597378921608,0.4588737528379265,0.16666666666666666,0.07647895880632108
Scott R. Davis,1,0.09845291309123733,-0.09845291309123733,,5.0,Melius Research,3130,1,-5.0,0.15834303840384503,,1.0968297256572102,0.6275863820305276,0.09090909090909091,0.05705330745732069
Srini Pajjuri,2,0.05894157337028393,-0.05894157337028393,-0.015769401430416476,52.0,RBC Capital Markets,1269,1,-52.0,1.0212516362397623,0.7435503024834395,-0.858781452462455,0.30200682875358226,0.16666666666666666,0.05033447145893037
Amit Daryanani,1,0.08316149520919658,-0.08316149520919658,,19.0,Evercore ISI,1772,1,-19.0,0.49230022782603305,,0.5143072470683737,0.5033037374472034,0.09090909090909091,0.045754885222473035
Jack Zhou,2,0.10989050751401985,-0.10989050751401985,-0.06246367478665336,11.5,China Renaissance Securities (US),2903,1,-11.5,-0.09144850588907595,0.0074531054473358765,0.8263728605981076,0.24745915338545585,0.16666666666666666,0.041243192230909304
C.J. Muse,2,0.08094290340856786,-0.08094290340856786,-0.03325821245165597,43.5,Cantor Fitzgerald,1190,1,-43.5,0.540753202424501,0.46785343760206277,-0.5051070904620899,0.1678331831881579,0.16666666666666666,0.027972197198026315
Melissa Fairbanks,2,0.05281669289978097,-0.05281669289978097,-0.016271477459230188,85.5,Raymond James,402,1,-85.5,1.1550160708562753,0.7356354827219402,-2.252674526228599,-0.12067432421679454,0.16666666666666666,-0.020112387369465756
Steven Fox,5,0.07136320812684757,-0.07136320812684757,-0.047318851269744916,68.0,Fox Advisors,3474,1,-68.0,0.7499691257929719,0.2461989159957238,-1.5245214279925539,-0.17611779540128603,0.3333333333333333,-0.05870593180042867
Matthew Bryson,6,0.19296425739870957,-0.19296425739870957,-0.04584174399036389,8.166666666666666,Wedbush Securities,590,1,-8.166666666666666,-1.9057391256514262,0.2694843094695419,0.9650686888335448,-0.2237287091161132,0.375,-0.08389826591854245
Aaron Rakers,10,0.15923376082267798,-0.15923376082267798,-0.14839442155841978,34.2,Wells Fargo Securities,596,1,-34.2,-1.1690813532171205,-1.3471751453308256,-0.11814572968522016,-0.8781340760777221,0.5,-0.43906703803886105
Vijay Rakesh,8,0.17600031856680678,-0.17600031856680678,-0.17469702916733137,28.625,Mizuho Securities USA,1802,1,-28.625,-1.5352548855675954,-1.7618143364785395,0.11382304303854873,-1.0610820596691954,0.4444444444444444,-0.4715920265196424
Mehdi Hosseini,8,0.1666607025446551,-0.1666607025446551,-0.18816677916609464,52.0,Susquehanna Financial Group,974,1,-52.0,-1.3312821774053645,-1.9741539769998404,-0.858781452462455,-1.3880725356225534,0.4444444444444444,-0.616921126943357
