firm,quarter_end,quarter,year,report_date,actual_eps,sic_code
SNDK-US,2026-03-31,2026Q1,2026,20260430,23.0255,3572
SNDK-US,2025-12-31,2025Q4,2025,20260129,5.1474,3572
SNDK-US,2025-09-30,2025Q3,2025,20251106,0.7517,3572
SNDK-US,2025-06-30,2025Q2,2025,20250814,-0.1575,3572
SNDK-US,2025-03-31,2025Q1,2025,20250507,-13.331,3572
SNDK-US,2024-12-31,2024Q4,2024,20250307,0.7172,3572
SNDK-US,2024-09-30,2024Q3,2024,20251106,1.4552,3572
SNDK-US,2024-06-28,2024Q2,2024,20250821,0.8276,3572
SNDK-US,2024-03-29,2024Q1,2024,20250507,0.1862,3572
SNDK-US,2023-12-29,2023Q4,2023,20250307,-2.0759,3572
