firm,quarter_end,quarter,year,report_date,snapshot_date,analyst,broker,broker_code,estimate_value,revision_date,staleness_days,actual_eps,price_10d_prior,market_cap
SNDK-US,2026-03-31,2026Q1,2026,20260430,20260429,David Gibson,MST Financial,3293,,20260428,1,23.0255,919.47,135714.66
SNDK-US,2026-03-31,2026Q1,2026,20260430,20260429,Jack Zhou,China Renaissance Securities (US),2903,181.5,20260428,1,23.0255,919.47,135714.66
SNDK-US,2026-03-31,2026Q1,2026,20260430,20260429,Matthew Bryson,Wedbush Securities,590,163.18,20260428,1,23.0255,919.47,135714.66
SNDK-US,2026-03-31,2026Q1,2026,20260430,20260429,Scott R. Davis,Melius Research,3130,113.55,20260424,5,23.0255,919.47,135714.66
SNDK-US,2026-03-31,2026Q1,2026,20260430,20260429,C.J. Muse,Cantor Fitzgerald,1190,128.03,20260424,5,23.0255,919.47,135714.66
SNDK-US,2026-03-31,2026Q1,2026,20260430,20260429,Mark C. Newman,Bernstein Research,1140,,20260408,21,23.0255,919.47,135714.66
SNDK-US,2026-03-31,2026Q1,2026,20260430,20260429,Blayne Curtis,Jefferies,512,141.9,20260409,20,23.0255,919.47,135714.66
SNDK-US,2026-03-31,2026Q1,2026,20260430,20260429,Amit Daryanani,Evercore ISI,1772,99.49,20260410,19,23.0255,919.47,135714.66
SNDK-US,2026-03-31,2026Q1,2026,20260430,20260429,Aaron Rakers,Wells Fargo Securities,596,151.65,20260417,12,23.0255,919.47,135714.66
SNDK-US,2026-03-31,2026Q1,2026,20260430,20260429,Chandler B. Converse,Cleveland Research Company,2295,112.80301,20260415,14,23.0255,919.47,135714.66
SNDK-US,2026-03-31,2026Q1,2026,20260430,20260429,Kevin Rottinghaus,Edgewater Research,3222,126.62,20260413,16,23.0255,919.47,135714.66
SNDK-US,2026-03-31,2026Q1,2026,20260430,20260429,Vijay Rakesh,Mizuho Securities USA,1802,99.09,20260408,21,23.0255,919.47,135714.66
SNDK-US,2026-03-31,2026Q1,2026,20260430,20260429,Steven Fox,Fox Advisors,3474,100.0,20260130,89,23.0255,919.47,135714.66
SNDK-US,2026-03-31,2026Q1,2026,20260430,20260429,Mehdi Hosseini,Susquehanna Financial Group,974,107.42,20260306,54,23.0255,919.47,135714.66
SNDK-US,2026-03-31,2026Q1,2026,20260430,20260429,Srini Pajjuri,RBC Capital Markets,1269,91.72,20260130,89,23.0255,919.47,135714.66
SNDK-US,2026-03-31,2026Q1,2026,20260430,20260429,Melissa Fairbanks,Raymond James,402,86.55,20260130,89,23.0255,919.47,135714.66
SNDK-US,2025-12-31,2025Q4,2025,20260129,20260128,Chandler B. Converse,Cleveland Research Company,2295,39.142696,20260127,1,5.1474,387.81,56834.79
SNDK-US,2025-12-31,2025Q4,2025,20260129,20260128,Mark C. Newman,Bernstein Research,1140,,20260113,15,5.1474,387.81,56834.79
SNDK-US,2025-12-31,2025Q4,2025,20260129,20260128,Vijay Rakesh,Mizuho Securities USA,1802,34.5,20260123,5,5.1474,387.81,56834.79
SNDK-US,2025-12-31,2025Q4,2025,20260129,20260128,C.J. Muse,Cantor Fitzgerald,1190,23.64,20251107,82,5.1474,387.81,56834.79
SNDK-US,2025-12-31,2025Q4,2025,20260129,20260128,Aaron Rakers,Wells Fargo Securities,596,36.39,20260114,14,5.1474,387.81,56834.79
SNDK-US,2025-12-31,2025Q4,2025,20260129,20260128,Matthew Bryson,Wedbush Securities,590,82.38,20260122,6,5.1474,387.81,56834.79
SNDK-US,2025-12-31,2025Q4,2025,20260129,20260128,Blayne Curtis,Jefferies,512,37.98,20260122,6,5.1474,387.81,56834.79
SNDK-US,2025-12-31,2025Q4,2025,20260129,20260128,Steven Fox,Fox Advisors,3474,20.6,20251107,82,5.1474,387.81,56834.79
SNDK-US,2025-12-31,2025Q4,2025,20260129,20260128,Mark Miller,"Benchmark, a StoneX Company",1124,31.23,20260114,14,5.1474,387.81,56834.79
SNDK-US,2025-12-31,2025Q4,2025,20260129,20260128,Kevin Rottinghaus,Edgewater Research,3222,37.82,20260114,14,5.1474,387.81,56834.79
