analyst,broker,broker_code,firm,quarter,year,fe,market_cap,sic_code,revision_date,staleness_days
David Gibson,MST Financial,3293,SNDK-US,2026Q1,2026,,135714.66,3572,20260428,1
Jack Zhou,China Renaissance Securities (US),2903,SNDK-US,2026Q1,2026,0.1723541823006732,135714.66,3572,20260428,1
Matthew Bryson,Wedbush Securities,590,SNDK-US,2026Q1,2026,0.1524296605653257,135714.66,3572,20260428,1
Scott R. Davis,Melius Research,3130,SNDK-US,2026Q1,2026,0.09845291309123733,135714.66,3572,20260424,5
C.J. Muse,Cantor Fitzgerald,1190,SNDK-US,2026Q1,2026,0.11420111586022383,135714.66,3572,20260424,5
Mark C. Newman,Bernstein Research,1140,SNDK-US,2026Q1,2026,,135714.66,3572,20260408,21
Blayne Curtis,Jefferies,512,SNDK-US,2026Q1,2026,0.12928589296007484,135714.66,3572,20260409,20
Amit Daryanani,Evercore ISI,1772,SNDK-US,2026Q1,2026,0.08316149520919658,135714.66,3572,20260410,19
Aaron Rakers,Wells Fargo Securities,596,SNDK-US,2026Q1,2026,0.13988982783560094,135714.66,3572,20260417,12
Chandler B. Converse,Cleveland Research Company,2295,SNDK-US,2026Q1,2026,0.09764049941814307,135714.66,3572,20260415,14
Kevin Rottinghaus,Edgewater Research,3222,SNDK-US,2026Q1,2026,0.11266762373976313,135714.66,3572,20260413,16
Vijay Rakesh,Mizuho Securities USA,1802,SNDK-US,2026Q1,2026,0.082726461983534,135714.66,3572,20260408,21
Steven Fox,Fox Advisors,3474,SNDK-US,2026Q1,2026,0.08371616257191643,135714.66,3572,20260130,89
Mehdi Hosseini,Susquehanna Financial Group,974,SNDK-US,2026Q1,2026,0.09178602890795784,135714.66,3572,20260306,54
Srini Pajjuri,RBC Capital Markets,1269,SNDK-US,2026Q1,2026,0.07471097480070041,135714.66,3572,20260130,89
Melissa Fairbanks,Raymond James,402,SNDK-US,2026Q1,2026,0.06908817035901116,135714.66,3572,20260130,89
Chandler B. Converse,Cleveland Research Company,2295,SNDK-US,2025Q4,2025,0.08765966839431681,56834.79,3572,20260127,1
Mark C. Newman,Bernstein Research,1140,SNDK-US,2025Q4,2025,,56834.79,3572,20260113,15
Vijay Rakesh,Mizuho Securities USA,1802,SNDK-US,2025Q4,2025,0.07568809468554188,56834.79,3572,20260123,5
C.J. Muse,Cantor Fitzgerald,1190,SNDK-US,2025Q4,2025,0.047684690956911885,56834.79,3572,20251107,82
Aaron Rakers,Wells Fargo Securities,596,SNDK-US,2025Q4,2025,0.08056161522394988,56834.79,3572,20260114,14
Matthew Bryson,Wedbush Securities,590,SNDK-US,2025Q4,2025,0.19915061499187744,56834.79,3572,20260122,6
Blayne Curtis,Jefferies,512,SNDK-US,2025Q4,2025,0.08466156107372166,56834.79,3572,20260122,6
Steven Fox,Fox Advisors,3474,SNDK-US,2025Q4,2025,0.03984580077873185,56834.79,3572,20251107,82
Mark Miller,"Benchmark, a StoneX Company",1124,SNDK-US,2025Q4,2025,0.06725613057940744,56834.79,3572,20260114,14
Kevin Rottinghaus,Edgewater Research,3222,SNDK-US,2025Q4,2025,0.08424898790644904,56834.79,3572,20260114,14
Srini Pajjuri,RBC Capital Markets,1269,SNDK-US,2025Q4,2025,0.04317217193986746,56834.79,3572,20260113,15
Jack Zhou,China Renaissance Securities (US),2903,SNDK-US,2025Q4,2025,0.04742683272736649,56834.79,3572,20260106,22
Mehdi Hosseini,Susquehanna Financial Group,974,SNDK-US,2025Q4,2025,0.04391996080554911,56834.79,3572,20251205,54
Melissa Fairbanks,Raymond James,402,SNDK-US,2025Q4,2025,0.03654521544055078,56834.79,3572,20251107,82
Mark C. Newman,Bernstein Research,1140,SNDK-US,2025Q3,2025,,24477.19,3572,20250912,54
Matthew Bryson,Wedbush Securities,590,SNDK-US,2025Q3,2025,0.15826578868602215,24477.19,3572,20251028,8
Vijay Rakesh,Mizuho Securities USA,1802,SNDK-US,2025Q3,2025,0.05925351691110446,24477.19,3572,20251015,21
Mark Miller,"Benchmark, a StoneX Company",1124,SNDK-US,2025Q3,2025,0.09630829093085902,24477.19,3572,20251024,12
Kevin Rottinghaus,Edgewater Research,3222,SNDK-US,2025Q3,2025,0.06033103861119425,24477.19,3572,20251010,26
Chandler B. Converse,Cleveland Research Company,2295,SNDK-US,2025Q3,2025,0.03862320442981144,24477.19,3572,20251010,26
Aaron Rakers,Wells Fargo Securities,596,SNDK-US,2025Q3,2025,0.07146542951212212,24477.19,3572,20251010,26
Steven Fox,Fox Advisors,3474,SNDK-US,2025Q3,2025,0.03919964082609996,24477.19,3572,20250815,82
Mehdi Hosseini,Susquehanna Financial Group,974,SNDK-US,2025Q3,2025,0.03614666267584555,24477.19,3572,20250815,82
Aaron Rakers,Wells Fargo Securities,596,SNDK-US,2025Q2,2025,0.11612534948741844,6236.2734,3572,20250508,97
Matthew Bryson,Wedbush Securities,590,SNDK-US,2025Q2,2025,0.21243010251630945,6236.2734,3572,20250723,21
Vijay Rakesh,Mizuho Securities USA,1802,SNDK-US,2025Q2,2025,0.19914958061509788,6236.2734,3572,20250708,36
Mehdi Hosseini,Susquehanna Financial Group,974,SNDK-US,2025Q2,2025,0.14486253494874182,6236.2734,3572,20250605,69
Aaron Rakers,Wells Fargo Securities,596,SNDK-US,2025Q1,2025,0.5932411067193676,4407.107,3572,20250224,71
Vijay Rakesh,Mizuho Securities USA,1802,SNDK-US,2025Q1,2025,0.6182806324110672,4407.107,3572,20250307,60
Mehdi Hosseini,Susquehanna Financial Group,974,SNDK-US,2025Q1,2025,0.6416666666666667,4407.107,3572,20250401,35
Aaron Rakers,Wells Fargo Securities,596,SNDK-US,2024Q4,2024,0.07866984316061149,7253.28,3572,20250224,10
Mark C. Newman,Bernstein Research,1140,SNDK-US,2024Q3,2024,,24477.19,3572,20250912,54
Matthew Bryson,Wedbush Securities,590,SNDK-US,2024Q3,2024,0.15405447470817119,24477.19,3572,20251028,8
Vijay Rakesh,Mizuho Securities USA,1802,SNDK-US,2024Q3,2024,0.055042202933253515,24477.19,3572,20251015,21
Mark Miller,"Benchmark, a StoneX Company",1124,SNDK-US,2024Q3,2024,0.09209697695300807,24477.19,3572,20251024,12
Kevin Rottinghaus,Edgewater Research,3222,SNDK-US,2024Q3,2024,0.05611972463334331,24477.19,3572,20251010,26
