firm,quarter_end,quarter,year,report_date,price_date,price_10d_prior,market_cap,market_cap_direct,shares_outstanding
SNDK-US,2026-03-31,2026Q1,2026,20260430,20260416,919.47,135714.66,135714.66,
SNDK-US,2025-12-31,2025Q4,2025,20260129,20260114,387.81,56834.79,56834.79,
SNDK-US,2025-09-30,2025Q3,2025,20251106,20251023,167.05,24477.19,24477.19,
SNDK-US,2025-06-30,2025Q2,2025,20250814,20250731,42.92,6236.2734,6236.2734,
SNDK-US,2025-03-31,2025Q1,2025,20250507,20250423,30.36,4407.107,4407.107,
SNDK-US,2024-12-31,2024Q4,2024,20250307,20250221,50.37,7253.28,7253.28,
SNDK-US,2024-09-30,2024Q3,2024,20251106,20251023,167.05,24477.19,24477.19,
SNDK-US,2024-06-28,2024Q2,2024,20250821,20250807,40.69,5912.2544,5912.2544,
SNDK-US,2024-03-29,2024Q1,2024,20250507,20250423,30.36,4407.107,4407.107,
SNDK-US,2023-12-29,2023Q4,2023,20250307,20250221,50.37,7253.28,7253.28,
