analyst,n_observations,mean_fe,accuracy_score,consistency_score,avg_staleness_days,current_broker,current_broker_code,n_brokers,freshness_score,accuracy_score_z,consistency_score_z,freshness_score_z,partial_reliability_score_raw,credibility_weight,partial_reliability_score
Steven Alexopoulos,2,0.07154053500744742,-0.07154053500744742,-0.0019325703371134914,17.0,TD Cowen,917,1,-17.0,1.53853226438005,1.8288555223919114,0.7281552522525659,1.3651810130081756,0.16666666666666666,0.22753016883469593
Brennan Hawken,3,0.07432104912504249,-0.07432104912504249,-0.003146062612508628,39.333333333333336,BMO Capital Markets,181,1,-39.333333333333336,1.1171927439437697,1.5853834711741726,-0.33600998438386803,0.7888554102446914,0.23076923076923078,0.1820435562103134
David Smith,6,0.08067116845377552,-0.08067116845377552,-0.00999403751479908,29.666666666666668,Truist Securities,852,1,-29.666666666666668,0.1549403979655094,0.211422935986301,0.12459884938414072,0.16365406111198372,0.375,0.061370272916993894
Gerard Cassidy,6,0.080109881865491,-0.080109881865491,-0.011523622212074383,29.666666666666668,RBC Capital Markets,1269,1,-29.666666666666668,0.23999381324529223,-0.09546910717533955,0.12459884938414072,0.08970785181803113,0.375,0.033640444431761674
Glenn Schorr,6,0.08118769862717705,-0.08118769862717705,-0.011534566705405163,26.833333333333332,Evercore ISI,1772,1,-26.833333333333332,0.0766690544845755,-0.09766498290921358,0.2596048868678675,0.07953631948107646,0.375,0.029826119805403672
David Konrad,7,0.08351409308931178,-0.08351409308931178,-0.012107096943573701,24.571428571428573,Keefe Bruyette & Woods,525,1,-24.571428571428573,-0.27585637267249424,-0.2125360161225769,0.36738281595151473,-0.04033652428118547,0.4117647058823529,-0.016609157056958722
Jim Mitchell,6,0.08456701551524559,-0.08456701551524559,-0.013384064082661249,38.166666666666664,Seaport Research Partners,1321,1,-38.166666666666664,-0.4354088191759022,-0.4687435050330898,-0.2804192630670391,-0.394857195758677,0.375,-0.14807144840950387
Mike Mayo,9,0.09069856325347218,-0.09069856325347218,-0.015517730665517772,15.777777777777779,Wells Fargo Securities,596,1,-15.777777777777779,-1.3645403661831326,-0.8968370249309938,0.7863931507749577,-0.49166141344638953,0.47368421052631576,-0.23289224847460555
Steve Biggar,5,0.07761470086516804,-0.07761470086516804,-0.013771639445725986,86.8,Argus Research,376,1,-86.8,0.6180959632847621,-0.5465056552833704,-2.597758188817124,-0.8420559602719108,0.3333333333333333,-0.2806853200906369
Brian Bedell,7,0.0927118435544478,-0.0927118435544478,-0.017566543185231608,15.0,Deutsche Bank Research,77,1,-15.0,-1.669618679272428,-1.3079056380978005,0.8234536316528436,-0.718023561905795,0.4117647058823529,-0.29565676078473907
