analyst,n_observations,mean_fe,accuracy_score,consistency_score,avg_staleness_days,current_broker,current_broker_code,n_brokers,freshness_score,accuracy_score_z,consistency_score_z,freshness_score_z,partial_reliability_score_raw,credibility_weight,partial_reliability_score,factor_alpha,factor_alpha_tstat,factor_alpha_annualized,loading_Mkt-RF,loading_SMB,loading_HML,loading_MOM,loading_RMW,loading_CMA,n_factor_obs,r_squared,factor_alpha_z,partial_reliability_score_with_factor_raw,partial_reliability_score_with_factor
Steven Alexopoulos,2,0.07154053500744742,-0.07154053500744742,-0.0019325703371134914,17.0,TD Cowen,917,1,-17.0,1.53853226438005,1.8288555223919114,0.7281552522525659,1.3651810130081756,0.16666666666666666,0.22753016883469593,,,,,,,,,,2,,,1.3651810130081756,0.22753016883469593
Brennan Hawken,3,0.07432104912504249,-0.07432104912504249,-0.003146062612508628,39.333333333333336,BMO Capital Markets,181,1,-39.333333333333336,1.1171927439437697,1.5853834711741726,-0.33600998438386803,0.7888554102446914,0.23076923076923078,0.1820435562103134,,,,,,,,,,3,,,0.7888554102446914,0.1820435562103134
Mike Mayo,9,0.09069856325347218,-0.09069856325347218,-0.015517730665517772,15.777777777777779,Wells Fargo Securities,596,1,-15.777777777777779,-1.3645403661831326,-0.8968370249309938,0.7863931507749577,-0.49166141344638953,0.47368421052631576,-0.23289224847460555,0.08764013292697966,10.71938889543396,0.3505605317079186,-0.0009116689531955889,-0.0023286554479710697,-0.0010891868207307616,0.0012026376261380816,,,9,0.646432816404222,1.872526525476109,0.09938557128423509,0.047077375871479775
David Konrad,7,0.08351409308931178,-0.08351409308931178,-0.012107096943573701,24.571428571428573,Keefe Bruyette & Woods,525,1,-24.571428571428573,-0.27585637267249424,-0.2125360161225769,0.36738281595151473,-0.04033652428118547,0.4117647058823529,-0.016609157056958722,0.08185857498105702,4.516990293240508,0.32743429992422807,-9.102308955543747e-06,-0.0024026379304676986,-0.00019192205922219575,0.0008604769434255164,,,7,0.47076632478622604,0.4917195113510064,0.0926774846268625,0.03816131719929632
Glenn Schorr,6,0.08118769862717705,-0.08118769862717705,-0.011534566705405163,26.833333333333332,Evercore ISI,1772,1,-26.833333333333332,0.0766690544845755,-0.09766498290921358,0.2596048868678675,0.07953631948107646,0.375,0.029826119805403672,0.08050015818128543,7.252989901402543,0.32200063272514173,-0.0005810211905476995,-0.002839887131885788,-0.0008012682984432036,0.0008520656429737019,,,6,0.8759475280310792,0.16728940742844753,0.10147459146791923,0.03805297180046971
David Smith,6,0.08067116845377552,-0.08067116845377552,-0.00999403751479908,29.666666666666668,Truist Securities,852,1,-29.666666666666668,0.1549403979655094,0.211422935986301,0.12459884938414072,0.16365406111198372,0.375,0.061370272916993894,0.07541653716908935,10.633443930183399,0.3016661486763574,0.0003953198137154892,-0.0032679302754123687,-0.0004405173315583973,0.0018719135301517788,,,6,0.9325235844472856,-1.046829626999723,-0.13896686091594296,-0.05211257284347861
Gerard Cassidy,6,0.080109881865491,-0.080109881865491,-0.011523622212074383,29.666666666666668,RBC Capital Markets,1269,1,-29.666666666666668,0.23999381324529223,-0.09546910717533955,0.12459884938414072,0.08970785181803113,0.375,0.033640444431761674,0.07567495349546263,7.898011057892664,0.30269981398185053,4.490584387758633e-05,-0.0033008192621052554,-0.00027507260664185785,0.0014187761614159174,,,6,0.9073725949973184,-0.9851121661771916,-0.17899715268077454,-0.06712393225529045
Jim Mitchell,6,0.08456701551524559,-0.08456701551524559,-0.013384064082661249,38.166666666666664,Seaport Research Partners,1321,1,-38.166666666666664,-0.4354088191759022,-0.4687435050330898,-0.2804192630670391,-0.394857195758677,0.375,-0.14807144840950387,0.07928978998684152,7.896460169239092,0.3171591599473661,0.0003233163217394961,-0.004079751113631344,-0.000512063570483336,0.0016451297361510344,,,6,0.9245876815182443,-0.12178231133565048,-0.32658847465292035,-0.12247067799484512
Brian Bedell,7,0.0927118435544478,-0.0927118435544478,-0.017566543185231608,15.0,Deutsche Bank Research,77,1,-15.0,-1.669618679272428,-1.3079056380978005,0.8234536316528436,-0.718023561905795,0.4117647058823529,-0.29565676078473907,0.07821777438405784,4.530420908300695,0.3128710975362314,0.0028415558031721806,-0.0015150082544246124,0.0010496681101563959,-0.0009825572718139353,,,7,0.4089826372201878,-0.37781133974298103,-0.6329705063650916,-0.2606349143856259
Steve Biggar,5,0.07761470086516804,-0.07761470086516804,-0.013771639445725986,86.8,Argus Research,376,1,-86.8,0.6180959632847621,-0.5465056552833704,-2.597758188817124,-0.8420559602719108,0.3333333333333333,-0.2806853200906369,,,,,,,,,,5,,,-0.8420559602719108,-0.2806853200906369
