firm,quarter_end,quarter,year,report_date,actual_eps,sic_code
STT-US,2026-03-31,2026Q1,2026,20260417,2.4923,6022
STT-US,2025-12-31,2025Q4,2025,20260116,2.4157,6022
STT-US,2025-09-30,2025Q3,2025,20251017,2.7832,6022
STT-US,2025-06-30,2025Q2,2025,20250715,2.1688,6022
STT-US,2025-03-31,2025Q1,2025,20250417,2.0395,6022
STT-US,2024-12-31,2024Q4,2024,20250117,2.456,6022
STT-US,2024-09-30,2024Q3,2024,20241015,2.2594,6022
STT-US,2024-06-28,2024Q2,2024,20240716,2.1492,6022
STT-US,2024-03-29,2024Q1,2024,20240412,1.3663,6022
STT-US,2023-12-29,2023Q4,2023,20240119,0.5541,6022
STT-US,2023-09-29,2023Q3,2023,20231018,1.2542,6022
STT-US,2023-06-30,2023Q2,2023,20230714,2.1766,6022
