firm,quarter_end,quarter,year,report_date,snapshot_date,analyst,broker,broker_code,estimate_value,revision_date,staleness_days,actual_eps,price_10d_prior,market_cap
STT-US,2026-03-31,2026Q1,2026,20260417,20260416,David Konrad,Keefe Bruyette & Woods,525,12.0,20260407,9,2.4923,128.8,35667.938
STT-US,2026-03-31,2026Q1,2026,20260417,20260416,Glenn Schorr,Evercore ISI,1772,11.75,20260402,14,2.4923,128.8,35667.938
STT-US,2026-03-31,2026Q1,2026,20260417,20260416,Brennan Hawken,BMO Capital Markets,181,11.8,20260116,90,2.4923,128.8,35667.938
STT-US,2026-03-31,2026Q1,2026,20260417,20260416,David Smith,Truist Securities,852,11.9,20260330,17,2.4923,128.8,35667.938
STT-US,2026-03-31,2026Q1,2026,20260417,20260416,Jim Mitchell,Seaport Research Partners,1321,11.75,20260116,90,2.4923,128.8,35667.938
STT-US,2026-03-31,2026Q1,2026,20260417,20260416,Mike Mayo,Wells Fargo Securities,596,12.65,20260327,20,2.4923,128.8,35667.938
STT-US,2026-03-31,2026Q1,2026,20260417,20260416,Gerard Cassidy,RBC Capital Markets,1269,11.85,20260324,23,2.4923,128.8,35667.938
STT-US,2026-03-31,2026Q1,2026,20260417,20260416,Steve Biggar,Argus Research,376,11.65,20260120,86,2.4923,128.8,35667.938
STT-US,2025-12-31,2025Q4,2025,20260116,20260115,Mike Mayo,Wells Fargo Securities,596,11.5985,20260102,13,2.4157,129.07,36020.59
STT-US,2025-12-31,2025Q4,2025,20260116,20260115,David Konrad,Keefe Bruyette & Woods,525,11.55,20260107,8,2.4157,129.07,36020.59
STT-US,2025-12-31,2025Q4,2025,20260116,20260115,Jim Mitchell,Seaport Research Partners,1321,11.85,20260106,9,2.4157,129.07,36020.59
STT-US,2025-12-31,2025Q4,2025,20260116,20260115,Steven Alexopoulos,TD Cowen,917,11.4,20260105,10,2.4157,129.07,36020.59
STT-US,2025-12-31,2025Q4,2025,20260116,20260115,David Smith,Truist Securities,852,11.3,20251001,106,2.4157,129.07,36020.59
STT-US,2025-12-31,2025Q4,2025,20260116,20260115,Brennan Hawken,BMO Capital Markets,181,11.7,20260102,13,2.4157,129.07,36020.59
STT-US,2025-12-31,2025Q4,2025,20260116,20260115,Glenn Schorr,Evercore ISI,1772,11.84,20260105,10,2.4157,129.07,36020.59
STT-US,2025-12-31,2025Q4,2025,20260116,20260115,Gerard Cassidy,RBC Capital Markets,1269,11.43,20251210,36,2.4157,129.07,36020.59
STT-US,2025-12-31,2025Q4,2025,20260116,20260115,Steve Biggar,Argus Research,376,11.23,20251020,87,2.4157,129.07,36020.59
STT-US,2025-09-30,2025Q3,2025,20251017,20251016,Steven Alexopoulos,TD Cowen,917,11.334,20250922,24,2.7832,116.38,33016.465
STT-US,2025-09-30,2025Q3,2025,20251017,20251016,David Konrad,Keefe Bruyette & Woods,525,11.3,20251008,8,2.7832,116.38,33016.465
