analyst,broker,broker_code,firm,quarter,year,fe,market_cap,sic_code,revision_date,staleness_days
David Konrad,Keefe Bruyette & Woods,525,STT-US,2026Q1,2026,0.07381754658385092,35667.938,6022,20260407,9
Glenn Schorr,Evercore ISI,1772,STT-US,2026Q1,2026,0.07187655279503105,35667.938,6022,20260402,14
Brennan Hawken,BMO Capital Markets,181,STT-US,2026Q1,2026,0.07226475155279503,35667.938,6022,20260116,90
David Smith,Truist Securities,852,STT-US,2026Q1,2026,0.07304114906832297,35667.938,6022,20260330,17
Jim Mitchell,Seaport Research Partners,1321,STT-US,2026Q1,2026,0.07187655279503105,35667.938,6022,20260116,90
Mike Mayo,Wells Fargo Securities,596,STT-US,2026Q1,2026,0.0788641304347826,35667.938,6022,20260327,20
Gerard Cassidy,RBC Capital Markets,1269,STT-US,2026Q1,2026,0.07265295031055899,35667.938,6022,20260324,23
Steve Biggar,Argus Research,376,STT-US,2026Q1,2026,0.0711001552795031,35667.938,6022,20260120,86
Mike Mayo,Wells Fargo Securities,596,STT-US,2025Q4,2025,0.07114588982722554,36020.59,6022,20260102,13
David Konrad,Keefe Bruyette & Woods,525,STT-US,2025Q4,2025,0.07077012473851399,36020.59,6022,20260107,8
Jim Mitchell,Seaport Research Partners,1321,STT-US,2025Q4,2025,0.07309444487487411,36020.59,6022,20260106,9
Steven Alexopoulos,TD Cowen,917,STT-US,2025Q4,2025,0.06960796467033394,36020.59,6022,20260105,10
David Smith,Truist Securities,852,STT-US,2025Q4,2025,0.06883319129154722,36020.59,6022,20251001,106
Brennan Hawken,BMO Capital Markets,181,STT-US,2025Q4,2025,0.07193228480669403,36020.59,6022,20260102,13
Glenn Schorr,Evercore ISI,1772,STT-US,2025Q4,2025,0.07301696753699542,36020.59,6022,20260105,10
Gerard Cassidy,RBC Capital Markets,1269,STT-US,2025Q4,2025,0.06984039668396994,36020.59,6022,20251210,36
Steve Biggar,Argus Research,376,STT-US,2025Q4,2025,0.06829084992639653,36020.59,6022,20251020,87
Steven Alexopoulos,TD Cowen,917,STT-US,2025Q3,2025,0.07347310534456092,33016.465,6022,20250922,24
David Konrad,Keefe Bruyette & Woods,525,STT-US,2025Q3,2025,0.07318095892765081,33016.465,6022,20251008,8
Jim Mitchell,Seaport Research Partners,1321,STT-US,2025Q3,2025,0.07575872142979895,33016.465,6022,20251003,13
Mike Mayo,Wells Fargo Securities,596,STT-US,2025Q3,2025,0.07275133184395943,33016.465,6022,20251002,14
David Smith,Truist Securities,852,STT-US,2025Q3,2025,0.07318095892765081,33016.465,6022,20251001,15
