firm,quarter_end,quarter,year,report_date,price_date,price_10d_prior,market_cap,market_cap_direct,shares_outstanding
STT-US,2026-03-31,2026Q1,2026,20260417,20260402,128.8,35667.938,35667.938,
STT-US,2025-12-31,2025Q4,2025,20260116,20260102,129.07,36020.59,36020.59,
STT-US,2025-09-30,2025Q3,2025,20251017,20251003,116.38,33016.465,33016.465,
STT-US,2025-06-30,2025Q2,2025,20250715,20250630,106.34,30326.21,30326.21,
STT-US,2025-03-31,2025Q1,2025,20250417,20250403,82.83,23911.053,23911.053,
STT-US,2024-12-31,2024Q4,2024,20250117,20250102,97.95,28284.672,28284.672,
STT-US,2024-09-30,2024Q3,2024,20241015,20241001,86.65,25491.652,25491.652,
STT-US,2024-06-28,2024Q2,2024,20240716,20240701,73.56,22011.434,22011.434,
STT-US,2024-03-29,2024Q1,2024,20240412,20240328,77.32,23346.277,23346.277,
STT-US,2023-12-29,2023Q4,2023,20240119,20240104,77.38,23878.19,23878.19,
STT-US,2023-09-29,2023Q3,2023,20231018,20231004,64.46,19891.291,19891.291,
STT-US,2023-06-30,2023Q2,2023,20230714,20230629,73.14,24447.691,24447.691,
