analyst,n_observations,mean_fe,accuracy_score,consistency_score,avg_staleness_days,current_broker,current_broker_code,n_brokers,freshness_score,accuracy_score_z,consistency_score_z,freshness_score_z,partial_reliability_score_raw,credibility_weight,partial_reliability_score
Steven Alexopoulos,3,0.07243477294823587,-0.07243477294823587,-0.0027344685961394216,43.333333333333336,TD Cowen,917,1,-43.333333333333336,1.097003402230612,1.6968304852026892,0.4401726377987536,1.0780021750773516,0.23076923076923078,0.2487697327101581
Christopher McGratty,4,0.0752207089377447,-0.0752207089377447,-0.003694768337926187,56.75,Keefe Bruyette & Woods,525,1,-56.75,0.7753355981276712,1.46141371559038,0.052905301579595033,0.7632182050992155,0.2857142857142857,0.21806234431406155
David Chiaverini,1,0.07130619168787108,-0.07130619168787108,,23.0,Jefferies,512,1,-23.0,1.22731086698944,,1.0270871100812053,1.1271989885353226,0.09090909090909091,0.10247263532139297
Terry J. McEvoy,6,0.08102589254191706,-0.08102589254191706,-0.011181162422505246,26.166666666666668,Stephens Inc,472,1,-26.166666666666668,0.10506152528447557,-0.37387024289229326,0.9356823971847578,0.2222912265256467,0.375,0.08335920994711751
David Konrad,3,0.09465148444628292,-0.09465148444628292,-0.00759165274911881,13.333333333333334,Keefe Bruyette & Woods,525,1,-13.333333333333334,-1.4681670930273574,0.506095391825548,1.3061120231335182,0.11468010731056959,0.23076923076923078,0.026464640148592983
Christopher Marinac,8,0.08007378494280051,-0.08007378494280051,-0.010032984042921092,65.875,Brean Capital,532,1,-65.875,0.2149931108739696,-0.0923951645407492,-0.21048459479306256,-0.029295549486614048,0.4444444444444444,-0.01302024421627291
Michael Rose,7,0.08213748028518154,-0.08213748028518154,-0.011451811199951763,51.142857142857146,Raymond James,402,1,-51.142857142857146,-0.023283845818854003,-0.44021958999034533,0.214753496219545,-0.08291664652988477,0.4117647058823529,-0.03414214857112902
John Pancari,7,0.081370498375219,-0.081370498375219,-0.011656630323711524,57.142857142857146,Evercore ISI,1772,1,-57.142857142857146,0.06527288617118349,-0.49043084630145406,0.041565619152592076,-0.12786411365922615,0.4117647058823529,-0.052649929153799
Gerard Cassidy,6,0.07944681867411112,-0.07944681867411112,-0.011390216205709982,81.0,RBC Capital Markets,1269,1,-81.0,0.28738345424703793,-0.4251196228262297,-0.647062368232673,-0.2615995122706216,0.375,-0.0980998171014831
Parth Talsania,1,0.10244530244530244,-0.10244530244530244,,92.0,Equisights,3723,1,-92.0,-2.368051487630618,,-0.9645734761887534,-1.6663124819096857,0.09090909090909091,-0.1514829529008805
R. Scott Siefers,6,0.07604790548606198,-0.07604790548606198,-0.008336812926478875,135.5,Piper Sandler Companies,570,1,-135.5,0.6798264054323773,0.3234199269009779,-2.2201855849241623,-0.40564641753026903,0.375,-0.1521174065738509
Matthew O'Connor,8,0.08218240459500213,-0.08218240459500213,-0.010522083931341495,91.0,Deutsche Bank Research,77,1,-91.0,-0.028470865242576058,-0.21229763950698693,-0.935708830010928,-0.3921591115868303,0.4444444444444444,-0.17429293848303568
Mike Mayo,9,0.08682242744837938,-0.08682242744837938,-0.017624405124515474,25.333333333333332,Wells Fargo Securities,596,1,-25.333333333333332,-0.5642139576373394,-1.9534264134615353,0.9597362689996126,-0.5193013673664207,0.47368421052631576,-0.24598485822619928
