analyst,n_observations,mean_fe,accuracy_score,consistency_score,avg_staleness_days,current_broker,current_broker_code,n_brokers,freshness_score,accuracy_score_z,consistency_score_z,freshness_score_z,partial_reliability_score_raw,credibility_weight,partial_reliability_score,factor_alpha,factor_alpha_tstat,factor_alpha_annualized,loading_Mkt-RF,loading_SMB,loading_HML,loading_MOM,loading_RMW,loading_CMA,n_factor_obs,r_squared,factor_alpha_z,partial_reliability_score_with_factor_raw,partial_reliability_score_with_factor
Steven Alexopoulos,3,0.07243477294823587,-0.07243477294823587,-0.0027344685961394216,43.333333333333336,TD Cowen,917,1,-43.333333333333336,1.097003402230612,1.6968304852026892,0.4401726377987536,1.0780021750773516,0.23076923076923078,0.2487697327101581,,,,,,,,,,3,,,1.0780021750773516,0.2487697327101581
Christopher McGratty,4,0.0752207089377447,-0.0752207089377447,-0.003694768337926187,56.75,Keefe Bruyette & Woods,525,1,-56.75,0.7753355981276712,1.46141371559038,0.052905301579595033,0.7632182050992155,0.2857142857142857,0.21806234431406155,,,,,,,,,,4,,,0.7632182050992155,0.21806234431406155
Terry J. McEvoy,6,0.08102589254191706,-0.08102589254191706,-0.011181162422505246,26.166666666666668,Stephens Inc,472,1,-26.166666666666668,0.10506152528447557,-0.37387024289229326,0.9356823971847578,0.2222912265256467,0.375,0.08335920994711751,0.07910547365579614,8.684449726355005,0.31642189462318454,-0.001094368173696433,-0.0005566831670108695,0.0018172766532868387,0.00476475098948163,,,6,0.908661733666946,0.5637539364125963,0.3076569039973841,0.11537133899901904
David Chiaverini,1,0.07130619168787108,-0.07130619168787108,,23.0,Jefferies,512,1,-23.0,1.22731086698944,,1.0270871100812053,1.1271989885353226,0.09090909090909091,0.10247263532139297,,,,,,,,,,1,,,1.1271989885353226,0.10247263532139297
Michael Rose,7,0.08213748028518154,-0.08213748028518154,-0.011451811199951763,51.142857142857146,Raymond James,402,1,-51.142857142857146,-0.023283845818854003,-0.44021958999034533,0.214753496219545,-0.08291664652988477,0.4117647058823529,-0.03414214857112902,0.07985642121250716,4.498848887147765,0.31942568485002865,0.00012070357791862474,-0.0022378396589167113,-3.602615466094208e-05,0.0008696260733791485,,,7,0.43249984956046805,0.7294719194105203,0.12018049495521649,0.04948608615803032
David Konrad,3,0.09465148444628292,-0.09465148444628292,-0.00759165274911881,13.333333333333334,Keefe Bruyette & Woods,525,1,-13.333333333333334,-1.4681670930273574,0.506095391825548,1.3061120231335182,0.11468010731056959,0.23076923076923078,0.026464640148592983,,,,,,,,,,3,,,0.11468010731056959,0.026464640148592983
Mike Mayo,9,0.08682242744837938,-0.08682242744837938,-0.017624405124515474,25.333333333333332,Wells Fargo Securities,596,1,-25.333333333333332,-0.5642139576373394,-1.9534264134615353,0.9597362689996126,-0.5193013673664207,0.47368421052631576,-0.24598485822619928,0.08286949559188773,9.55702986859824,0.33147798236755094,-0.0008800631459983659,-0.00265973748184327,-0.0014239644470999324,0.0014578547123665108,,,9,0.6916975772033952,1.3943926642899325,-0.04087785945233241,-0.019363196582683772
John Pancari,7,0.081370498375219,-0.081370498375219,-0.011656630323711524,57.142857142857146,Evercore ISI,1772,1,-57.142857142857146,0.06527288617118349,-0.49043084630145406,0.041565619152592076,-0.12786411365922615,0.4117647058823529,-0.052649929153799,0.07600012294020105,4.657369498094195,0.3040004917608042,0.0007096393343205846,-0.002705831764135069,0.0005153614915060993,0.0010731987713813876,,,7,0.5370878090327602,-0.12153021224814352,-0.1262806383064555,-0.05199790989089344
Christopher Marinac,8,0.08007378494280051,-0.08007378494280051,-0.010032984042921092,65.875,Brean Capital,532,1,-65.875,0.2149931108739696,-0.0923951645407492,-0.21048459479306256,-0.029295549486614048,0.4444444444444444,-0.01302024421627291,0.07354810366516164,9.4688062659009,0.29419241466064655,0.0008805263412473238,-0.0028904747675506117,3.530358371266879e-05,0.0012671762422111188,,,8,0.762303432631217,-0.662638156338477,-0.1876312011995798,-0.08339164497759101
Matthew O'Connor,8,0.08218240459500213,-0.08218240459500213,-0.010522083931341495,91.0,Deutsche Bank Research,77,1,-91.0,-0.028470865242576058,-0.21229763950698693,-0.935708830010928,-0.3921591115868303,0.4444444444444444,-0.17429293848303568,0.0781258413060119,9.132372579006496,0.3125033652240476,0.0001552667345768215,-0.0026084118138078034,-0.0003615342444120112,0.0012173374761265876,,,8,0.7378503369383822,0.3475701355133918,-0.20722679981177478,-0.09210079991634434
Gerard Cassidy,6,0.07944681867411112,-0.07944681867411112,-0.011390216205709982,81.0,RBC Capital Markets,1269,1,-81.0,0.28738345424703793,-0.4251196228262297,-0.647062368232673,-0.2615995122706216,0.375,-0.0980998171014831,0.07480743984163604,6.153363421421551,0.29922975936654417,6.610883415419369e-05,-0.0032987935663256317,-0.000393883986158103,0.0017267906430217513,,,6,0.8473667372255648,-0.38472973355101964,-0.2923820675907211,-0.10964327534652041
Parth Talsania,1,0.10244530244530244,-0.10244530244530244,,92.0,Equisights,3723,1,-92.0,-2.368051487630618,,-0.9645734761887534,-1.6663124819096857,0.09090909090909091,-0.1514829529008805,,,,,,,,,,1,,,-1.6663124819096857,-0.1514829529008805
R. Scott Siefers,6,0.07604790548606198,-0.07604790548606198,-0.008336812926478875,135.5,Piper Sandler Companies,570,1,-135.5,0.6798264054323773,0.3234199269009779,-2.2201855849241623,-0.40564641753026903,0.375,-0.1521174065738509,0.06809377812717389,11.8847984443377,0.27237511250869556,0.0009224370120952297,-0.002790962525996029,0.0006119054116747401,0.001497819909495319,,,6,0.9367180608087671,-1.8662905534887884,-0.7708074515198988,-0.28905279431996206
