firm,quarter_end,quarter,year,report_date,actual_eps,sic_code
TFC-US,2026-03-31,2026Q1,2026,20260417,1.0872,6021
TFC-US,2025-12-31,2025Q4,2025,20260121,1.003,6021
TFC-US,2025-09-30,2025Q3,2025,20251017,1.0396,6021
TFC-US,2025-06-30,2025Q2,2025,20250718,0.9042,6021
TFC-US,2025-03-31,2025Q1,2025,20250417,0.8736,6021
TFC-US,2024-12-31,2024Q4,2024,20250117,0.9118,6021
TFC-US,2024-09-30,2024Q3,2024,20241017,0.9903,6021
TFC-US,2024-06-28,2024Q2,2024,20240722,0.6173,6021
TFC-US,2024-03-29,2024Q1,2024,20240422,0.81,6021
TFC-US,2023-12-29,2023Q4,2023,20240118,-3.8742,6021
TFC-US,2023-09-29,2023Q3,2023,20231019,0.7989,6021
TFC-US,2023-06-30,2023Q2,2023,20230720,0.9228,6021
