firm,quarter_end,quarter,year,report_date,snapshot_date,analyst,broker,broker_code,estimate_value,revision_date,staleness_days,actual_eps,price_10d_prior,market_cap
TFC-US,2026-03-31,2026Q1,2026,20260417,20260416,Christopher McGratty,Keefe Bruyette & Woods,525,4.55,20260407,9,1.0872,47.16,58755.668
TFC-US,2026-03-31,2026Q1,2026,20260417,20260416,David Chiaverini,Jefferies,512,4.45,20260324,23,1.0872,47.16,58755.668
TFC-US,2026-03-31,2026Q1,2026,20260417,20260416,John Pancari,Evercore ISI,1772,4.51,20260102,104,1.0872,47.16,58755.668
TFC-US,2026-03-31,2026Q1,2026,20260417,20260416,Michael Rose,Raymond James,402,4.55,20251017,181,1.0872,47.16,58755.668
TFC-US,2026-03-31,2026Q1,2026,20260417,20260416,Matthew O'Connor,Deutsche Bank Research,77,4.5,20251215,122,1.0872,47.16,58755.668
TFC-US,2026-03-31,2026Q1,2026,20260417,20260416,Mike Mayo,Wells Fargo Securities,596,4.6,20260327,20,1.0872,47.16,58755.668
TFC-US,2026-03-31,2026Q1,2026,20260417,20260416,Christopher Marinac,Brean Capital,532,4.27,20260226,49,1.0872,47.16,58755.668
TFC-US,2026-03-31,2026Q1,2026,20260417,20260416,Gerard Cassidy,RBC Capital Markets,1269,4.5,20260121,85,1.0872,47.16,58755.668
TFC-US,2026-03-31,2026Q1,2026,20260417,20260416,R. Scott Siefers,Piper Sandler Companies,570,4.5,20260121,85,1.0872,47.16,58755.668
TFC-US,2025-12-31,2025Q4,2025,20260121,20260120,Steven Alexopoulos,TD Cowen,917,4.53,20251020,92,1.003,51.18,65471.83
TFC-US,2025-12-31,2025Q4,2025,20260121,20260120,Mike Mayo,Wells Fargo Securities,596,4.4,20260102,18,1.003,51.18,65471.83
TFC-US,2025-12-31,2025Q4,2025,20260121,20260120,Michael Rose,Raymond James,402,4.56,20251017,95,1.003,51.18,65471.83
TFC-US,2025-12-31,2025Q4,2025,20260121,20260120,R. Scott Siefers,Piper Sandler Companies,570,4.43,20251017,95,1.003,51.18,65471.83
TFC-US,2025-12-31,2025Q4,2025,20260121,20260120,John Pancari,Evercore ISI,1772,4.49,20251010,102,1.003,51.18,65471.83
TFC-US,2025-12-31,2025Q4,2025,20260121,20260120,Terry J. McEvoy,Stephens Inc,472,4.4,20251017,95,1.003,51.18,65471.83
TFC-US,2025-12-31,2025Q4,2025,20260121,20260120,Matthew O'Connor,Deutsche Bank Research,77,4.500262,20251215,36,1.003,51.18,65471.83
TFC-US,2025-12-31,2025Q4,2025,20260121,20260120,Christopher Marinac,Brean Capital,532,4.41,20251024,88,1.003,51.18,65471.83
TFC-US,2025-12-31,2025Q4,2025,20260121,20260120,Christopher McGratty,Keefe Bruyette & Woods,525,4.6,20251017,95,1.003,51.18,65471.83
TFC-US,2025-12-31,2025Q4,2025,20260121,20260120,Gerard Cassidy,RBC Capital Markets,1269,4.4,20251017,95,1.003,51.18,65471.83
TFC-US,2025-09-30,2025Q3,2025,20251017,20251016,John Pancari,Evercore ISI,1772,4.46,20251010,6,1.0396,45.52,58231.293
TFC-US,2025-09-30,2025Q3,2025,20251017,20251016,Christopher McGratty,Keefe Bruyette & Woods,525,4.55,20250701,107,1.0396,45.52,58231.293
TFC-US,2025-09-30,2025Q3,2025,20251017,20251016,Terry J. McEvoy,Stephens Inc,472,4.2,20251007,9,1.0396,45.52,58231.293
TFC-US,2025-09-30,2025Q3,2025,20251017,20251016,Michael Rose,Raymond James,402,4.35,20251003,13,1.0396,45.52,58231.293
TFC-US,2025-09-30,2025Q3,2025,20251017,20251016,Steven Alexopoulos,TD Cowen,917,4.48,20251001,15,1.0396,45.52,58231.293
TFC-US,2025-09-30,2025Q3,2025,20251017,20251016,Mike Mayo,Wells Fargo Securities,596,4.25,20251002,14,1.0396,45.52,58231.293
TFC-US,2025-09-30,2025Q3,2025,20251017,20251016,Matthew O'Connor,Deutsche Bank Research,77,4.41,20250718,90,1.0396,45.52,58231.293
TFC-US,2025-09-30,2025Q3,2025,20251017,20251016,R. Scott Siefers,Piper Sandler Companies,570,4.34,20250117,272,1.0396,45.52,58231.293
TFC-US,2025-09-30,2025Q3,2025,20251017,20251016,Gerard Cassidy,RBC Capital Markets,1269,4.32,20250718,90,1.0396,45.52,58231.293
TFC-US,2025-09-30,2025Q3,2025,20251017,20251016,Christopher Marinac,Brean Capital,532,4.48,20250718,90,1.0396,45.52,58231.293
TFC-US,2025-06-30,2025Q2,2025,20250718,20250717,Matthew O'Connor,Deutsche Bank Research,77,4.52935,20241212,217,0.9042,45.54,58720.88
TFC-US,2025-06-30,2025Q2,2025,20250718,20250717,Mike Mayo,Wells Fargo Securities,596,4.3,20250707,10,0.9042,45.54,58720.88
TFC-US,2025-06-30,2025Q2,2025,20250718,20250717,Christopher McGratty,Keefe Bruyette & Woods,525,4.55,20250701,16,0.9042,45.54,58720.88
TFC-US,2025-06-30,2025Q2,2025,20250718,20250717,Michael Rose,Raymond James,402,4.45,20250707,10,0.9042,45.54,58720.88
TFC-US,2025-06-30,2025Q2,2025,20250718,20250717,Steven Alexopoulos,TD Cowen,917,4.22,20250624,23,0.9042,45.54,58720.88
TFC-US,2025-06-30,2025Q2,2025,20250718,20250717,Terry J. McEvoy,Stephens Inc,472,4.4,20250626,21,0.9042,45.54,58720.88
TFC-US,2025-06-30,2025Q2,2025,20250718,20250717,John Pancari,Evercore ISI,1772,4.37,20250425,83,0.9042,45.54,58720.88
TFC-US,2025-06-30,2025Q2,2025,20250718,20250717,R. Scott Siefers,Piper Sandler Companies,570,4.34,20250117,181,0.9042,45.54,58720.88
TFC-US,2025-06-30,2025Q2,2025,20250718,20250717,Gerard Cassidy,RBC Capital Markets,1269,4.5,20250417,91,0.9042,45.54,58720.88
