analyst,broker,broker_code,firm,quarter,year,fe,market_cap,sic_code,revision_date,staleness_days
Christopher McGratty,Keefe Bruyette & Woods,525,TFC-US,2026Q1,2026,0.07342663273960984,58755.668,6021,20260407,9
David Chiaverini,Jefferies,512,TFC-US,2026Q1,2026,0.07130619168787108,58755.668,6021,20260324,23
John Pancari,Evercore ISI,1772,TFC-US,2026Q1,2026,0.07257845631891433,58755.668,6021,20260102,104
Michael Rose,Raymond James,402,TFC-US,2026Q1,2026,0.07342663273960984,58755.668,6021,20251017,181
Matthew O'Connor,Deutsche Bank Research,77,TFC-US,2026Q1,2026,0.07236641221374046,58755.668,6021,20251215,122
Mike Mayo,Wells Fargo Securities,596,TFC-US,2026Q1,2026,0.07448685326547921,58755.668,6021,20260327,20
Christopher Marinac,Brean Capital,532,TFC-US,2026Q1,2026,0.0674893977947413,58755.668,6021,20260226,49
Gerard Cassidy,RBC Capital Markets,1269,TFC-US,2026Q1,2026,0.07236641221374046,58755.668,6021,20260121,85
R. Scott Siefers,Piper Sandler Companies,570,TFC-US,2026Q1,2026,0.07236641221374046,58755.668,6021,20260121,85
Steven Alexopoulos,TD Cowen,917,TFC-US,2025Q4,2025,0.0689136381398984,65471.83,6021,20251020,92
Mike Mayo,Wells Fargo Securities,596,TFC-US,2025Q4,2025,0.06637358343102776,65471.83,6021,20260102,18
Michael Rose,Raymond James,402,TFC-US,2025Q4,2025,0.06949980461117623,65471.83,6021,20251017,95
R. Scott Siefers,Piper Sandler Companies,570,TFC-US,2025Q4,2025,0.06695974990230558,65471.83,6021,20251017,95
John Pancari,Evercore ISI,1772,TFC-US,2025Q4,2025,0.06813208284486127,65471.83,6021,20251010,102
Terry J. McEvoy,Stephens Inc,472,TFC-US,2025Q4,2025,0.06637358343102776,65471.83,6021,20251017,95
Matthew O'Connor,Deutsche Bank Research,77,TFC-US,2025Q4,2025,0.06833259085580305,65471.83,6021,20251215,36
Christopher Marinac,Brean Capital,532,TFC-US,2025Q4,2025,0.06656897225478703,65471.83,6021,20251024,88
Christopher McGratty,Keefe Bruyette & Woods,525,TFC-US,2025Q4,2025,0.07028135990621336,65471.83,6021,20251017,95
Gerard Cassidy,RBC Capital Markets,1269,TFC-US,2025Q4,2025,0.06637358343102776,65471.83,6021,20251017,95
John Pancari,Evercore ISI,1772,TFC-US,2025Q3,2025,0.07514059753954305,58231.293,6021,20251010,6
Christopher McGratty,Keefe Bruyette & Woods,525,TFC-US,2025Q3,2025,0.0771177504393673,58231.293,6021,20250701,107
Terry J. McEvoy,Stephens Inc,472,TFC-US,2025Q3,2025,0.06942882249560632,58231.293,6021,20251007,9
Michael Rose,Raymond James,402,TFC-US,2025Q3,2025,0.07272407732864673,58231.293,6021,20251003,13
Steven Alexopoulos,TD Cowen,917,TFC-US,2025Q3,2025,0.07557996485061512,58231.293,6021,20251001,15
Mike Mayo,Wells Fargo Securities,596,TFC-US,2025Q3,2025,0.07052724077328647,58231.293,6021,20251002,14
Matthew O'Connor,Deutsche Bank Research,77,TFC-US,2025Q3,2025,0.07404217926186292,58231.293,6021,20250718,90
R. Scott Siefers,Piper Sandler Companies,570,TFC-US,2025Q3,2025,0.0725043936731107,58231.293,6021,20250117,272
Gerard Cassidy,RBC Capital Markets,1269,TFC-US,2025Q3,2025,0.07206502636203867,58231.293,6021,20250718,90
Christopher Marinac,Brean Capital,532,TFC-US,2025Q3,2025,0.07557996485061512,58231.293,6021,20250718,90
