firm,quarter_end,quarter,year,report_date,price_date,price_10d_prior,market_cap,market_cap_direct,shares_outstanding
TFC-US,2026-03-31,2026Q1,2026,20260417,20260402,47.16,58755.668,58755.668,
TFC-US,2025-12-31,2025Q4,2025,20260121,20260106,51.18,65471.83,65471.83,
TFC-US,2025-09-30,2025Q3,2025,20251017,20251003,45.52,58231.293,58231.293,
TFC-US,2025-06-30,2025Q2,2025,20250718,20250703,45.54,58720.88,58720.88,
TFC-US,2025-03-31,2025Q1,2025,20250417,20250403,37.04,48505.324,48505.324,
TFC-US,2024-12-31,2024Q4,2024,20250117,20250102,43.33,57521.473,57521.473,
TFC-US,2024-09-30,2024Q3,2024,20241017,20241003,41.49,55078.832,55078.832,
TFC-US,2024-06-28,2024Q2,2024,20240722,20240708,38.25,51182.18,51182.18,
TFC-US,2024-03-29,2024Q1,2024,20240422,20240408,38.85,51848.855,51848.855,
TFC-US,2023-12-29,2023Q4,2023,20240118,20240103,36.51,48692.22,48692.22,
TFC-US,2023-09-29,2023Q3,2023,20231019,20231005,27.28,36336.31,36336.31,
TFC-US,2023-06-30,2023Q2,2023,20230720,20230706,30.82,41049.707,41049.707,
