firm,quarter,consensus_fe,consensus_nn_predicted_fe,consensus_linear_predicted_fe,market_cap,sic_code,industry
TSLA-US,2023Q2,0.02149815916171056,,,895321.6,3711,Automobiles and Trucks
TSLA-US,2023Q3,0.028718410170010717,,,828920.4,3711,Automobiles and Trucks
TSLA-US,2023Q4,0.018720633299284983,,,748347.6,3711,Automobiles and Trucks
TSLA-US,2024Q1,0.01389172274851044,,,750381.25,3711,Automobiles and Trucks
TSLA-US,2024Q2,0.008507130593483845,,,953016.56,3711,Automobiles and Trucks
TSLA-US,2024Q3,0.004667190954888418,,,1458710.5,3711,Automobiles and Trucks
TSLA-US,2024Q4,0.008860631748915127,,,1272339.1,3711,Automobiles and Trucks
TSLA-US,2025Q1,0.015155386000257192,,,750381.25,3711,Automobiles and Trucks
TSLA-US,2025Q2,0.008741009192916047,,,953016.56,3711,Automobiles and Trucks
TSLA-US,2025Q3,0.005196038204654767,,,1458710.5,3711,Automobiles and Trucks
TSLA-US,2025Q4,0.004334749552772808,,,1487306.4,3711,Automobiles and Trucks
TSLA-US,2026Q1,0.00555047341587764,,,1288022.3,3711,Automobiles and Trucks
