analyst,n_observations,mean_fe,accuracy_score,consistency_score,avg_staleness_days,current_broker,current_broker_code,n_brokers,freshness_score,accuracy_score_z,consistency_score_z,freshness_score_z,partial_reliability_score_raw,credibility_weight,partial_reliability_score,factor_alpha,factor_alpha_tstat,factor_alpha_annualized,loading_Mkt-RF,loading_SMB,loading_HML,loading_MOM,loading_RMW,loading_CMA,n_factor_obs,r_squared,factor_alpha_z,partial_reliability_score_with_factor_raw,partial_reliability_score_with_factor
Rob Wertheimer,4,0.004515739494148559,-0.004515739494148559,-0.0005305270540493419,24.0,Melius Research,3130,1,-24.0,0.9858060683269194,1.3666695472653179,1.2140099860125437,1.1888285338682605,0.2857142857142857,0.33966529539093154,,,,,,,,,,4,,,1.1888285338682605,0.33966529539093154
Gordon L. Johnson II,10,0.0023199113206319806,-0.002966829945078695,-0.002091858744534755,3.4,GLJ Research,3391,1,-3.4,1.2833045740671791,0.7118203248534368,1.808041484420684,1.2677221277804334,0.5,0.6338610638902167,0.0035749838969783105,3.558146124909096,0.014299935587913242,-0.0003054631655854692,-9.495822133208033e-05,-0.00021988859489891215,5.260694503432209e-05,,,10,0.6284132003164861,-1.1286445637292335,0.6686304549030166,0.3343152274515083
Tom Narayan,8,0.010433237224746567,-0.010433237224746567,-0.006847891774086997,37.875,RBC Capital Markets,1269,1,-37.875,-0.1507656143975175,-1.2829412944404268,0.8139038190022064,-0.20660102994524598,0.4444444444444444,-0.09182267997566487,0.018297646008465316,2.6641272624531376,0.07319058403386126,-0.002117089675330226,0.0013156804619886405,-0.0017776585903681798,-0.0008569923790548003,,,8,0.5239579877149674,2.9864991825606753,0.5916740231812343,0.262966232524993
Colin Rusch,9,0.006868710805072819,-0.006868710805072819,-0.002810860138024617,6.666666666666667,Oppenheimer,498,1,-6.666666666666667,0.533871706200979,0.41025883967438864,1.7138423147702022,0.8859909535485233,0.47368421052631576,0.41967992536508997,0.0057236818181265366,4.918145029376012,0.022894727272506146,-6.498675160874573e-05,-0.0005176816446176808,-2.849969768066161e-05,0.00019748452194254078,,,9,0.7816605569349376,-0.528060189387019,0.5324781678146377,0.25222650054377577
Yue Wang,3,0.004913772831935216,-0.004913772831935216,-0.0002379393385330428,60.666666666666664,Zhongtai Securities,2052,1,-60.666666666666664,0.9093559468221178,1.489385840773425,0.15667236748672766,0.8518047183607568,0.23076923076923078,0.19657031962171312,,,,,,,,,,3,,,0.8518047183607568,0.19657031962171312
Ron Jewsikow,4,0.0070802105006314365,-0.0070802105006314365,-0.003351519461179659,19.0,Guggenheim Securities,1515,1,-19.0,0.4932490349604323,0.18349706988814932,1.3581923885387914,0.6783128311291243,0.2857142857142857,0.19380366603689264,,,,,,,,,,4,,,0.6783128311291243,0.19380366603689264
William Stein,9,0.008098612105847633,-0.008098612105847633,-0.002617762522214653,41.22222222222222,Truist Securities,852,1,-41.22222222222222,0.29764500115662607,0.49124728327885436,0.7173817106443574,0.5020913316932792,0.47368421052631576,0.23783273606523753,0.007525947575848703,5.880704504181042,0.03010379030339481,-0.0001733957878382624,-0.000414899155151534,-0.0001331591728601646,0.00020852876412874873,,,9,0.6955853568987453,-0.024307362222955774,0.37049165821422053,0.17549604862778867
Alexander E. Potter,9,0.008028508674714227,-0.008028508674714227,-0.0031747741606120306,24.555555555555557,Piper Sandler Companies,570,1,-24.555555555555557,0.3111097422204133,0.25762707272289737,1.197989719065183,0.5889088446694979,0.47368421052631576,0.2789568211592358,0.006591589407569821,5.238443258460216,0.026366357630279284,-2.8022273015394523e-05,-0.0006017057936692006,-3.6308886806183925e-05,0.00022019269658806964,,,9,0.7999159359226856,-0.28547060456808515,0.37031398236010216,0.175411886381101
Edison Yu,9,0.005039701073117731,-0.005039701073117731,-0.0024905549362452097,39.77777777777778,Deutsche Bank Research,77,1,-39.77777777777778,0.8851689543635883,0.5446003211148341,0.7590344047074955,0.7296012267286395,0.47368421052631576,0.3456005810819871,0.004716802574994587,4.104819825932579,0.018867210299978347,-0.00016529440809234916,-0.00041519412536063064,-0.00019222524876008075,0.00013192705460290458,,,9,0.7288701613141781,-0.8094938587375321,0.3448274553620966,0.1633393209609931
Chaim Siegel,1,0.001079159212880143,-0.001079159212880143,,20.0,Elazar Advisors,3400,1,-20.0,1.6458688196655902,,1.3293559080335418,1.487612363849566,0.09090909090909091,0.1352374876226878,,,,,,,,,,1,,,1.487612363849566,0.1352374876226878
