firm,quarter_end,quarter,year,report_date,actual_eps,sic_code
TSLA-US,2026-03-31,2026Q1,2026,20260422,0.1348,3711
TSLA-US,2025-12-31,2025Q4,2025,20260128,0.2374,3711
TSLA-US,2025-09-30,2025Q3,2025,20251022,0.3894,3711
TSLA-US,2025-06-30,2025Q2,2025,20250723,0.333,3711
TSLA-US,2025-03-31,2025Q1,2025,20250422,0.1162,3711
TSLA-US,2024-12-31,2024Q4,2024,20250129,0.658,3711
TSLA-US,2024-09-30,2024Q3,2024,20251022,0.6214,3711
TSLA-US,2024-06-28,2024Q2,2024,20250723,0.4022,3711
TSLA-US,2024-03-29,2024Q1,2024,20250422,0.411,3711
TSLA-US,2023-12-29,2023Q4,2023,20240124,2.27,3711
TSLA-US,2023-09-29,2023Q3,2023,20231018,0.5299,3711
TSLA-US,2023-06-30,2023Q2,2023,20230719,0.7772,3711
