firm,quarter_end,quarter,year,report_date,snapshot_date,analyst,broker,broker_code,estimate_value,revision_date,staleness_days,actual_eps,price_10d_prior,market_cap
TSLA-US,2026-03-31,2026Q1,2026,20260422,20260421,Gordon L. Johnson II,GLJ Research,3391,0.94,20260420,1,0.1348,343.25,1288022.3
TSLA-US,2026-03-31,2026Q1,2026,20260422,20260421,Andres Sheppard,Cantor Fitzgerald,1190,2.1,20260129,82,0.1348,343.25,1288022.3
TSLA-US,2026-03-31,2026Q1,2026,20260422,20260421,Dan Ives,Wedbush Securities,590,1.85,20260129,82,0.1348,343.25,1288022.3
TSLA-US,2026-03-31,2026Q1,2026,20260422,20260421,Colin M. Langan,Wells Fargo Securities,596,0.75,20260410,11,0.1348,343.25,1288022.3
TSLA-US,2026-03-31,2026Q1,2026,20260422,20260421,Philippe Houchois,Jefferies,512,2.0897,20260417,4,0.1348,343.25,1288022.3
TSLA-US,2026-03-31,2026Q1,2026,20260422,20260421,Chris McNally,Evercore ISI,1772,1.05,20260415,6,0.1348,343.25,1288022.3
TSLA-US,2026-03-31,2026Q1,2026,20260422,20260421,Itay Michaeli,TD Cowen,917,1.87,20260414,7,0.1348,343.25,1288022.3
TSLA-US,2026-03-31,2026Q1,2026,20260422,20260421,Glenn Thum,Phillip Securities,651,1.22,20260130,81,0.1348,343.25,1288022.3
TSLA-US,2026-03-31,2026Q1,2026,20260422,20260421,Colin Rusch,Oppenheimer,498,1.91,20260410,11,0.1348,343.25,1288022.3
TSLA-US,2026-03-31,2026Q1,2026,20260422,20260421,Tom Narayan,RBC Capital Markets,1269,2.44,20260409,12,0.1348,343.25,1288022.3
TSLA-US,2026-03-31,2026Q1,2026,20260422,20260421,Pierre Ferragu,New Street Research,1634,2.57,20260408,13,0.1348,343.25,1288022.3
TSLA-US,2026-03-31,2026Q1,2026,20260422,20260421,Edison Yu,Deutsche Bank Research,77,1.115815,20260407,14,0.1348,343.25,1288022.3
TSLA-US,2026-03-31,2026Q1,2026,20260422,20260421,Rob Wertheimer,Melius Research,3130,1.98,20260303,49,0.1348,343.25,1288022.3
TSLA-US,2026-03-31,2026Q1,2026,20260422,20260421,Alexander E. Potter,Piper Sandler Companies,570,2.1,20260107,104,0.1348,343.25,1288022.3
TSLA-US,2026-03-31,2026Q1,2026,20260422,20260421,Jairam Nathan,Daiwa Securities Co. Ltd.,467,1.75,20260202,78,0.1348,343.25,1288022.3
TSLA-US,2026-03-31,2026Q1,2026,20260422,20260421,George Gianarikas,Canaccord Genuity,466,2.38,20260401,20,0.1348,343.25,1288022.3
TSLA-US,2026-03-31,2026Q1,2026,20260422,20260421,William Stein,Truist Securities,852,2.46,20260401,20,0.1348,343.25,1288022.3
TSLA-US,2026-03-31,2026Q1,2026,20260422,20260421,Jed Dorsheimer,William Blair,198,1.87,20260129,82,0.1348,343.25,1288022.3
TSLA-US,2026-03-31,2026Q1,2026,20260422,20260421,Yue Wang,Zhongtai Securities,2052,1.87,20260312,40,0.1348,343.25,1288022.3
TSLA-US,2026-03-31,2026Q1,2026,20260422,20260421,Ivan Feinseth,Tigress Financial Partners LLC,2345,2.15,20260211,69,0.1348,343.25,1288022.3
