analyst,broker,broker_code,firm,quarter,year,fe,market_cap,sic_code,revision_date,staleness_days
Gordon L. Johnson II,GLJ Research,3391,TSLA-US,2026Q1,2026,0.0023458120903131824,1288022.3,3711,20260420,1
Andres Sheppard,Cantor Fitzgerald,1190,TSLA-US,2026Q1,2026,0.005725273124544792,1288022.3,3711,20260129,82
Dan Ives,Wedbush Securities,590,TSLA-US,2026Q1,2026,0.004996941005098325,1288022.3,3711,20260129,82
Colin M. Langan,Wells Fargo Securities,596,TSLA-US,2026Q1,2026,0.0017922796795338672,1288022.3,3711,20260410,11
Philippe Houchois,Jefferies,512,TSLA-US,2026Q1,2026,0.005695265841223598,1288022.3,3711,20260417,4
Chris McNally,Evercore ISI,1772,TSLA-US,2026Q1,2026,0.002666278222869629,1288022.3,3711,20260415,6
Itay Michaeli,TD Cowen,917,TSLA-US,2026Q1,2026,0.005055207574654042,1288022.3,3711,20260414,7
Glenn Thum,Phillip Securities,651,TSLA-US,2026Q1,2026,0.0031615440640932265,1288022.3,3711,20260130,81
Colin Rusch,Oppenheimer,498,TSLA-US,2026Q1,2026,0.005171740713765477,1288022.3,3711,20260410,11
Tom Narayan,RBC Capital Markets,1269,TSLA-US,2026Q1,2026,0.0067158048069919886,1288022.3,3711,20260409,12
Pierre Ferragu,New Street Research,1634,TSLA-US,2026Q1,2026,0.007094537509104152,1288022.3,3711,20260408,13
Edison Yu,Deutsche Bank Research,77,TSLA-US,2026Q1,2026,0.0028580189366351053,1288022.3,3711,20260407,14
Rob Wertheimer,Melius Research,3130,TSLA-US,2026Q1,2026,0.005375673707210488,1288022.3,3711,20260303,49
Alexander E. Potter,Piper Sandler Companies,570,TSLA-US,2026Q1,2026,0.005725273124544792,1288022.3,3711,20260107,104
Jairam Nathan,Daiwa Securities Co. Ltd.,467,TSLA-US,2026Q1,2026,0.004705608157319738,1288022.3,3711,20260202,78
George Gianarikas,Canaccord Genuity,466,TSLA-US,2026Q1,2026,0.006541005098324836,1288022.3,3711,20260401,20
William Stein,Truist Securities,852,TSLA-US,2026Q1,2026,0.006774071376547706,1288022.3,3711,20260401,20
Jed Dorsheimer,William Blair,198,TSLA-US,2026Q1,2026,0.005055207574654042,1288022.3,3711,20260129,82
Yue Wang,Zhongtai Securities,2052,TSLA-US,2026Q1,2026,0.005055207574654042,1288022.3,3711,20260312,40
Ivan Feinseth,Tigress Financial Partners LLC,2345,TSLA-US,2026Q1,2026,0.005870939548434086,1288022.3,3711,20260211,69
Mickey Legg,"Benchmark, a StoneX Company",1124,TSLA-US,2026Q1,2026,0.005579606700655498,1288022.3,3711,20260210,70
YongHuo Liang,China Merchants Securities,1788,TSLA-US,2026Q1,2026,0.006570138383102696,1288022.3,3711,20260209,71
Vijay Rakesh,Mizuho Securities USA,1802,TSLA-US,2026Q1,2026,0.005171740713765477,1288022.3,3711,20260129,82
Jing Lin Li,First Shanghai,1701,TSLA-US,2026Q1,2026,0.007007137654770576,1288022.3,3711,20260202,78
Yiming Wang,China Renaissance Securities (US),2903,TSLA-US,2026Q1,2026,0.005579606700655498,1288022.3,3711,20251023,180
Yu Jing Ni,Everbright Securities,1299,TSLA-US,2026Q1,2026,0.004181209031318281,1288022.3,3711,20260130,81
William Selesky,Argus Research,376,TSLA-US,2026Q1,2026,0.005521340131099781,1288022.3,3711,20260130,81
Oscar Wang,Haitong International Research,2898,TSLA-US,2026Q1,2026,0.005725273124544792,1288022.3,3711,20260129,82
Siyu Cai,Mega Intl Invst Serv,1175,TSLA-US,2026Q1,2026,0.006511871813546979,1288022.3,3711,20250724,271
