firm,quarter_end,quarter,year,report_date,price_date,price_10d_prior,market_cap,market_cap_direct,shares_outstanding
TSLA-US,2026-03-31,2026Q1,2026,20260422,20260408,343.25,1288022.3,1288022.3,
TSLA-US,2025-12-31,2025Q4,2025,20260128,20260113,447.2,1487306.4,1487306.4,
TSLA-US,2025-09-30,2025Q3,2025,20251022,20251008,438.69,1458710.5,1458710.5,
TSLA-US,2025-06-30,2025Q2,2025,20250723,20250709,295.88,953016.56,953016.56,
TSLA-US,2025-03-31,2025Q1,2025,20250422,20250407,233.29,750381.25,750381.25,
TSLA-US,2024-12-31,2024Q4,2024,20250129,20250114,396.36,1272339.1,1272339.1,
TSLA-US,2024-09-30,2024Q3,2024,20251022,20251008,438.69,1458710.5,1458710.5,
TSLA-US,2024-06-28,2024Q2,2024,20250723,20250709,295.88,953016.56,953016.56,
TSLA-US,2024-03-29,2024Q1,2024,20250422,20250407,233.29,750381.25,750381.25,
TSLA-US,2023-12-29,2023Q4,2023,20240124,20240109,234.96,748347.6,748347.6,
TSLA-US,2023-09-29,2023Q3,2023,20231018,20231004,261.16,828920.4,828920.4,
TSLA-US,2023-06-30,2023Q2,2023,20230719,20230705,282.48,895321.6,895321.6,
