analyst,n_observations,mean_fe,accuracy_score,consistency_score,avg_staleness_days,current_broker,current_broker_code,n_brokers,freshness_score,accuracy_score_z,consistency_score_z,freshness_score_z,partial_reliability_score_raw,credibility_weight,partial_reliability_score
Cheng Chieh Tsai,4,0.032333113155737926,-0.032333113155737926,-0.003370211696612546,14.75,First Capital Management,1173,1,-14.75,0.9434277027455839,0.9572918182307687,1.2263989392256835,1.0423728200673452,0.2857142857142857,0.2978208057335272
Anthony Lau,3,0.03368454953831688,-0.03368454953831688,-0.0033017627303058503,14.333333333333334,Yuanta Research,762,1,-14.333333333333334,0.7157511139566516,0.9803021995000794,1.2389591946171619,0.9783375026912976,0.23076923076923078,0.225770192928761
Li Yen Chen,6,0.03631188963226619,-0.03631188963226619,-0.005322004140139154,18.5,Capital Securities Asia,1128,1,-18.5,0.2731229311654978,0.3011608244788071,1.1133566407023776,0.5625467987822276,0.375,0.21095504954333533
Jim Hin Kwong Au,3,0.028836266195786952,-0.028836266195786952,-0.0023026266956069088,60.333333333333336,DBS Bank,469,1,-60.333333333333336,1.5325417725024515,1.3161801877127508,-0.1476930006020579,0.9003429865377148,0.23076923076923078,0.20777145843178035
Pei Wen Chen,2,0.0271179683457744,-0.0271179683457744,-0.0023243726328691875,41.5,Mega Intl Invst Serv,1175,1,-41.5,1.8220235402403113,1.3088698902099147,0.42003054309276766,1.1836413245143313,0.16666666666666666,0.1972735540857219
Yen Chun Wang,2,0.02985162010323635,-0.02985162010323635,-0.0027298610528736396,34.5,SinoPac Securities Investment Services,1120,1,-34.5,1.3614850235192364,1.1725574862681751,0.6310428336696055,1.0550284478190057,0.16666666666666666,0.17583807463650095
Sarena Hsu,3,0.030248022120427806,-0.030248022120427806,-0.0005811056958309063,90.0,Masterlink Securities,731,1,-90.0,1.2947031459357905,1.8949011926506412,-1.0419831844753227,0.7158737180370364,0.23076923076923078,0.16520162723931608
Stefan Chang,2,0.03879556080434464,-0.03879556080434464,-0.0016447481890411245,9.5,Aletheia Capital,2859,1,-9.5,-0.145301337576723,1.5373381698090063,1.3846581571583119,0.9255649964635317,0.16666666666666666,0.15426083274392194
Sherman Shang,6,0.03826757193418587,-0.03826757193418587,-0.0068047258773915285,6.5,Fubon Securities,1084,1,-6.5,-0.056351012999199854,-0.197283408230291,1.4750919959769566,0.4071525249158219,0.375,0.1526821968434332
Krish Sankar,6,0.035088165978569986,-0.035088165978569986,-0.008445157123626769,11.666666666666666,TD Cowen,917,1,-11.666666666666666,0.47928374693560566,-0.7487445983501326,1.319344829122624,0.349961325902699,0.375,0.13123549721351213
