firm,quarter_end,quarter,year,report_date,actual_eps,sic_code
TSM-US,2026-03-31,2026Q1,2026,20260416,3.4894,3674
TSM-US,2025-12-31,2025Q4,2025,20260115,3.1416,3674
TSM-US,2025-09-30,2025Q3,2025,20251016,2.915,3674
TSM-US,2025-06-30,2025Q2,2025,20250717,2.4865,3674
TSM-US,2025-03-31,2025Q1,2025,20250417,2.12,3674
TSM-US,2024-12-31,2024Q4,2024,20250116,2.2344,3674
TSM-US,2024-09-30,2024Q3,2024,20241017,1.9407,3674
TSM-US,2024-06-28,2024Q2,2024,20240718,1.4777,3674
TSM-US,2024-03-29,2024Q1,2024,20240410,1.3831,3674
TSM-US,2023-12-29,2023Q4,2023,20240110,1.4445,3674
TSM-US,2023-09-29,2023Q3,2023,20231006,1.2843,3674
TSM-US,2023-06-30,2023Q2,2023,20230720,1.1416,3674
