firm,quarter_end,quarter,year,report_date,snapshot_date,analyst,broker,broker_code,estimate_value,revision_date,staleness_days,actual_eps,price_10d_prior,market_cap
TSM-US,2026-03-31,2026Q1,2026,20260416,20260415,Cheng Chieh Tsai,First Capital Management,1173,15.177145,20260408,7,3.4894,341.49,1771139.5
TSM-US,2026-03-31,2026Q1,2026,20260416,20260415,Matthew Bryson,Wedbush Securities,590,14.2690935,20260309,37,3.4894,341.49,1771139.5
TSM-US,2026-03-31,2026Q1,2026,20260416,20260415,Mark Li,Bernstein Research,1140,,20260313,33,3.4894,341.49,1771139.5
TSM-US,2026-03-31,2026Q1,2026,20260416,20260415,Robert Sanders,Deutsche Bank Research,77,14.180242,20260116,89,3.4894,341.49,1771139.5
TSM-US,2026-03-31,2026Q1,2026,20260416,20260415,Felix Hsu,IBF Securities,3105,14.335947,20260115,90,3.4894,341.49,1771139.5
TSM-US,2026-03-31,2026Q1,2026,20260416,20260415,Li Yen Chen,Capital Securities Asia,1128,14.007279,20260410,5,3.4894,341.49,1771139.5
TSM-US,2026-03-31,2026Q1,2026,20260416,20260415,Stefan Chang,Aletheia Capital,2859,16.176031,20260409,6,3.4894,341.49,1771139.5
TSM-US,2026-03-31,2026Q1,2026,20260416,20260415,Stephano Gabriel,Itau Securities,1394,11.88,20251003,194,3.4894,341.49,1771139.5
TSM-US,2026-03-31,2026Q1,2026,20260416,20260415,Wayne Lin,Yuanta Research,762,14.6765585,20260409,6,3.4894,341.49,1771139.5
TSM-US,2026-03-31,2026Q1,2026,20260416,20260415,Felix Pan,KGI Securities,671,15.204208,20260409,6,3.4894,341.49,1771139.5
TSM-US,2026-03-31,2026Q1,2026,20260416,20260415,Aaron Jeng,Nomura Research,143,,20260409,6,3.4894,341.49,1771139.5
TSM-US,2026-03-31,2026Q1,2026,20260416,20260415,Mehdi Hosseini,Susquehanna Financial Group,974,15.65,20260408,7,3.4894,341.49,1771139.5
TSM-US,2026-03-31,2026Q1,2026,20260416,20260415,Kevin Wang,Mizuho Securities Asia Ex Japan,1819,14.346684,20260115,90,3.4894,341.49,1771139.5
TSM-US,2026-03-31,2026Q1,2026,20260416,20260415,Sherman Shang,Fubon Securities,1084,15.058,20260407,8,3.4894,341.49,1771139.5
TSM-US,2026-03-31,2026Q1,2026,20260416,20260415,Krish Sankar,TD Cowen,917,14.225776,20260407,8,3.4894,341.49,1771139.5
TSM-US,2026-03-31,2026Q1,2026,20260416,20260415,Jack Zhou,China Renaissance Securities (US),2903,15.696646,20260401,14,3.4894,341.49,1771139.5
TSM-US,2026-03-31,2026Q1,2026,20260416,20260415,Ian Chi,Cathay Securities,3216,14.886244,20260202,72,3.4894,341.49,1771139.5
TSM-US,2026-03-31,2026Q1,2026,20260416,20260415,Pei Wen Chen,Mega Intl Invst Serv,1175,11.956165,20260313,33,3.4894,341.49,1771139.5
TSM-US,2026-03-31,2026Q1,2026,20260416,20260415,Yen Chun Wang,SinoPac Securities Investment Services,1120,14.61565,20260304,42,3.4894,341.49,1771139.5
TSM-US,2026-03-31,2026Q1,2026,20260416,20260415,Gil Luria,DA Davidson,556,14.37,20260210,64,3.4894,341.49,1771139.5
TSM-US,2026-03-31,2026Q1,2026,20260416,20260415,Ling Ji Cao,First Shanghai,1701,12.326119,20260202,72,3.4894,341.49,1771139.5
TSM-US,2026-03-31,2026Q1,2026,20260416,20260415,Egor Tolmachev,Freedom Broker,3713,14.161575,20260121,84,3.4894,341.49,1771139.5
TSM-US,2026-03-31,2026Q1,2026,20260416,20260415,Tony Shen,SPDB International,3451,14.4766865,20260116,89,3.4894,341.49,1771139.5
TSM-US,2026-03-31,2026Q1,2026,20260416,20260415,Barney Yao,Haitong International Research,2898,13.970064,20260115,90,3.4894,341.49,1771139.5
TSM-US,2026-03-31,2026Q1,2026,20260416,20260415,Dawei Wang,Bocom International,1746,14.370159,20260115,90,3.4894,341.49,1771139.5
TSM-US,2026-03-31,2026Q1,2026,20260416,20260415,Pierre Ferragu,New Street Research,1634,14.85,20260115,90,3.4894,341.49,1771139.5
TSM-US,2026-03-31,2026Q1,2026,20260416,20260415,Leping Huang,Huatai Research,1271,14.731924,20260115,90,3.4894,341.49,1771139.5
TSM-US,2026-03-31,2026Q1,2026,20260416,20260415,Heping Qin,Guotai Haitong Securities China,1094,14.429398,20260115,90,3.4894,341.49,1771139.5
TSM-US,2026-03-31,2026Q1,2026,20260416,20260415,Sarena Hsu,Masterlink Securities,731,14.073018,20260115,90,3.4894,341.49,1771139.5
TSM-US,2026-03-31,2026Q1,2026,20260416,20260415,Charles Shi,Needham,477,13.269977,20260115,90,3.4894,341.49,1771139.5
TSM-US,2026-03-31,2026Q1,2026,20260416,20260415,Jim Hin Kwong Au,DBS Bank,469,12.243605,20260114,91,3.4894,341.49,1771139.5
TSM-US,2026-03-31,2026Q1,2026,20260416,20260415,Rick Hsu,Daiwa Securities Co. Ltd.,467,14.752673,20260115,90,3.4894,341.49,1771139.5
TSM-US,2026-03-31,2026Q1,2026,20260416,20260415,James Kelleher,Argus Research,376,14.55,20260115,90,3.4894,341.49,1771139.5
